onset	duration	trial_number	stim_type	trial_type	accuracy	response_time
13.033831	0.999486	1.000000	scene	nontarget	incorrect	 NaN
14.033317	1.000917	1.000000	fixation	nontarget	na	na
15.034235	1.000008	2.000000	scene	nontarget	correct	0.357582
16.034243	0.999480	2.000000	fixation	nontarget	na	na
17.033723	0.999945	3.000000	scene	nontarget	correct	0.593782
18.033667	0.999935	3.000000	fixation	nontarget	na	na
19.033602	1.000312	4.000000	scene	nontarget	correct	0.842228
20.033914	0.999985	4.000000	fixation	nontarget	na	na
21.033899	0.999971	5.000000	scene	target	incorrect	0.721688
22.033870	0.999983	5.000000	fixation	target	na	na
23.033853	0.999665	6.000000	scene	target	correct	 NaN
24.033518	0.999974	6.000000	fixation	target	na	na
25.033492	0.999946	7.000000	scene	target	incorrect	0.292193
26.033438	0.999877	7.000000	fixation	target	na	na
27.033315	0.999654	8.000000	scene	nontarget	correct	0.800090
28.032969	1.001029	8.000000	fixation	nontarget	na	na
29.033998	1.000048	9.000000	scene	nontarget	correct	0.605625
30.034045	0.999996	9.000000	fixation	nontarget	na	na
31.034041	0.999985	10.000000	scene	nontarget	correct	0.712633
32.034027	0.999997	10.000000	fixation	nontarget	na	na
33.034024	0.999937	11.000000	scene	nontarget	correct	0.824525
34.033961	0.999553	11.000000	fixation	nontarget	na	na
35.033514	0.999950	12.000000	scene	nontarget	correct	0.661566
36.033464	1.000494	12.000000	fixation	nontarget	na	na
37.033958	0.999996	13.000000	scene	nontarget	correct	0.531016
38.033954	0.999463	13.000000	fixation	nontarget	na	na
39.033416	0.999830	14.000000	scene	target	correct	 NaN
40.033246	1.000939	14.000000	fixation	target	na	na
41.034185	0.999197	15.000000	scene	nontarget	correct	0.339865
42.033382	1.000514	15.000000	fixation	nontarget	na	na
43.033896	0.999432	16.000000	scene	nontarget	correct	0.609741
44.033328	0.999941	16.000000	fixation	nontarget	na	na
45.033269	0.999936	17.000000	scene	nontarget	correct	0.566749
46.033206	1.000810	17.000000	fixation	nontarget	na	na
47.034016	0.999204	18.000000	scene	nontarget	correct	0.622521
48.033220	1.000926	18.000000	fixation	nontarget	na	na
49.034145	0.999099	19.000000	scene	nontarget	correct	0.629871
50.033245	0.999951	19.000000	fixation	nontarget	na	na
51.033196	1.000904	20.000000	scene	nontarget	correct	0.470521
52.034100	0.999097	20.000000	fixation	nontarget	na	na
53.033197	1.000938	21.000000	scene	nontarget	correct	0.548128
54.034134	0.999056	21.000000	fixation	nontarget	na	na
55.033190	1.000923	22.000000	scene	nontarget	correct	0.602608
56.034113	1.000056	22.000000	fixation	nontarget	na	na
57.034169	0.998995	23.000000	scene	nontarget	correct	0.700490
58.033164	1.000957	23.000000	fixation	nontarget	na	na
59.034121	1.000016	24.000000	scene	nontarget	correct	0.767147
60.034137	1.000032	24.000000	fixation	nontarget	na	na
61.034168	0.999433	25.000000	scene	target	correct	 NaN
62.033602	1.000008	25.000000	fixation	target	na	na
63.033610	1.000426	26.000000	scene	nontarget	correct	0.324164
64.034036	1.000020	26.000000	fixation	nontarget	na	na
65.034056	0.999995	27.000000	scene	nontarget	correct	0.534686
66.034051	1.000017	27.000000	fixation	nontarget	na	na
67.034068	1.000014	28.000000	scene	nontarget	correct	0.575954
68.034082	1.000037	28.000000	fixation	nontarget	na	na
69.034119	0.999777	29.000000	scene	nontarget	correct	0.694973
70.033896	1.000034	29.000000	fixation	nontarget	na	na
71.033930	0.999948	30.000000	scene	nontarget	correct	0.668765
72.033878	1.000027	30.000000	fixation	nontarget	na	na
73.033905	1.000037	31.000000	scene	nontarget	correct	0.609203
74.033942	1.000059	31.000000	fixation	nontarget	na	na
75.034001	1.000004	32.000000	scene	nontarget	correct	0.671376
76.034005	1.000021	32.000000	fixation	nontarget	na	na
77.034026	1.000023	33.000000	scene	nontarget	correct	0.624396
78.034049	1.000029	33.000000	fixation	nontarget	na	na
79.034077	1.000022	34.000000	scene	nontarget	correct	0.487434
80.034100	1.000032	34.000000	fixation	nontarget	na	na
81.034132	1.000018	35.000000	scene	nontarget	correct	0.622634
82.034149	0.999125	35.000000	fixation	nontarget	na	na
83.033274	1.000017	36.000000	scene	nontarget	correct	0.702704
84.033291	0.999994	36.000000	fixation	nontarget	na	na
85.033285	0.999979	37.000000	scene	nontarget	correct	0.666809
86.033265	0.999986	37.000000	fixation	nontarget	na	na
87.033250	1.000678	38.000000	scene	nontarget	correct	0.780568
88.033928	1.000033	38.000000	fixation	nontarget	na	na
89.033962	1.000031	39.000000	scene	nontarget	correct	0.544645
90.033993	1.000049	39.000000	fixation	nontarget	na	na
91.034043	0.999847	40.000000	scene	target	correct	 NaN
92.033890	1.000071	40.000000	fixation	target	na	na
93.033961	1.000038	41.000000	scene	nontarget	correct	0.404077
94.033999	1.000039	41.000000	fixation	nontarget	na	na
95.034038	1.000043	42.000000	scene	nontarget	correct	0.775712
96.034081	1.000014	42.000000	fixation	nontarget	na	na
97.034094	1.000036	43.000000	scene	nontarget	correct	0.947739
98.034131	1.000100	43.000000	fixation	nontarget	na	na
