onset	duration	trial_number	trial_type	frame_number	time_of_response
8.056405	0.043829	1.000000	nontarget	1.000000	na
8.100234	0.050431	1.000000	nontarget	2.000000	na
8.150665	0.050171	1.000000	nontarget	3.000000	na
8.200836	0.049921	1.000000	nontarget	4.000000	na
8.250756	0.050010	1.000000	nontarget	5.000000	na
8.300767	0.050019	1.000000	nontarget	6.000000	na
8.350786	0.050122	1.000000	nontarget	7.000000	na
8.400909	0.049443	1.000000	nontarget	8.000000	na
8.450351	0.050836	1.000000	nontarget	9.000000	na
8.501187	0.049345	1.000000	nontarget	10.000000	na
8.550532	0.050500	1.000000	nontarget	11.000000	na
8.601032	0.049871	1.000000	nontarget	12.000000	na
8.650903	0.050003	1.000000	nontarget	13.000000	na
8.700906	0.049380	1.000000	nontarget	14.000000	na
8.750287	0.039350	1.000000	nontarget	15.000000	8.765758
8.789637	0.043576	1.000000	nontarget	16.000000	na
8.833213	0.039709	2.000000	nontarget	1.000000	8.839091
8.872922	0.044944	2.000000	nontarget	2.000000	na
8.917866	0.049681	2.000000	nontarget	3.000000	na
8.967548	0.049736	2.000000	nontarget	4.000000	na
9.017284	0.050205	2.000000	nontarget	5.000000	na
9.067489	0.050264	2.000000	nontarget	6.000000	na
9.117753	0.049807	2.000000	nontarget	7.000000	na
9.167560	0.049283	2.000000	nontarget	8.000000	na
9.216843	0.050574	2.000000	nontarget	9.000000	na
9.267417	0.050075	2.000000	nontarget	10.000000	na
9.317492	0.050198	2.000000	nontarget	11.000000	9.352096
9.367690	0.049356	2.000000	nontarget	12.000000	na
9.417046	0.050566	2.000000	nontarget	13.000000	na
9.467612	0.049968	2.000000	nontarget	14.000000	na
9.517580	0.050009	2.000000	nontarget	15.000000	na
9.567590	0.049950	2.000000	nontarget	16.000000	na
9.617540	0.049676	3.000000	nontarget	1.000000	na
9.667216	0.050140	3.000000	nontarget	2.000000	na
9.717356	0.050124	3.000000	nontarget	3.000000	na
9.767480	0.049825	3.000000	nontarget	4.000000	na
9.817305	0.049899	3.000000	nontarget	5.000000	na
9.867204	0.049870	3.000000	nontarget	6.000000	na
9.917074	0.050514	3.000000	nontarget	7.000000	na
9.967588	0.049354	3.000000	nontarget	8.000000	na
10.016942	0.038985	3.000000	nontarget	9.000000	10.028450
10.055927	0.044791	3.000000	nontarget	10.000000	na
10.100718	0.039190	3.000000	nontarget	11.000000	na
10.139908	0.043349	3.000000	nontarget	12.000000	na
