onset	duration	event	trial_number	trial_type	requested_SOA	actual_SOA	accuracy	resp1	resp2	rt1	rt2
8.009564	0.490000	fixation	1.000000	na	na	na	na	na	na	na	na
8.499564	1.492000	stimulus	1.000000	signal	0.650000	0.651000	signal_respond	left	no_response	0.796000	0.000000
9.991564	0.491000	fixation	2.000000	na	na	na	na	na	na	na	na
10.482564	1.493000	stimulus	2.000000	no_signal	0.000000	0.000000	correct	right	no_response	0.890000	0.000000
11.975564	0.490000	fixation	3.000000	na	na	na	na	na	na	na	na
12.465564	1.494000	stimulus	3.000000	no_signal	0.000000	0.000000	correct	right	no_response	0.980000	0.000000
13.959564	0.490000	fixation	4.000000	na	na	na	na	na	na	na	na
14.449564	1.493000	stimulus	4.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.010000	0.000000
15.942564	0.490000	fixation	5.000000	na	na	na	na	na	na	na	na
16.432564	1.493000	stimulus	5.000000	no_signal	0.000000	0.000000	correct	right	no_response	0.971000	0.000000
17.925564	0.490000	fixation	6.000000	na	na	na	na	na	na	na	na
18.415564	1.493000	stimulus	6.000000	no_signal	0.000000	0.000000	correct	right	no_response	0.941000	0.000000
19.908564	0.491000	fixation	7.000000	na	na	na	na	na	na	na	na
20.399564	1.499000	stimulus	7.000000	no_signal	0.000000	0.000000	correct	right	no_response	0.954000	0.000000
21.898564	0.494000	fixation	8.000000	na	na	na	na	na	na	na	na
22.392564	1.500000	stimulus	8.000000	no_signal	0.000000	0.000000	correct	left	no_response	0.884000	0.000000
23.892564	0.489000	fixation	9.000000	na	na	na	na	na	na	na	na
24.381564	1.495000	stimulus	9.000000	no_signal	0.000000	0.000000	correct	left	no_response	0.916000	0.000000
25.876564	0.489000	fixation	10.000000	na	na	na	na	na	na	na	na
26.365564	1.494000	stimulus	10.000000	signal	0.600000	0.600000	correct	no_response	no_response	0.000000	0.000000
27.859564	0.490000	fixation	11.000000	na	na	na	na	na	na	na	na
28.349564	1.494000	stimulus	11.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.031000	0.000000
29.843564	0.489000	fixation	12.000000	na	na	na	na	na	na	na	na
30.332564	1.494000	stimulus	12.000000	signal	0.650000	0.644000	correct	no_response	no_response	0.000000	0.000000
31.826564	0.489000	fixation	13.000000	na	na	na	na	na	na	na	na
32.315564	1.494000	stimulus	13.000000	signal	0.700000	0.701000	correct	no_response	no_response	0.000000	0.000000
33.809564	0.490000	fixation	14.000000	na	na	na	na	na	na	na	na
34.299564	1.493000	stimulus	14.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.106000	0.000000
35.792564	0.490000	fixation	15.000000	na	na	na	na	na	na	na	na
36.282564	1.493000	stimulus	15.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.090000	0.000000
37.775564	0.490000	fixation	16.000000	na	na	na	na	na	na	na	na
38.265564	1.494000	stimulus	16.000000	no_signal	0.000000	0.000000	correct	left	no_response	0.834000	0.000000
39.759564	0.490000	fixation	17.000000	na	na	na	na	na	na	na	na
40.249564	1.493000	stimulus	17.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.070000	0.000000
41.742564	0.489000	fixation	18.000000	na	na	na	na	na	na	na	na
42.231564	1.495000	stimulus	18.000000	signal	0.750000	0.744000	correct	no_response	no_response	0.000000	0.000000
