onset	duration	event	trial_number	trial_type	requested_SOA	actual_SOA	accuracy	resp1	resp2	rt1	rt2
8.016170	0.490000	fixation	1.000000	na	na	na	na	na	na	na	na
8.506170	1.500000	stimulus	1.000000	no_signal	0.000000	0.000000	correct	right	no_response	0.789000	0.000000
10.006170	0.493000	fixation	2.000000	na	na	na	na	na	na	na	na
10.499170	1.501000	stimulus	2.000000	no_signal	0.000000	0.000000	correct	right	no_response	0.844000	0.000000
12.000170	0.490000	fixation	3.000000	na	na	na	na	na	na	na	na
12.490170	1.499000	stimulus	3.000000	no_signal	0.000000	0.000000	correct	left	no_response	0.876000	0.000000
13.989170	0.493000	fixation	4.000000	na	na	na	na	na	na	na	na
14.482170	1.500000	stimulus	4.000000	no_signal	0.000000	0.000000	correct	left	no_response	0.936000	0.000000
15.982170	0.491000	fixation	5.000000	na	na	na	na	na	na	na	na
16.473170	1.499000	stimulus	5.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.007000	0.000000
17.972170	0.493000	fixation	6.000000	na	na	na	na	na	na	na	na
18.465170	1.501000	stimulus	6.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.072000	0.000000
19.966170	0.489000	fixation	7.000000	na	na	na	na	na	na	na	na
20.455170	1.494000	stimulus	7.000000	signal	0.650000	0.644000	correct	no_response	no_response	0.000000	0.000000
21.949170	0.490000	fixation	8.000000	na	na	na	na	na	na	na	na
22.439170	1.493000	stimulus	8.000000	no_signal	0.000000	0.000000	correct	left	no_response	0.953000	0.000000
23.932170	0.491000	fixation	9.000000	na	na	na	na	na	na	na	na
24.423170	1.492000	stimulus	9.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.117000	0.000000
25.915170	0.490000	fixation	10.000000	na	na	na	na	na	na	na	na
26.405170	1.493000	stimulus	10.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.098000	0.000000
27.898170	0.491000	fixation	11.000000	na	na	na	na	na	na	na	na
28.389170	1.493000	stimulus	11.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.251000	0.000000
29.882170	0.490000	fixation	12.000000	na	na	na	na	na	na	na	na
30.372170	1.500000	stimulus	12.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.122000	0.000000
31.872170	0.494000	fixation	13.000000	na	na	na	na	na	na	na	na
32.366170	1.500000	stimulus	13.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.206000	0.000000
33.866170	0.490000	fixation	14.000000	na	na	na	na	na	na	na	na
34.356170	1.493000	stimulus	14.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.236000	0.000000
35.849170	0.490000	fixation	15.000000	na	na	na	na	na	na	na	na
36.339170	1.492000	stimulus	15.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.325000	0.000000
37.831170	0.492000	fixation	16.000000	na	na	na	na	na	na	na	na
38.323170	1.492000	stimulus	16.000000	signal	0.700000	0.700000	correct	no_response	no_response	0.000000	0.000000
39.815170	0.490000	fixation	17.000000	na	na	na	na	na	na	na	na
40.305170	1.493000	stimulus	17.000000	signal	0.750000	0.750000	correct	no_response	no_response	0.000000	0.000000
41.798170	0.492000	fixation	18.000000	na	na	na	na	na	na	na	na
42.290170	1.499000	stimulus	18.000000	signal	0.800000	0.800000	correct	no_response	no_response	0.000000	0.000000
43.789170	0.493000	fixation	19.000000	na	na	na	na	na	na	na	na
44.282170	1.500000	stimulus	19.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.260000	0.000000
45.782170	0.490000	fixation	20.000000	na	na	na	na	na	na	na	na
46.272170	1.493000	stimulus	20.000000	signal	0.850000	0.850000	correct	no_response	no_response	0.000000	0.000000
47.765170	0.491000	fixation	21.000000	na	na	na	na	na	na	na	na
48.256170	1.493000	stimulus	21.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.147000	0.000000
49.749170	0.490000	fixation	22.000000	na	na	na	na	na	na	na	na
50.239170	1.500000	stimulus	22.000000	signal	0.900000	0.900000	correct	no_response	no_response	0.000000	0.000000
51.739170	0.493000	fixation	23.000000	na	na	na	na	na	na	na	na
52.232170	1.500000	stimulus	23.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.108000	0.000000
53.732170	0.490000	fixation	24.000000	na	na	na	na	na	na	na	na
54.222170	1.493000	stimulus	24.000000	signal	0.950000	0.942000	correct	no_response	no_response	0.000000	0.000000
55.715170	0.490000	fixation	25.000000	na	na	na	na	na	na	na	na
56.205170	1.494000	stimulus	25.000000	signal	1.000000	1.000000	signal_respond	left	no_response	0.979000	0.000000
57.699170	0.490000	fixation	26.000000	na	na	na	na	na	na	na	na
58.189170	1.500000	stimulus	26.000000	signal	0.950000	0.951000	signal_respond	left	no_response	1.075000	0.000000
59.689170	0.493000	fixation	27.000000	na	na	na	na	na	na	na	na
60.182170	1.500000	stimulus	27.000000	signal	0.900000	0.900000	correct	no_response	no_response	0.000000	0.000000
61.682170	0.490000	fixation	28.000000	na	na	na	na	na	na	na	na
62.172170	1.493000	stimulus	28.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.433000	0.000000
63.665170	0.491000	fixation	29.000000	na	na	na	na	na	na	na	na
64.156170	1.492000	stimulus	29.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.223000	0.000000
