onset	duration	trial_number	event	accuracy	response_time
8.015240	5.114251	1.000000	stimulus	incorrect	5.097634
13.129491	4.881264	1.000000	fixation	na	na
18.010755	5.066540	2.000000	stimulus	correct	5.051060
23.077295	4.933429	2.000000	fixation	na	na
28.010724	3.453368	3.000000	stimulus	correct	3.438187
31.464092	6.546652	3.000000	fixation	na	na
38.010744	4.539391	4.000000	stimulus	correct	4.525823
42.550135	5.460696	4.000000	fixation	na	na
48.010830	5.023838	5.000000	stimulus	correct	5.013463
53.034668	4.974945	5.000000	fixation	na	na
58.009613	5.744876	6.000000	stimulus	correct	5.730137
63.754490	4.255154	6.000000	fixation	na	na
68.009643	4.261438	7.000000	stimulus	correct	4.248166
72.271081	5.738500	7.000000	fixation	na	na
78.009581	5.087572	8.000000	stimulus	correct	5.072610
83.097152	4.912616	8.000000	fixation	na	na
88.009768	4.857628	9.000000	stimulus	correct	4.846593
92.867396	5.142345	9.000000	fixation	na	na
98.009741	2.843707	10.000000	stimulus	correct	2.828467
100.853448	7.156301	10.000000	fixation	na	na
108.009748	4.549702	11.000000	stimulus	correct	4.533574
112.559451	5.450296	11.000000	fixation	na	na
118.009747	6.384394	12.000000	stimulus	correct	6.368753
124.394141	3.614407	12.000000	fixation	na	na
128.008548	2.952580	13.000000	stimulus	correct	2.937418
130.961128	7.038693	13.000000	fixation	na	na
137.999821	5.401093	14.000000	stimulus	correct	5.391240
143.400914	4.594026	14.000000	fixation	na	na
147.994940	5.302605	15.000000	stimulus	correct	5.288379
153.297545	4.697074	15.000000	fixation	na	na
157.994619	3.584125	16.000000	stimulus	correct	3.574185
161.578745	6.415762	16.000000	fixation	na	na
167.994506	4.607704	17.000000	stimulus	correct	4.591880
172.602210	5.392543	17.000000	fixation	na	na
177.994753	6.759383	18.000000	stimulus	incorrect	6.747268
184.754137	3.240478	18.000000	fixation	na	na
187.994615	4.764022	19.000000	stimulus	incorrect	4.748547
192.758636	5.235804	19.000000	fixation	na	na
197.994441	5.474006	20.000000	stimulus	correct	5.463692
203.468447	4.526201	20.000000	fixation	na	na
207.994648	6.266634	21.000000	stimulus	correct	6.255412
214.261281	3.730279	21.000000	fixation	na	na
217.991561	5.595904	22.000000	stimulus	correct	5.581655
223.587465	4.405307	22.000000	fixation	na	na
227.992772	4.520015	23.000000	stimulus	correct	4.506170
232.512786	5.479104	23.000000	fixation	na	na
237.991890	6.108484	24.000000	stimulus	correct	6.098911
244.100374	3.891444	24.000000	fixation	na	na
247.991819	5.799997	25.000000	stimulus	incorrect	5.792857
253.791816	4.199963	25.000000	fixation	na	na
257.991778	4.543723	26.000000	stimulus	correct	4.529031
262.535501	5.457483	26.000000	fixation	na	na
267.992984	6.193295	27.000000	stimulus	correct	6.179765
274.186279	3.805537	27.000000	fixation	na	na
277.991816	5.101295	28.000000	stimulus	incorrect	5.091649
283.093112	4.896410	28.000000	fixation	na	na
287.989521	4.262651	29.000000	stimulus	correct	4.247403
292.252172	5.729283	29.000000	fixation	na	na
297.981455	5.945498	30.000000	stimulus	correct	5.933775
303.926953	4.046447	30.000000	fixation	na	na
307.973400	5.171785	31.000000	stimulus	correct	5.158198
313.145185	4.820116	31.000000	fixation	na	na
317.965301	4.321036	32.000000	stimulus	correct	4.305978
322.286337	5.669621	32.000000	fixation	na	na
327.955958	4.654475	33.000000	stimulus	correct	4.643087
332.610433	5.337213	33.000000	fixation	na	na
337.947646	4.293678	34.000000	stimulus	correct	4.279468
342.241324	5.698237	34.000000	fixation	na	na
347.939560	5.678925	35.000000	stimulus	correct	5.664412
353.618485	4.312950	35.000000	fixation	na	na
357.931436	5.888539	36.000000	stimulus	correct	5.872363
363.819975	0.717128	36.000000	fixation	na	na
