onset	duration	event	trial_number	trial_type	requested_SOA	actual_SOA	accuracy	resp1	resp2	rt1	rt2
8.007945	0.492000	fixation	1.000000	na	na	na	na	na	na	na	na
8.499945	1.499000	stimulus	1.000000	no_signal	0.000000	0.000000	correct	right	no_response	0.888000	0.000000
9.998945	0.492000	fixation	2.000000	na	na	na	na	na	na	na	na
10.490945	1.491000	stimulus	2.000000	no_signal	0.000000	0.000000	correct	left	no_response	0.904000	0.000000
11.981945	0.492000	fixation	3.000000	na	na	na	na	na	na	na	na
12.473945	1.492000	stimulus	3.000000	no_signal	0.000000	0.000000	correct	left	no_response	0.912000	0.000000
13.965945	0.492000	fixation	4.000000	na	na	na	na	na	na	na	na
14.457945	1.500000	stimulus	4.000000	signal	0.550000	0.550000	correct	no_response	no_response	0.000000	0.000000
15.957945	0.492000	fixation	5.000000	na	na	na	na	na	na	na	na
16.449945	1.491000	stimulus	5.000000	no_signal	0.000000	0.000000	correct	left	no_response	0.760000	0.000000
17.940945	0.491000	fixation	6.000000	na	na	na	na	na	na	na	na
18.431945	1.492000	stimulus	6.000000	signal	0.600000	0.593000	correct	no_response	no_response	0.000000	0.000000
19.923945	0.491000	fixation	7.000000	na	na	na	na	na	na	na	na
20.414945	1.492000	stimulus	7.000000	no_signal	0.000000	0.000000	correct	right	no_response	0.873000	0.000000
21.906945	0.491000	fixation	8.000000	na	na	na	na	na	na	na	na
22.397945	1.494000	stimulus	8.000000	no_signal	0.000000	0.000000	correct	right	no_response	0.842000	0.000000
23.891945	0.490000	fixation	9.000000	na	na	na	na	na	na	na	na
24.381945	1.492000	stimulus	9.000000	no_signal	0.000000	0.000000	correct	left	no_response	0.954000	0.000000
25.873945	0.492000	fixation	10.000000	na	na	na	na	na	na	na	na
26.365945	1.499000	stimulus	10.000000	signal	0.650000	0.642000	correct	no_response	no_response	0.000000	0.000000
27.864945	0.492000	fixation	11.000000	na	na	na	na	na	na	na	na
28.356945	1.491000	stimulus	11.000000	no_signal	0.000000	0.000000	correct	left	no_response	0.923000	0.000000
29.847945	0.494000	fixation	12.000000	na	na	na	na	na	na	na	na
30.341945	1.499000	stimulus	12.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.216000	0.000000
31.840945	0.490000	fixation	13.000000	na	na	na	na	na	na	na	na
32.330945	1.493000	stimulus	13.000000	no_signal	0.000000	0.000000	correct	right	no_response	0.884000	0.000000
33.823945	0.490000	fixation	14.000000	na	na	na	na	na	na	na	na
34.313945	1.493000	stimulus	14.000000	no_signal	0.000000	0.000000	correct	right	no_response	0.922000	0.000000
35.806945	0.491000	fixation	15.000000	na	na	na	na	na	na	na	na
36.297945	1.492000	stimulus	15.000000	signal	0.700000	0.693000	correct	no_response	no_response	0.000000	0.000000
37.789945	0.492000	fixation	16.000000	na	na	na	na	na	na	na	na
38.281945	1.493000	stimulus	16.000000	signal	0.750000	0.750000	signal_respond	left	no_response	0.607000	0.000000
39.774945	0.490000	fixation	17.000000	na	na	na	na	na	na	na	na
40.264945	1.492000	stimulus	17.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.075000	0.000000
41.756945	0.491000	fixation	18.000000	na	na	na	na	na	na	na	na
42.247945	1.493000	stimulus	18.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.035000	0.000000
43.740945	0.490000	fixation	19.000000	na	na	na	na	na	na	na	na
44.230945	1.493000	stimulus	19.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.126000	0.000000
45.723945	0.490000	fixation	20.000000	na	na	na	na	na	na	na	na
46.213945	1.493000	stimulus	20.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.335000	0.000000
47.706945	0.489000	fixation	21.000000	na	na	na	na	na	na	na	na
48.195945	1.495000	stimulus	21.000000	signal	0.700000	0.695000	signal_respond	left	no_response	0.949000	0.000000
49.690945	0.489000	fixation	22.000000	na	na	na	na	na	na	na	na
50.179945	1.495000	stimulus	22.000000	signal	0.650000	0.644000	correct	no_response	no_response	0.000000	0.000000
51.674945	0.488000	fixation	23.000000	na	na	na	na	na	na	na	na
52.162945	1.494000	stimulus	23.000000	no_signal	0.000000	0.000000	correct	left	no_response	0.818000	0.000000
53.656945	0.490000	fixation	24.000000	na	na	na	na	na	na	na	na
54.146945	1.493000	stimulus	24.000000	signal	0.700000	0.693000	correct	no_response	no_response	0.000000	0.000000
55.639945	0.490000	fixation	25.000000	na	na	na	na	na	na	na	na
56.129945	1.493000	stimulus	25.000000	no_signal	0.000000	0.000000	correct	right	no_response	0.837000	0.000000
57.622945	0.490000	fixation	26.000000	na	na	na	na	na	na	na	na
58.112945	1.494000	stimulus	26.000000	signal	0.750000	0.744000	correct	no_response	no_response	0.000000	0.000000
59.606945	0.490000	fixation	27.000000	na	na	na	na	na	na	na	na
60.096945	1.494000	stimulus	27.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.004000	0.000000
61.590945	0.488000	fixation	28.000000	na	na	na	na	na	na	na	na
62.078945	1.496000	stimulus	28.000000	no_signal	0.000000	0.000000	correct	left	no_response	0.993000	0.000000
63.574945	0.488000	fixation	29.000000	na	na	na	na	na	na	na	na
64.062945	1.494000	stimulus	29.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.168000	0.000000
65.556945	0.489000	fixation	30.000000	na	na	na	na	na	na	na	na
66.045945	1.494000	stimulus	30.000000	signal	0.800000	0.794000	correct	no_response	no_response	0.000000	0.000000
67.539945	0.489000	fixation	31.000000	na	na	na	na	na	na	na	na
68.028945	1.494000	stimulus	31.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.092000	0.000000
69.522945	0.490000	fixation	32.000000	na	na	na	na	na	na	na	na
70.012945	1.494000	stimulus	32.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.076000	0.000000
71.506945	0.489000	fixation	33.000000	na	na	na	na	na	na	na	na
71.995945	1.494000	stimulus	33.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.206000	0.000000
73.489945	0.488000	fixation	34.000000	na	na	na	na	na	na	na	na
73.977945	1.496000	stimulus	34.000000	signal	0.850000	0.846000	signal_respond	left	no_response	0.878000	0.000000
75.473945	0.488000	fixation	35.000000	na	na	na	na	na	na	na	na
75.961945	1.495000	stimulus	35.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.056000	0.000000
77.456945	0.489000	fixation	36.000000	na	na	na	na	na	na	na	na
77.945945	1.495000	stimulus	36.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.270000	0.000000
79.440945	0.487000	fixation	37.000000	na	na	na	na	na	na	na	na
79.927945	1.496000	stimulus	37.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.044000	0.000000
81.423945	0.488000	fixation	38.000000	na	na	na	na	na	na	na	na
81.911945	1.495000	stimulus	38.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.052000	0.000000
83.406945	0.488000	fixation	39.000000	na	na	na	na	na	na	na	na
83.894945	1.495000	stimulus	39.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.052000	0.000000
85.389945	0.488000	fixation	40.000000	na	na	na	na	na	na	na	na
85.877945	1.495000	stimulus	40.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.145000	0.000000
87.372945	0.489000	fixation	41.000000	na	na	na	na	na	na	na	na
