onset	duration	trial_number	stim_type	trial_type	accuracy	response_time
13.023053	0.992114	1.000000	scene	nontarget	correct	0.591581
14.015168	0.991129	1.000000	fixation	nontarget	na	na
15.006297	0.992103	2.000000	scene	nontarget	correct	0.565125
15.998400	0.991522	2.000000	fixation	nontarget	na	na
16.989922	0.992230	3.000000	scene	nontarget	correct	0.599055
17.982152	0.991141	3.000000	fixation	nontarget	na	na
18.973293	0.990959	4.000000	scene	nontarget	correct	0.588270
19.964252	0.992118	4.000000	fixation	nontarget	na	na
20.956369	0.992000	5.000000	scene	nontarget	correct	0.507771
21.948369	0.990994	5.000000	fixation	nontarget	na	na
22.939363	0.992167	6.000000	scene	nontarget	correct	0.553340
23.931531	0.991990	6.000000	fixation	nontarget	na	na
24.923521	0.991180	7.000000	scene	nontarget	correct	0.651620
25.914701	0.990961	7.000000	fixation	nontarget	na	na
26.905662	0.992086	8.000000	scene	nontarget	correct	0.572555
27.897748	0.992122	8.000000	fixation	nontarget	na	na
28.889870	0.990963	9.000000	scene	nontarget	correct	0.629170
29.880833	0.992060	9.000000	fixation	nontarget	na	na
30.872893	0.990964	10.000000	scene	nontarget	correct	0.744426
31.863857	0.991747	10.000000	fixation	nontarget	na	na
32.855604	0.992230	11.000000	scene	nontarget	correct	0.707115
33.847834	0.992120	11.000000	fixation	nontarget	na	na
34.839954	0.991021	12.000000	scene	nontarget	correct	0.717759
35.830975	0.992182	12.000000	fixation	nontarget	na	na
36.823157	0.990812	13.000000	scene	nontarget	correct	0.628392
37.813969	0.992086	13.000000	fixation	nontarget	na	na
38.806055	0.991080	14.000000	scene	target	correct	 NaN
39.797135	0.992137	14.000000	fixation	target	na	na
40.789271	0.991071	15.000000	scene	nontarget	correct	0.561233
41.780342	0.992037	15.000000	fixation	nontarget	na	na
42.772379	0.991129	16.000000	scene	nontarget	correct	0.724268
43.763508	0.992146	16.000000	fixation	nontarget	na	na
44.755654	0.991002	17.000000	scene	nontarget	correct	0.621628
45.746656	0.992899	17.000000	fixation	nontarget	na	na
46.739555	0.989876	18.000000	scene	nontarget	correct	0.583760
47.729432	0.992925	18.000000	fixation	nontarget	na	na
48.722356	0.991161	19.000000	scene	nontarget	correct	0.568911
49.713517	0.992063	19.000000	fixation	nontarget	na	na
50.705580	0.991102	20.000000	scene	nontarget	correct	0.510404
51.696682	0.992115	20.000000	fixation	nontarget	na	na
52.688797	0.991068	21.000000	scene	nontarget	correct	0.516893
53.679865	0.992902	21.000000	fixation	nontarget	na	na
54.672767	0.990043	22.000000	scene	nontarget	correct	0.718662
55.662810	0.993228	22.000000	fixation	nontarget	na	na
56.656039	0.989984	23.000000	scene	nontarget	correct	0.494049
57.646023	0.993242	23.000000	fixation	nontarget	na	na
58.639265	0.999559	24.000000	scene	target	correct	 NaN
59.638824	0.989906	24.000000	fixation	target	na	na
60.628730	0.993717	25.000000	scene	nontarget	correct	0.435399
61.622447	0.989922	25.000000	fixation	nontarget	na	na
62.612368	0.993141	26.000000	scene	target	correct	 NaN
63.605509	0.990047	26.000000	fixation	target	na	na
64.595557	0.993669	27.000000	scene	target	correct	 NaN
65.589225	0.988700	27.000000	fixation	target	na	na
66.577925	0.994347	28.000000	scene	nontarget	correct	0.473466
67.572272	0.990023	28.000000	fixation	nontarget	na	na
68.562296	0.993240	29.000000	scene	nontarget	correct	0.539044
69.555536	0.988738	29.000000	fixation	nontarget	na	na
70.544274	0.994772	30.000000	scene	nontarget	correct	0.627938
71.539046	0.988714	30.000000	fixation	nontarget	na	na
72.527759	0.994196	31.000000	scene	target	correct	 NaN
73.521955	0.989995	31.000000	fixation	target	na	na
74.511950	0.993207	32.000000	scene	nontarget	correct	0.394258
75.505157	0.989986	32.000000	fixation	nontarget	na	na
76.495144	0.993215	33.000000	scene	nontarget	correct	0.584373
77.488359	0.990003	33.000000	fixation	nontarget	na	na
78.478362	0.994509	34.000000	scene	nontarget	correct	0.551535
79.472871	0.987554	34.000000	fixation	nontarget	na	na
80.460425	0.994376	35.000000	scene	nontarget	correct	0.623002
81.454801	0.988730	35.000000	fixation	nontarget	na	na
82.443531	0.995257	36.000000	scene	nontarget	correct	0.661717
83.438788	0.988757	36.000000	fixation	nontarget	na	na
84.427545	0.994358	37.000000	scene	nontarget	correct	0.892921
85.421903	0.988923	37.000000	fixation	nontarget	na	na
86.410827	0.994387	38.000000	scene	nontarget	correct	0.874991
87.405213	0.988829	38.000000	fixation	nontarget	na	na
88.394042	0.994780	39.000000	scene	nontarget	correct	0.629960
89.388822	0.987585	39.000000	fixation	nontarget	na	na
90.376407	0.995343	40.000000	scene	nontarget	correct	0.641496
91.371750	0.988740	40.000000	fixation	nontarget	na	na
92.360490	0.994309	41.000000	scene	nontarget	correct	0.540873
93.354799	0.988898	41.000000	fixation	nontarget	na	na
94.343697	0.995113	42.000000	scene	nontarget	correct	0.671940
95.338809	0.987599	42.000000	fixation	nontarget	na	na
96.326408	0.995346	43.000000	scene	nontarget	correct	0.732485
97.321754	0.987633	43.000000	fixation	nontarget	na	na
98.309387	0.995460	44.000000	scene	nontarget	correct	0.744048
99.304847	0.987583	44.000000	fixation	nontarget	na	na
100.292429	0.996397	45.000000	scene	nontarget	correct	0.745537
101.288827	0.999952	45.000000	fixation	nontarget	na	na
102.288778	0.999939	46.000000	scene	nontarget	correct	0.532951
103.288717	0.999485	46.000000	fixation	nontarget	na	na
104.288202	0.987590	47.000000	scene	nontarget	correct	0.633057
105.275792	0.996268	47.000000	fixation	nontarget	na	na
106.272060	0.999461	48.000000	scene	nontarget	correct	0.567581
107.271521	0.987453	48.000000	fixation	nontarget	na	na
108.258973	0.996484	49.000000	scene	nontarget	correct	0.558316
109.255457	0.999364	49.000000	fixation	nontarget	na	na
110.254821	0.987580	50.000000	scene	nontarget	correct	0.703247
111.242401	0.995465	50.000000	fixation	nontarget	na	na
112.237866	0.987584	51.000000	scene	nontarget	correct	0.687122
113.225450	0.996425	51.000000	fixation	nontarget	na	na
114.221875	1.000014	52.000000	scene	target	incorrect	0.836548
115.221889	1.000017	52.000000	fixation	target	na	na
116.221905	0.999333	53.000000	scene	nontarget	correct	0.828169
117.221239	1.000525	53.000000	fixation	nontarget	na	na
118.221763	0.999333	54.000000	scene	nontarget	correct	0.711540
119.221097	1.000488	54.000000	fixation	nontarget	na	na
120.221585	1.000550	55.000000	scene	nontarget	correct	0.784902
121.222135	0.999700	55.000000	fixation	nontarget	na	na
122.221835	0.999679	56.000000	scene	target	correct	 NaN
123.221514	1.000424	56.000000	fixation	target	na	na
124.221938	0.999447	57.000000	scene	nontarget	correct	0.409753
125.221385	1.000446	57.000000	fixation	nontarget	na	na
126.221831	0.999456	58.000000	scene	nontarget	correct	0.786922
127.221287	1.000413	58.000000	fixation	nontarget	na	na
128.221700	0.999452	59.000000	scene	nontarget	correct	0.897107
129.221151	1.000434	59.000000	fixation	nontarget	na	na
130.221585	0.999467	60.000000	scene	nontarget	correct	0.675141
131.221051	1.000407	60.000000	fixation	nontarget	na	na
132.221459	0.999447	61.000000	scene	nontarget	correct	0.820971
133.220906	1.000397	61.000000	fixation	nontarget	na	na
134.221302	1.000442	62.000000	scene	nontarget	correct	0.700974
135.221744	0.999534	62.000000	fixation	nontarget	na	na
136.221278	1.000480	63.000000	scene	nontarget	correct	0.731608
137.221758	0.999802	63.000000	fixation	nontarget	na	na
138.221560	0.999959	64.000000	scene	nontarget	correct	0.630811
139.221519	0.999420	64.000000	fixation	nontarget	na	na
140.220939	1.000470	65.000000	scene	nontarget	correct	0.662681
141.221408	0.999410	65.000000	fixation	nontarget	na	na
142.220818	1.000664	66.000000	scene	nontarget	incorrect	 NaN
143.221482	0.999425	66.000000	fixation	nontarget	na	na
144.220907	1.000443	67.000000	scene	nontarget	correct	0.318491
145.221350	0.999392	67.000000	fixation	nontarget	na	na
146.220742	1.000469	68.000000	scene	nontarget	correct	0.588413
