onset	duration	trial_number	event	accuracy	response_time
8.016217	3.999364	1.000000	stimulus	incorrect	3.986219
12.015581	5.990398	1.000000	fixation	na	na
18.005979	3.193285	2.000000	stimulus	correct	3.186485
21.199264	6.800567	2.000000	fixation	na	na
27.999831	4.765168	3.000000	stimulus	correct	4.758521
32.764999	5.223857	3.000000	fixation	na	na
37.988856	4.066719	4.000000	stimulus	incorrect	4.056327
42.055575	5.926991	4.000000	fixation	na	na
47.982566	2.832871	5.000000	stimulus	correct	2.820716
50.815437	7.156352	5.000000	fixation	na	na
57.971790	3.260404	6.000000	stimulus	correct	3.245971
61.232193	6.733383	6.000000	fixation	na	na
67.965576	4.015227	7.000000	stimulus	correct	4.007781
71.980803	5.975240	7.000000	fixation	na	na
77.956043	2.942760	8.000000	stimulus	correct	2.930395
80.898803	7.050018	8.000000	fixation	na	na
87.948821	4.232066	9.000000	stimulus	correct	4.221652
92.180887	5.758337	9.000000	fixation	na	na
97.939224	5.592279	10.000000	stimulus	correct	5.582737
103.531503	4.400485	10.000000	fixation	na	na
107.931988	5.290345	11.000000	stimulus	incorrect	5.280214
113.222333	4.700164	11.000000	fixation	na	na
117.922497	4.916049	12.000000	stimulus	incorrect	4.905084
122.838546	5.075406	12.000000	fixation	na	na
127.913952	3.674799	13.000000	stimulus	correct	3.666839
131.588751	6.316697	13.000000	fixation	na	na
137.905447	2.841970	14.000000	stimulus	correct	2.829721
140.747417	7.149497	14.000000	fixation	na	na
147.896913	5.157740	15.000000	stimulus	correct	5.152438
153.054653	4.835017	15.000000	fixation	na	na
157.889670	4.232838	16.000000	stimulus	correct	4.220155
162.122508	5.757472	16.000000	fixation	na	na
167.879980	3.784227	17.000000	stimulus	correct	3.771752
171.664207	6.208457	17.000000	fixation	na	na
177.872664	4.541026	18.000000	stimulus	correct	4.532024
182.413691	5.450648	18.000000	fixation	na	na
187.864339	4.315983	19.000000	stimulus	correct	4.302670
192.180322	5.675624	19.000000	fixation	na	na
197.855947	2.441260	20.000000	stimulus	correct	2.433384
200.297207	7.549103	20.000000	fixation	na	na
207.846310	5.508544	21.000000	stimulus	correct	5.503256
213.354854	4.483961	21.000000	fixation	na	na
217.838814	4.623558	22.000000	stimulus	correct	4.608230
222.462372	5.366783	22.000000	fixation	na	na
227.829155	2.609283	23.000000	stimulus	correct	2.601575
230.438438	7.384350	23.000000	fixation	na	na
237.822789	5.189505	24.000000	stimulus	incorrect	5.182967
243.012294	4.801042	24.000000	fixation	na	na
247.813336	3.925682	25.000000	stimulus	correct	3.918980
251.739017	6.066977	25.000000	fixation	na	na
257.805994	4.406635	26.000000	stimulus	incorrect	4.394945
262.212629	5.582560	26.000000	fixation	na	na
267.795190	4.893593	27.000000	stimulus	correct	4.884434
272.688783	5.100005	27.000000	fixation	na	na
277.788788	4.140091	28.000000	stimulus	correct	4.130532
281.928879	5.850350	28.000000	fixation	na	na
287.779230	2.892413	29.000000	stimulus	correct	2.887023
290.671642	7.101452	29.000000	fixation	na	na
297.773094	3.566514	30.000000	stimulus	correct	3.553117
301.339608	6.432554	30.000000	fixation	na	na
307.772162	3.466482	31.000000	stimulus	correct	3.455295
311.238644	6.522747	31.000000	fixation	na	na
317.761390	5.266554	32.000000	stimulus	incorrect	5.261177
323.027945	4.728451	32.000000	fixation	na	na
327.756396	2.188559	33.000000	stimulus	correct	2.179666
329.944955	7.811338	33.000000	fixation	na	na
337.756293	4.855325	34.000000	stimulus	correct	4.847448
342.611618	5.144581	34.000000	fixation	na	na
347.756198	4.449646	35.000000	stimulus	correct	4.440781
352.205844	5.550264	35.000000	fixation	na	na
357.756108	4.416540	36.000000	stimulus	correct	4.400481
362.172648	0.717812	36.000000	fixation	na	na
