onset	duration	trial_number	stim_type	trial_type	accuracy	response_time
13.029212	0.999848	1.000000	scene	nontarget	correct	0.584352
14.029060	1.000130	1.000000	fixation	nontarget	na	na
15.029190	0.999870	2.000000	scene	nontarget	correct	0.600208
16.029060	1.000074	2.000000	fixation	nontarget	na	na
17.029133	0.999841	3.000000	scene	nontarget	correct	0.691760
18.028974	0.999741	3.000000	fixation	nontarget	na	na
19.028715	1.000053	4.000000	scene	target	correct	 NaN
20.028768	0.999790	4.000000	fixation	target	na	na
21.028558	0.999794	5.000000	scene	nontarget	correct	0.492906
22.028352	1.000835	5.000000	fixation	nontarget	na	na
23.029188	0.999707	6.000000	scene	nontarget	correct	0.689313
24.028894	0.999793	6.000000	fixation	nontarget	na	na
25.028688	0.999771	7.000000	scene	nontarget	correct	0.654251
26.028459	1.000442	7.000000	fixation	nontarget	na	na
27.028901	1.000007	8.000000	scene	nontarget	correct	0.720010
28.028908	0.999811	8.000000	fixation	nontarget	na	na
29.028718	0.999778	9.000000	scene	target	incorrect	0.679958
30.028497	0.999796	9.000000	fixation	target	na	na
31.028292	1.000614	10.000000	scene	target	correct	 NaN
32.028906	0.999840	10.000000	fixation	target	na	na
33.028747	0.999777	11.000000	scene	nontarget	correct	0.350951
34.028524	0.999701	11.000000	fixation	nontarget	na	na
35.028225	1.000700	12.000000	scene	nontarget	correct	0.590498
36.028924	0.999917	12.000000	fixation	nontarget	na	na
37.028841	0.999287	13.000000	scene	target	correct	 NaN
38.028128	1.000796	13.000000	fixation	target	na	na
39.028924	0.999828	14.000000	scene	nontarget	correct	0.724659
40.028752	0.999824	14.000000	fixation	nontarget	na	na
41.028576	0.999849	15.000000	scene	nontarget	correct	0.645789
42.028425	0.999788	15.000000	fixation	nontarget	na	na
43.028213	1.000704	16.000000	scene	nontarget	correct	0.711976
44.028917	0.999803	16.000000	fixation	nontarget	na	na
45.028720	0.999780	17.000000	scene	nontarget	correct	0.736482
46.028499	1.000013	17.000000	fixation	nontarget	na	na
47.028512	0.999782	18.000000	scene	nontarget	correct	0.559941
48.028294	0.999788	18.000000	fixation	nontarget	na	na
49.028083	1.000821	19.000000	scene	nontarget	correct	0.488965
50.028903	0.999812	19.000000	fixation	nontarget	na	na
51.028716	0.999786	20.000000	scene	nontarget	correct	0.621109
52.028502	0.999745	20.000000	fixation	nontarget	na	na
53.028247	0.999826	21.000000	scene	nontarget	correct	0.740908
54.028073	0.999789	21.000000	fixation	nontarget	na	na
55.027862	1.000707	22.000000	scene	nontarget	correct	0.850628
56.028569	0.999811	22.000000	fixation	nontarget	na	na
57.028381	0.999808	23.000000	scene	nontarget	correct	0.760073
58.028188	0.999781	23.000000	fixation	nontarget	na	na
59.027970	1.000777	24.000000	scene	nontarget	correct	0.713454
60.028747	0.999830	24.000000	fixation	nontarget	na	na
61.028577	0.999797	25.000000	scene	nontarget	correct	0.719105
62.028374	1.000059	25.000000	fixation	nontarget	na	na
63.028433	0.999778	26.000000	scene	nontarget	correct	0.741399
64.028211	0.999774	26.000000	fixation	nontarget	na	na
65.027985	0.999750	27.000000	scene	nontarget	correct	0.556085
66.027734	1.000805	27.000000	fixation	nontarget	na	na
67.028539	0.999785	28.000000	scene	nontarget	correct	0.649431
68.028325	0.999788	28.000000	fixation	nontarget	na	na
69.028113	0.999773	29.000000	scene	nontarget	correct	0.589049
70.027885	1.000794	29.000000	fixation	nontarget	na	na
71.028679	0.999801	30.000000	scene	nontarget	correct	0.742434
72.028480	0.999792	30.000000	fixation	nontarget	na	na
73.028272	0.999779	31.000000	scene	nontarget	correct	0.784545
74.028051	0.999755	31.000000	fixation	nontarget	na	na
75.027806	0.999655	32.000000	scene	nontarget	correct	0.816480
76.027461	1.000614	32.000000	fixation	nontarget	na	na
77.028074	0.999790	33.000000	scene	nontarget	correct	0.750246
78.027864	0.999711	33.000000	fixation	nontarget	na	na
79.027575	1.000593	34.000000	scene	nontarget	correct	0.724582
80.028168	0.999786	34.000000	fixation	nontarget	na	na
81.027954	1.000045	35.000000	scene	nontarget	incorrect	 NaN
82.027999	0.999767	35.000000	fixation	nontarget	na	na
83.027766	1.000424	36.000000	scene	nontarget	correct	0.373512
84.028190	0.999774	36.000000	fixation	nontarget	na	na
85.027963	0.999705	37.000000	scene	nontarget	correct	0.724108
86.027668	0.999687	37.000000	fixation	nontarget	na	na
87.027355	1.000740	38.000000	scene	nontarget	correct	0.558463
88.028096	0.999791	38.000000	fixation	nontarget	na	na
89.027887	1.000138	39.000000	scene	nontarget	correct	0.600756
90.028025	0.999786	39.000000	fixation	nontarget	na	na
91.027811	0.999760	40.000000	scene	nontarget	correct	0.708009
92.027571	1.000577	40.000000	fixation	nontarget	na	na
93.028149	0.999768	41.000000	scene	nontarget	correct	0.598956
94.027917	0.999763	41.000000	fixation	nontarget	na	na
95.027679	0.999979	42.000000	scene	target	correct	 NaN
96.027658	0.999644	42.000000	fixation	target	na	na
97.027302	1.000705	43.000000	scene	nontarget	correct	0.333436
98.028007	0.999753	43.000000	fixation	nontarget	na	na
99.027760	0.999659	44.000000	scene	nontarget	correct	0.538923
100.027419	0.999801	44.000000	fixation	nontarget	na	na
101.027220	1.000691	45.000000	scene	nontarget	correct	0.572158
102.027911	0.999802	45.000000	fixation	nontarget	na	na
103.027713	0.999683	46.000000	scene	nontarget	correct	0.770154
104.027395	1.000568	46.000000	fixation	nontarget	na	na
105.027964	0.999766	47.000000	scene	nontarget	correct	0.805391
106.027729	0.999731	47.000000	fixation	nontarget	na	na
107.027460	0.999771	48.000000	scene	nontarget	correct	0.716630
108.027231	1.000695	48.000000	fixation	nontarget	na	na
109.027926	0.999505	49.000000	scene	target	correct	 NaN
110.027431	0.999688	49.000000	fixation	target	na	na
111.027119	1.000748	50.000000	scene	nontarget	correct	0.477533
112.027867	0.999771	50.000000	fixation	nontarget	na	na
113.027638	0.999666	51.000000	scene	target	incorrect	0.706391
114.027305	0.999798	51.000000	fixation	target	na	na
115.027103	1.000641	52.000000	scene	nontarget	correct	0.730073
116.027744	0.999759	52.000000	fixation	nontarget	na	na
117.027502	0.999824	53.000000	scene	nontarget	correct	0.671086
118.027327	0.999797	53.000000	fixation	nontarget	na	na
119.027123	1.000663	54.000000	scene	nontarget	correct	0.640762
120.027786	0.999808	54.000000	fixation	nontarget	na	na
121.027594	0.999748	55.000000	scene	nontarget	correct	0.585604
122.027342	0.999775	55.000000	fixation	nontarget	na	na
123.027117	0.999734	56.000000	scene	nontarget	correct	0.897526
124.026851	1.000620	56.000000	fixation	nontarget	na	na
125.027470	0.999677	57.000000	scene	nontarget	correct	0.793950
126.027147	0.999722	57.000000	fixation	nontarget	na	na
127.026869	1.000611	58.000000	scene	nontarget	correct	0.873559
128.027480	0.999991	58.000000	fixation	nontarget	na	na
129.027471	0.999665	59.000000	scene	nontarget	correct	0.769184
130.027136	0.999750	59.000000	fixation	nontarget	na	na
131.026886	1.000609	60.000000	scene	nontarget	correct	0.718787
132.027495	0.999818	60.000000	fixation	nontarget	na	na
133.027313	0.999781	61.000000	scene	nontarget	correct	0.556945
134.027095	1.000286	61.000000	fixation	nontarget	na	na
135.027380	0.999817	62.000000	scene	nontarget	correct	0.715903
136.027198	1.000178	62.000000	fixation	nontarget	na	na
137.027376	0.999791	63.000000	scene	nontarget	correct	0.684117
138.027167	0.999741	63.000000	fixation	nontarget	na	na
139.026907	1.000567	64.000000	scene	nontarget	correct	0.739030
140.027475	0.999830	64.000000	fixation	nontarget	na	na
141.027304	1.000094	65.000000	scene	nontarget	correct	0.741018
142.027398	0.999776	65.000000	fixation	nontarget	na	na
143.027175	0.999747	66.000000	scene	nontarget	correct	0.769583
144.026922	1.000440	66.000000	fixation	nontarget	na	na
145.027362	0.999909	67.000000	scene	nontarget	correct	0.931473
146.027271	0.999794	67.000000	fixation	nontarget	na	na
147.027065	0.999674	68.000000	scene	target	incorrect	0.800776
