onset	duration	trial_number	stim_type	trial_type	accuracy	response_time
13.025101	0.990527	1.000000	face	nontarget	correct	0.485465
14.015628	0.992751	1.000000	fixation	nontarget	na	na
15.008378	0.991413	2.000000	face	nontarget	correct	0.450783
15.999791	0.991100	2.000000	fixation	nontarget	na	na
16.990891	0.991658	3.000000	face	nontarget	correct	0.517971
17.982549	0.991703	3.000000	fixation	nontarget	na	na
18.974252	0.991642	4.000000	face	nontarget	correct	0.625854
19.965894	0.991660	4.000000	fixation	nontarget	na	na
20.957554	0.991693	5.000000	face	nontarget	correct	0.557481
21.949247	0.991639	5.000000	fixation	nontarget	na	na
22.940886	0.991145	6.000000	face	nontarget	incorrect	 NaN
23.932031	0.992931	6.000000	fixation	nontarget	na	na
24.924962	0.990378	7.000000	face	target	incorrect	0.443942
25.915340	0.992901	7.000000	fixation	target	na	na
26.908241	0.990448	8.000000	face	nontarget	correct	0.502294
27.898689	0.992957	8.000000	fixation	nontarget	na	na
28.891646	0.990441	9.000000	face	nontarget	correct	0.758650
29.882087	0.991581	9.000000	fixation	nontarget	na	na
30.873667	0.992739	10.000000	face	nontarget	correct	0.571440
31.866406	0.991812	10.000000	fixation	nontarget	na	na
32.858218	0.991770	11.000000	face	nontarget	correct	0.625307
33.849988	0.990542	11.000000	fixation	nontarget	na	na
34.840530	0.991546	12.000000	face	nontarget	correct	0.675767
35.832076	0.992769	12.000000	fixation	nontarget	na	na
36.824845	0.991811	13.000000	face	nontarget	correct	0.614040
37.816656	0.990568	13.000000	fixation	nontarget	na	na
38.807223	0.992848	14.000000	face	nontarget	correct	0.602968
39.800072	0.990363	14.000000	fixation	nontarget	na	na
40.790434	0.992785	15.000000	face	nontarget	correct	0.563095
41.783219	0.990512	15.000000	fixation	nontarget	na	na
42.773731	0.992940	16.000000	face	nontarget	correct	0.646980
43.766671	0.990548	16.000000	fixation	nontarget	na	na
44.757219	0.992483	17.000000	face	nontarget	correct	0.640217
45.749702	0.990481	17.000000	fixation	nontarget	na	na
46.740183	0.992523	18.000000	face	nontarget	correct	0.702473
47.732705	0.991761	18.000000	fixation	nontarget	na	na
48.724466	0.991689	19.000000	face	nontarget	correct	0.756071
49.716155	0.991726	19.000000	fixation	nontarget	na	na
50.707882	0.991561	20.000000	face	nontarget	correct	0.669902
51.699443	0.991845	20.000000	fixation	nontarget	na	na
52.691288	0.991759	21.000000	face	nontarget	correct	0.610004
53.683047	0.990535	21.000000	fixation	nontarget	na	na
54.673581	0.992869	22.000000	face	nontarget	correct	0.759963
55.666450	0.990509	22.000000	fixation	nontarget	na	na
56.656960	0.992839	23.000000	face	nontarget	correct	0.571745
57.649799	0.990539	23.000000	fixation	nontarget	na	na
58.640338	0.992885	24.000000	face	nontarget	correct	0.717886
59.633223	0.990552	24.000000	fixation	nontarget	na	na
60.623775	0.992976	25.000000	face	nontarget	correct	0.809506
61.616751	0.990532	25.000000	fixation	nontarget	na	na
62.607283	0.991586	26.000000	face	nontarget	correct	0.590371
63.598869	0.991842	26.000000	fixation	nontarget	na	na
64.590711	0.992235	27.000000	face	target	correct	 NaN
65.582946	0.990544	27.000000	fixation	target	na	na
66.573490	0.992906	28.000000	face	nontarget	correct	0.503293
67.566396	0.990522	28.000000	fixation	nontarget	na	na
68.556919	0.992859	29.000000	face	nontarget	correct	0.696775
69.549777	0.990543	29.000000	fixation	nontarget	na	na
70.540320	0.992898	30.000000	face	nontarget	correct	0.666058
71.533218	0.990470	30.000000	fixation	nontarget	na	na
72.523688	0.992726	31.000000	face	nontarget	correct	0.659168
73.516414	0.990522	31.000000	fixation	nontarget	na	na
74.506935	0.992773	32.000000	face	nontarget	correct	0.585408
75.499708	0.990557	32.000000	fixation	nontarget	na	na
76.490265	0.992955	33.000000	face	nontarget	correct	0.974220
77.483219	0.990673	33.000000	fixation	nontarget	na	na
78.473892	0.992483	34.000000	face	nontarget	correct	0.699820
79.466375	0.990685	34.000000	fixation	nontarget	na	na
80.457059	0.992125	35.000000	face	target	correct	 NaN
81.449184	0.990471	35.000000	fixation	target	na	na
82.439656	0.992782	36.000000	face	nontarget	correct	0.440120
83.432437	0.990431	36.000000	fixation	nontarget	na	na
84.422868	0.993513	37.000000	face	target	correct	 NaN
85.416381	0.990633	37.000000	fixation	target	na	na
86.407014	0.992885	38.000000	face	target	incorrect	0.398574
87.399900	0.990642	38.000000	fixation	target	na	na
88.390541	0.991621	39.000000	face	nontarget	correct	0.572045
89.382163	0.991744	39.000000	fixation	nontarget	na	na
90.373906	0.992499	40.000000	face	nontarget	correct	0.714348
