onset	duration	trial_number	event	accuracy	response_time
8.032867	1.849756	1.000000	stimulus	correct	1.835628
9.882622	8.149584	1.000000	fixation	na	na
18.032206	2.416409	2.000000	stimulus	correct	2.401252
20.448615	7.582946	2.000000	fixation	na	na
28.031561	3.366319	3.000000	stimulus	incorrect	3.350030
31.397880	6.633046	3.000000	fixation	na	na
38.030926	3.849618	4.000000	stimulus	correct	3.833081
41.880543	6.149765	4.000000	fixation	na	na
48.030309	3.132995	5.000000	stimulus	correct	3.118650
51.163303	6.866332	5.000000	fixation	na	na
58.029635	4.182955	6.000000	stimulus	correct	4.160060
62.212590	5.816404	6.000000	fixation	na	na
68.028995	2.999699	7.000000	stimulus	correct	2.983547
71.028693	6.999674	7.000000	fixation	na	na
78.028367	2.349726	8.000000	stimulus	correct	2.332161
80.378093	7.649619	8.000000	fixation	na	na
88.027713	2.449733	9.000000	stimulus	correct	2.436510
90.477446	7.549627	9.000000	fixation	na	na
98.027073	3.066366	10.000000	stimulus	correct	3.058219
101.093438	6.932995	10.000000	fixation	na	na
108.026433	5.132895	11.000000	stimulus	correct	5.113493
113.159329	4.866463	11.000000	fixation	na	na
118.025791	2.183088	12.000000	stimulus	correct	2.171026
120.208880	7.816272	12.000000	fixation	na	na
128.025152	3.283014	13.000000	stimulus	correct	3.261039
131.308166	6.716345	13.000000	fixation	na	na
138.024511	3.616329	14.000000	stimulus	correct	3.602969
141.640840	6.383035	14.000000	fixation	na	na
148.023875	4.616247	15.000000	stimulus	correct	4.594728
152.640121	5.383113	15.000000	fixation	na	na
158.023234	4.299597	16.000000	stimulus	correct	4.281907
162.322831	5.699763	16.000000	fixation	na	na
168.022595	3.266353	17.000000	stimulus	correct	3.252537
171.288948	6.733010	17.000000	fixation	na	na
178.021958	2.866376	18.000000	stimulus	correct	2.854070
180.888334	7.132987	18.000000	fixation	na	na
188.021321	1.633099	19.000000	stimulus	correct	1.624394
189.654420	8.366261	19.000000	fixation	na	na
198.020681	3.116361	20.000000	stimulus	correct	3.102970
201.137042	6.883004	20.000000	fixation	na	na
208.020047	3.533022	21.000000	stimulus	correct	3.523473
211.553068	6.466347	21.000000	fixation	na	na
218.019416	5.549532	22.000000	stimulus	correct	5.526775
223.568948	4.449832	22.000000	fixation	na	na
228.018780	3.782977	23.000000	stimulus	correct	3.767336
231.801757	6.216417	23.000000	fixation	na	na
238.018175	2.433029	24.000000	stimulus	correct	2.410793
240.451204	7.566322	24.000000	fixation	na	na
248.017526	3.949614	25.000000	stimulus	correct	3.933245
251.967140	6.049728	25.000000	fixation	na	na
258.016868	2.966365	26.000000	stimulus	correct	2.954786
260.983233	7.032995	26.000000	fixation	na	na
268.016228	4.182957	27.000000	stimulus	correct	4.172384
272.199185	5.816404	27.000000	fixation	na	na
278.015590	6.116151	28.000000	stimulus	correct	6.105296
284.131741	3.883213	28.000000	fixation	na	na
288.014954	2.249725	29.000000	stimulus	correct	2.238243
290.264679	7.749643	29.000000	fixation	na	na
298.014322	2.566432	30.000000	stimulus	correct	2.548847
300.580753	7.432931	30.000000	fixation	na	na
308.013684	5.199570	31.000000	stimulus	incorrect	5.181261
313.213254	4.799794	31.000000	fixation	na	na
318.013048	3.816304	32.000000	stimulus	correct	3.796233
321.829352	6.183062	32.000000	fixation	na	na
328.012414	3.816324	33.000000	stimulus	correct	3.793124
331.828739	6.183042	33.000000	fixation	na	na
338.011781	5.382866	34.000000	stimulus	correct	5.358897
343.394647	4.616497	34.000000	fixation	na	na
348.011144	1.699785	35.000000	stimulus	correct	1.686135
349.710929	8.299582	35.000000	fixation	na	na
358.010511	3.882980	36.000000	stimulus	correct	3.868565
361.893490	0.716182	36.000000	fixation	na	na
