onset	duration	trial_number	trial_type	frame_number	time_of_response
8.049837	0.043486	1.000000	nontarget	1.000000	na
8.093324	0.050659	1.000000	nontarget	2.000000	na
8.143983	0.050128	1.000000	nontarget	3.000000	na
8.194111	0.049985	1.000000	nontarget	4.000000	na
8.244096	0.050158	1.000000	nontarget	5.000000	na
8.294254	0.049611	1.000000	nontarget	6.000000	na
8.343865	0.050228	1.000000	nontarget	7.000000	na
8.394093	0.049454	1.000000	nontarget	8.000000	na
8.443547	0.050546	1.000000	nontarget	9.000000	na
8.494092	0.049844	1.000000	nontarget	10.000000	na
8.543936	0.050186	1.000000	nontarget	11.000000	na
8.594122	0.049627	1.000000	nontarget	12.000000	na
8.643749	0.050394	1.000000	nontarget	13.000000	na
8.694143	0.049943	1.000000	nontarget	14.000000	na
8.744086	0.050357	1.000000	nontarget	15.000000	na
8.794443	0.049400	1.000000	nontarget	16.000000	8.801289
8.843843	0.049799	2.000000	nontarget	1.000000	8.850676
8.893642	0.050418	2.000000	nontarget	2.000000	na
8.944060	0.049143	2.000000	nontarget	3.000000	na
8.993203	0.050803	2.000000	nontarget	4.000000	na
9.044006	0.050011	2.000000	nontarget	5.000000	na
9.094017	0.038631	2.000000	nontarget	6.000000	na
9.132648	0.044034	2.000000	nontarget	7.000000	na
9.176682	0.039508	2.000000	nontarget	8.000000	na
9.216191	0.044399	2.000000	nontarget	9.000000	na
9.260589	0.038654	2.000000	nontarget	10.000000	na
9.299243	0.044267	2.000000	nontarget	11.000000	na
9.343510	0.038391	2.000000	nontarget	12.000000	na
9.381901	0.045444	2.000000	nontarget	13.000000	na
9.427344	0.049668	2.000000	nontarget	14.000000	na
9.477012	0.050585	2.000000	nontarget	15.000000	na
9.527597	0.037852	2.000000	nontarget	16.000000	9.534301
9.565449	0.045467	3.000000	nontarget	1.000000	9.570519
9.610916	0.049978	3.000000	nontarget	2.000000	na
9.660894	0.049939	3.000000	nontarget	3.000000	na
9.710833	0.049913	3.000000	nontarget	4.000000	na
9.760746	0.050153	3.000000	nontarget	5.000000	na
9.810898	0.049193	3.000000	nontarget	6.000000	na
9.860092	0.050518	3.000000	nontarget	7.000000	na
9.910610	0.049537	3.000000	nontarget	8.000000	na
9.960147	0.049996	3.000000	nontarget	9.000000	na
10.010143	0.050489	3.000000	nontarget	10.000000	na
10.060632	0.049470	3.000000	nontarget	11.000000	na
10.110101	0.050042	3.000000	nontarget	12.000000	na
10.160144	0.050284	3.000000	nontarget	13.000000	na
10.210428	0.038195	3.000000	nontarget	14.000000	10.217026
10.248623	0.044850	3.000000	nontarget	15.000000	na
10.293473	0.038353	3.000000	nontarget	16.000000	na
10.331825	0.045283	4.000000	nontarget	1.000000	10.336861
10.377108	0.050038	4.000000	nontarget	2.000000	na
10.427146	0.038547	4.000000	nontarget	3.000000	na
10.465694	0.044925	4.000000	nontarget	4.000000	na
10.510618	0.038300	4.000000	nontarget	5.000000	na
10.548918	0.045483	4.000000	nontarget	6.000000	na
10.594401	0.049862	4.000000	nontarget	7.000000	na
10.644263	0.049543	4.000000	nontarget	8.000000	na
10.693805	0.049666	4.000000	nontarget	9.000000	na
10.743471	0.050358	4.000000	nontarget	10.000000	na
10.793829	0.050377	4.000000	nontarget	11.000000	na
10.844206	0.049981	4.000000	nontarget	12.000000	na
10.894188	0.049663	4.000000	nontarget	13.000000	10.900854
10.943851	0.038515	4.000000	nontarget	14.000000	na
10.982366	0.044632	4.000000	nontarget	15.000000	na
11.026998	0.050283	4.000000	nontarget	16.000000	na
11.077280	0.049878	5.000000	nontarget	1.000000	na
11.127158	0.050214	5.000000	nontarget	2.000000	na
11.177372	0.049612	5.000000	nontarget	3.000000	na
11.226984	0.038852	5.000000	nontarget	4.000000	na
11.265836	0.044319	5.000000	nontarget	5.000000	na
11.310155	0.038639	5.000000	nontarget	6.000000	na
11.348794	0.045547	5.000000	nontarget	7.000000	na
11.394340	0.049473	5.000000	nontarget	8.000000	na
11.443813	0.050048	5.000000	nontarget	9.000000	na
11.493861	0.050023	5.000000	nontarget	10.000000	na
11.543884	0.050194	5.000000	nontarget	11.000000	11.560072
11.594078	0.049187	5.000000	nontarget	12.000000	na
11.643265	0.050916	5.000000	nontarget	13.000000	na
11.694181	0.049576	5.000000	nontarget	14.000000	na
11.743757	0.038643	5.000000	nontarget	15.000000	na
11.782399	0.044634	5.000000	nontarget	16.000000	na
11.827033	0.049837	6.000000	nontarget	1.000000	na
11.876871	0.038527	6.000000	nontarget	2.000000	na
11.915397	0.045033	6.000000	nontarget	3.000000	na
11.960431	0.049353	6.000000	nontarget	4.000000	na
12.009783	0.050771	6.000000	nontarget	5.000000	na
12.060555	0.049902	6.000000	nontarget	6.000000	na
12.110457	0.050359	6.000000	nontarget	7.000000	na
12.160816	0.049650	6.000000	nontarget	8.000000	na
12.210466	0.049990	6.000000	nontarget	9.000000	na
12.260456	0.037981	6.000000	nontarget	10.000000	12.276136
