onset	duration	trial_number	trial_type	frame_number	time_of_response
8.066348	0.050025	1.000000	nontarget	1.000000	na
8.116374	0.050090	1.000000	nontarget	2.000000	na
8.166464	0.050179	1.000000	nontarget	3.000000	na
8.216643	0.049642	1.000000	nontarget	4.000000	na
8.266285	0.050263	1.000000	nontarget	5.000000	na
8.316548	0.049517	1.000000	nontarget	6.000000	na
8.366066	0.050284	1.000000	nontarget	7.000000	na
8.416349	0.050278	1.000000	nontarget	8.000000	na
8.466628	0.049658	1.000000	nontarget	9.000000	na
8.516285	0.050069	1.000000	nontarget	10.000000	na
8.566354	0.049400	1.000000	nontarget	11.000000	8.582180
8.615754	0.050144	1.000000	nontarget	12.000000	na
8.665898	0.050648	1.000000	nontarget	13.000000	na
8.716546	0.049707	1.000000	nontarget	14.000000	na
8.766253	0.049595	1.000000	nontarget	15.000000	na
8.815848	0.050627	1.000000	nontarget	16.000000	na
8.866474	0.049876	2.000000	nontarget	1.000000	na
8.916351	0.049997	2.000000	nontarget	2.000000	na
8.966348	0.049920	2.000000	nontarget	3.000000	na
9.016268	0.050079	2.000000	nontarget	4.000000	na
9.066346	0.050236	2.000000	nontarget	5.000000	na
9.116583	0.049757	2.000000	nontarget	6.000000	na
9.166340	0.049999	2.000000	nontarget	7.000000	na
9.216339	0.049976	2.000000	nontarget	8.000000	na
9.266314	0.050023	2.000000	nontarget	9.000000	na
9.316337	0.049477	2.000000	nontarget	10.000000	9.323278
9.365814	0.050506	2.000000	nontarget	11.000000	na
9.416319	0.050098	2.000000	nontarget	12.000000	na
9.466417	0.049519	2.000000	nontarget	13.000000	na
9.515936	0.049848	2.000000	nontarget	14.000000	na
9.565784	0.050552	2.000000	nontarget	15.000000	na
9.616335	0.049997	2.000000	nontarget	16.000000	na
9.666333	0.049504	3.000000	nontarget	1.000000	na
9.715837	0.049837	3.000000	nontarget	2.000000	na
9.765674	0.050658	3.000000	nontarget	3.000000	na
9.816333	0.050188	3.000000	nontarget	4.000000	na
9.866521	0.049421	3.000000	nontarget	5.000000	na
9.915942	0.050678	3.000000	nontarget	6.000000	na
9.966620	0.049039	3.000000	nontarget	7.000000	na
10.015658	0.050658	3.000000	nontarget	8.000000	na
10.066316	0.049356	3.000000	nontarget	9.000000	na
10.115672	0.050653	3.000000	nontarget	10.000000	na
10.166325	0.049310	3.000000	nontarget	11.000000	na
10.215635	0.050692	3.000000	nontarget	12.000000	10.230990
10.266327	0.049948	3.000000	nontarget	13.000000	na
10.316275	0.050144	3.000000	nontarget	14.000000	na
10.366419	0.050190	3.000000	nontarget	15.000000	na
10.416610	0.049878	3.000000	nontarget	16.000000	na
10.466487	0.049836	4.000000	nontarget	1.000000	na
10.516324	0.049383	4.000000	nontarget	2.000000	na
10.565706	0.050644	4.000000	nontarget	3.000000	na
10.616350	0.050150	4.000000	nontarget	4.000000	na
10.666500	0.049818	4.000000	nontarget	5.000000	na
10.716318	0.050004	4.000000	nontarget	6.000000	na
10.766322	0.049994	4.000000	nontarget	7.000000	na
10.816316	0.050149	4.000000	nontarget	8.000000	na
10.866465	0.049629	4.000000	nontarget	9.000000	na
10.916094	0.050220	4.000000	nontarget	10.000000	na
10.966314	0.050117	4.000000	nontarget	11.000000	na
11.016431	0.049880	4.000000	nontarget	12.000000	na
11.066311	0.050047	4.000000	nontarget	13.000000	na
11.116357	0.049510	4.000000	nontarget	14.000000	na
11.165867	0.050732	4.000000	nontarget	15.000000	na
11.216599	0.049398	4.000000	nontarget	16.000000	na
11.265998	0.050511	5.000000	nontarget	1.000000	11.272161
11.316509	0.049801	5.000000	nontarget	2.000000	na
11.366310	0.050137	5.000000	nontarget	3.000000	na
11.416447	0.049564	5.000000	nontarget	4.000000	na
11.466010	0.050396	5.000000	nontarget	5.000000	na
11.516406	0.049900	5.000000	nontarget	6.000000	na
11.566307	0.049348	5.000000	nontarget	7.000000	na
11.615655	0.050634	5.000000	nontarget	8.000000	na
11.666289	0.050300	5.000000	nontarget	9.000000	na
11.716589	0.049715	5.000000	nontarget	10.000000	na
11.766304	0.050118	5.000000	nontarget	11.000000	na
11.816423	0.049338	5.000000	nontarget	12.000000	na
11.865761	0.050544	5.000000	nontarget	13.000000	na
11.916305	0.049999	5.000000	nontarget	14.000000	11.946545
11.966304	0.049279	5.000000	nontarget	15.000000	na
12.015583	0.050716	5.000000	nontarget	16.000000	na
12.066299	0.049999	6.000000	nontarget	1.000000	12.072975
12.116298	0.050001	6.000000	nontarget	2.000000	na
12.166299	0.049946	6.000000	nontarget	3.000000	na
12.216245	0.049434	6.000000	nontarget	4.000000	na
12.265678	0.050296	6.000000	nontarget	5.000000	na
12.315974	0.050321	6.000000	nontarget	6.000000	na
12.366295	0.049901	6.000000	nontarget	7.000000	na
12.416197	0.050101	6.000000	nontarget	8.000000	na
12.466298	0.049900	6.000000	nontarget	9.000000	na
12.516198	0.050092	6.000000	nontarget	10.000000	na
12.566289	0.049666	6.000000	nontarget	11.000000	na
12.615956	0.050238	6.000000	nontarget	12.000000	na
12.666193	0.050012	6.000000	nontarget	13.000000	na
12.716205	0.050084	6.000000	nontarget	14.000000	na
12.766289	0.049359	6.000000	nontarget	15.000000	12.785501
12.815648	0.050641	6.000000	nontarget	16.000000	na
12.866290	0.049995	7.000000	nontarget	1.000000	12.872947
12.916285	0.049490	7.000000	nontarget	2.000000	na
12.965774	0.050189	7.000000	nontarget	3.000000	na
13.015963	0.050294	7.000000	nontarget	4.000000	na
13.066258	0.049700	7.000000	nontarget	5.000000	na
13.115958	0.050311	7.000000	nontarget	6.000000	na
13.166269	0.050023	7.000000	nontarget	7.000000	na
13.216292	0.050018	7.000000	nontarget	8.000000	na
13.266310	0.049009	7.000000	nontarget	9.000000	na
13.315319	0.051229	7.000000	nontarget	10.000000	na
13.366548	0.049696	7.000000	nontarget	11.000000	na
13.416244	0.049511	7.000000	nontarget	12.000000	na
13.465755	0.050620	7.000000	nontarget	13.000000	na
13.516375	0.049910	7.000000	nontarget	14.000000	na
13.566285	0.049988	7.000000	nontarget	15.000000	na
13.616273	0.049422	7.000000	nontarget	16.000000	na
13.665695	0.050586	8.000000	nontarget	1.000000	na
13.716280	0.049592	8.000000	nontarget	2.000000	13.723219
13.765872	0.050404	8.000000	nontarget	3.000000	na
13.816276	0.050113	8.000000	nontarget	4.000000	na
13.866389	0.049884	8.000000	nontarget	5.000000	na
13.916274	0.049908	8.000000	nontarget	6.000000	na
13.966182	0.050292	8.000000	nontarget	7.000000	na
14.016474	0.049802	8.000000	nontarget	8.000000	na
14.066276	0.049994	8.000000	nontarget	9.000000	na
14.116270	0.049533	8.000000	nontarget	10.000000	na
14.165804	0.050467	8.000000	nontarget	11.000000	na
14.216270	0.050041	8.000000	nontarget	12.000000	na
14.266312	0.050071	8.000000	nontarget	13.000000	na
14.316383	0.049987	8.000000	nontarget	14.000000	na
14.366369	0.049897	8.000000	nontarget	15.000000	na
14.416266	0.049933	8.000000	nontarget	16.000000	na
14.466199	0.050063	9.000000	nontarget	1.000000	14.500222
14.516262	0.050004	9.000000	nontarget	2.000000	na
14.566266	0.049977	9.000000	nontarget	3.000000	na
14.616244	0.050297	9.000000	nontarget	4.000000	na
14.666541	0.049727	9.000000	nontarget	5.000000	na
14.716268	0.050310	9.000000	nontarget	6.000000	na
14.766578	0.049700	9.000000	nontarget	7.000000	na
14.816278	0.049956	9.000000	nontarget	8.000000	na
14.866235	0.050025	9.000000	nontarget	9.000000	na
14.916260	0.049998	9.000000	nontarget	10.000000	na
14.966258	0.050114	9.000000	nontarget	11.000000	na
15.016372	0.050169	9.000000	nontarget	12.000000	na
15.066541	0.049717	9.000000	nontarget	13.000000	na
15.116258	0.049319	9.000000	nontarget	14.000000	na
15.165577	0.050591	9.000000	nontarget	15.000000	na
15.216168	0.050075	9.000000	nontarget	16.000000	15.227575
15.266243	0.050008	10.000000	nontarget	1.000000	15.272844
15.316252	0.049625	10.000000	nontarget	2.000000	na
15.365877	0.049673	10.000000	nontarget	3.000000	na
15.415550	0.050971	10.000000	nontarget	4.000000	na
15.466522	0.049858	10.000000	nontarget	5.000000	na
15.516380	0.049859	10.000000	nontarget	6.000000	na
15.566239	0.049785	10.000000	nontarget	7.000000	na
15.616024	0.049937	10.000000	nontarget	8.000000	na
15.665960	0.050287	10.000000	nontarget	9.000000	na
15.716247	0.050004	10.000000	nontarget	10.000000	na
15.766251	0.049451	10.000000	nontarget	11.000000	na
15.815702	0.050520	10.000000	nontarget	12.000000	na
15.866222	0.049760	10.000000	nontarget	13.000000	na
15.915982	0.050154	10.000000	nontarget	14.000000	15.940110
15.966136	0.049633	10.000000	nontarget	15.000000	na
16.015770	0.050362	10.000000	nontarget	16.000000	na
16.066131	0.050110	11.000000	nontarget	1.000000	16.073171
16.116242	0.050000	11.000000	nontarget	2.000000	na
16.166242	0.049999	11.000000	nontarget	3.000000	na
16.216241	0.049932	11.000000	nontarget	4.000000	na
16.266173	0.050176	11.000000	nontarget	5.000000	na
16.316349	0.049889	11.000000	nontarget	6.000000	na
16.366238	0.049430	11.000000	nontarget	7.000000	na
16.415668	0.049978	11.000000	nontarget	8.000000	na
16.465647	0.050338	11.000000	nontarget	9.000000	na
16.515985	0.050250	11.000000	nontarget	10.000000	na
