session_id,acq_time
ses-struct01,2017-09-08T08:31:00
ses-func01,2017-09-27T08:34:59
ses-func02,2017-10-04T08:18:47
ses-func03,2017-11-01T08:40:29
ses-func04,2017-11-08T08:39:57
ses-func05,2017-11-29T08:34:57
ses-func06,2017-12-06T08:36:07
ses-func07,2017-12-15T14:08:06
ses-func08,2017-12-20T08:39:50
ses-func09,2018-01-03T08:40:40
ses-func10,2018-01-10T08:36:00
ses-func11,2018-01-12T14:15:41
ses-func12,2018-01-24T08:36:37
ses-func13,2018-02-07T08:43:45
ses-func14,2018-02-14T07:34:25
ses-func15,2018-03-16T13:55:37
ses-func16,2018-03-21T08:38:55
ses-func17,2018-03-23T15:07:48
ses-func18,2018-03-28T08:38:46
ses-func19,2018-03-30T13:36:27
ses-func20,2018-04-13T13:54:36
ses-func21,2018-04-24T15:09:15
ses-func22,2018-04-25T08:36:56
ses-func23,2018-05-11T14:13:10
ses-func24,2018-05-23T08:37:45
ses-func25,2018-06-06T08:40:05
ses-func26,2018-06-13T08:38:22
ses-func27,2018-07-03T15:06:29
ses-func28,2018-07-05T08:44:05
ses-func29,2018-07-10T16:14:45
ses-func30,2018-07-11T08:36:34
