onset	duration	trial_number	trial_type	frame_number	time_of_response
8.066685	0.049786	1.000000	nontarget	1.000000	na
8.116471	0.050207	1.000000	nontarget	2.000000	na
8.166678	0.049824	1.000000	nontarget	3.000000	na
8.216502	0.050203	1.000000	nontarget	4.000000	na
8.266705	0.050219	1.000000	nontarget	5.000000	na
8.316924	0.049759	1.000000	nontarget	6.000000	na
8.366682	0.050074	1.000000	nontarget	7.000000	na
8.416756	0.049677	1.000000	nontarget	8.000000	na
8.466433	0.050364	1.000000	nontarget	9.000000	na
8.516797	0.050029	1.000000	nontarget	10.000000	na
8.566827	0.049858	1.000000	nontarget	11.000000	na
8.616685	0.050083	1.000000	nontarget	12.000000	na
8.666768	0.050064	1.000000	nontarget	13.000000	na
8.716832	0.049523	1.000000	nontarget	14.000000	na
8.766355	0.050231	1.000000	nontarget	15.000000	na
8.816586	0.049600	1.000000	nontarget	16.000000	na
8.866186	0.050633	2.000000	nontarget	1.000000	na
8.916819	0.049833	2.000000	nontarget	2.000000	na
8.966651	0.049498	2.000000	nontarget	3.000000	na
9.016149	0.050098	2.000000	nontarget	4.000000	na
9.066246	0.050422	2.000000	nontarget	5.000000	na
9.116668	0.050016	2.000000	nontarget	6.000000	na
9.166684	0.050162	2.000000	nontarget	7.000000	na
9.216846	0.049832	2.000000	nontarget	8.000000	na
9.266678	0.049996	2.000000	nontarget	9.000000	na
9.316674	0.050239	2.000000	nontarget	10.000000	na
9.366913	0.049652	2.000000	nontarget	11.000000	na
9.416566	0.050104	2.000000	nontarget	12.000000	na
9.466670	0.049585	2.000000	nontarget	13.000000	na
9.516255	0.050477	2.000000	nontarget	14.000000	na
9.566732	0.049936	2.000000	nontarget	15.000000	na
9.616668	0.050139	2.000000	nontarget	16.000000	na
9.666807	0.049100	3.000000	target	1.000000	na
9.715906	0.050762	3.000000	target	2.000000	9.722418
9.766669	0.050000	3.000000	target	3.000000	na
9.816669	0.050154	3.000000	target	4.000000	na
9.866822	0.049851	3.000000	target	5.000000	na
9.916673	0.049711	3.000000	target	6.000000	na
9.966384	0.050310	3.000000	target	7.000000	na
10.016694	0.049306	3.000000	target	8.000000	10.023325
10.066000	0.049997	3.000000	target	9.000000	na
10.115997	0.049960	3.000000	target	10.000000	na
10.165957	0.050462	3.000000	target	11.000000	na
10.216419	0.049635	3.000000	target	12.000000	na
10.266054	0.050444	3.000000	target	13.000000	na
10.316498	0.049739	3.000000	target	14.000000	na
10.366237	0.050584	3.000000	target	15.000000	na
10.416821	0.049934	3.000000	target	16.000000	na
10.466755	0.049910	4.000000	nontarget	1.000000	10.478351
10.516665	0.049107	4.000000	nontarget	2.000000	na
10.565771	0.051027	4.000000	nontarget	3.000000	na
10.616798	0.049876	4.000000	nontarget	4.000000	na
10.666673	0.049993	4.000000	nontarget	5.000000	na
10.716667	0.049992	4.000000	nontarget	6.000000	na
10.766659	0.050129	4.000000	nontarget	7.000000	na
10.816789	0.049644	4.000000	nontarget	8.000000	na
10.866432	0.050227	4.000000	nontarget	9.000000	na
10.916660	0.049563	4.000000	nontarget	10.000000	na
10.966222	0.049977	4.000000	nontarget	11.000000	na
11.016200	0.050341	4.000000	nontarget	12.000000	na
11.066541	0.049509	4.000000	nontarget	13.000000	na
11.116049	0.050366	4.000000	nontarget	14.000000	na
11.166415	0.050233	4.000000	nontarget	15.000000	11.173107
11.216648	0.049885	4.000000	nontarget	16.000000	na
11.266534	0.049502	5.000000	nontarget	1.000000	11.273704
11.316035	0.050211	5.000000	nontarget	2.000000	na
11.366247	0.050205	5.000000	nontarget	3.000000	na
11.416451	0.050295	5.000000	nontarget	4.000000	na
11.466746	0.049229	5.000000	nontarget	5.000000	na
11.515975	0.050767	5.000000	nontarget	6.000000	na
11.566742	0.049823	5.000000	nontarget	7.000000	na
11.616565	0.049913	5.000000	nontarget	8.000000	na
11.666478	0.049843	5.000000	nontarget	9.000000	na
11.716321	0.050382	5.000000	nontarget	10.000000	na
11.766704	0.049969	5.000000	nontarget	11.000000	na
11.816672	0.049725	5.000000	nontarget	12.000000	na
11.866397	0.049309	5.000000	nontarget	13.000000	na
11.915706	0.050908	5.000000	nontarget	14.000000	11.936085
11.966614	0.049923	5.000000	nontarget	15.000000	na
12.016537	0.050111	5.000000	nontarget	16.000000	na
12.066648	0.049518	6.000000	nontarget	1.000000	12.073311
12.116166	0.050454	6.000000	nontarget	2.000000	na
12.166620	0.049558	6.000000	nontarget	3.000000	na
12.216177	0.050209	6.000000	nontarget	4.000000	na
12.266386	0.050260	6.000000	nontarget	5.000000	na
12.316646	0.050176	6.000000	nontarget	6.000000	na
12.366822	0.049975	6.000000	nontarget	7.000000	na
12.416797	0.049875	6.000000	nontarget	8.000000	na
12.466671	0.049906	6.000000	nontarget	9.000000	na
12.516577	0.050066	6.000000	nontarget	10.000000	na
12.566643	0.049598	6.000000	nontarget	11.000000	na
12.616241	0.050417	6.000000	nontarget	12.000000	na
12.666658	0.050161	6.000000	nontarget	13.000000	na
12.716819	0.049920	6.000000	nontarget	14.000000	na
12.766740	0.049553	6.000000	nontarget	15.000000	na
12.816292	0.050371	6.000000	nontarget	16.000000	na
12.866663	0.049388	7.000000	target	1.000000	na
12.916051	0.050573	7.000000	target	2.000000	na
12.966624	0.049357	7.000000	target	3.000000	na
13.015981	0.050714	7.000000	target	4.000000	na
13.066696	0.049934	7.000000	target	5.000000	na
13.116630	0.049992	7.000000	target	6.000000	na
13.166622	0.049700	7.000000	target	7.000000	na
13.216322	0.050305	7.000000	target	8.000000	na
13.266627	0.049765	7.000000	target	9.000000	na
13.316392	0.050029	7.000000	target	10.000000	na
13.366421	0.050389	7.000000	target	11.000000	na
13.416810	0.049808	7.000000	target	12.000000	na
13.466618	0.049994	7.000000	target	13.000000	na
13.516612	0.049999	7.000000	target	14.000000	na
13.566611	0.049543	7.000000	target	15.000000	13.583021
13.616154	0.050634	7.000000	target	16.000000	na
13.666788	0.050036	8.000000	nontarget	1.000000	13.673389
13.716824	0.049459	8.000000	nontarget	2.000000	na
13.766284	0.050205	8.000000	nontarget	3.000000	na
13.816489	0.049367	8.000000	nontarget	4.000000	na
13.865855	0.050747	8.000000	nontarget	5.000000	na
13.916603	0.049948	8.000000	nontarget	6.000000	na
13.966550	0.049490	8.000000	nontarget	7.000000	na
