onset	duration	event	trial_number	trial_type	requested_SOA	actual_SOA	accuracy	resp1	resp2	rt1	rt2
8.008779	0.491000	fixation	1.000000	na	na	na	na	na	na	na	na
8.499779	1.499000	stimulus	1.000000	no_signal	0.000000	0.000000	correct	right	no_response	0.891000	0.000000
9.998779	0.493000	fixation	2.000000	na	na	na	na	na	na	na	na
10.491779	1.499000	stimulus	2.000000	no_signal	0.000000	0.000000	correct	right	no_response	0.899000	0.000000
11.990779	0.492000	fixation	3.000000	na	na	na	na	na	na	na	na
12.482779	1.500000	stimulus	3.000000	signal	0.650000	0.649000	correct	no_response	no_response	0.000000	0.000000
13.982779	0.492000	fixation	4.000000	na	na	na	na	na	na	na	na
14.474779	1.500000	stimulus	4.000000	signal	0.700000	0.692000	correct	no_response	no_response	0.000000	0.000000
15.974779	0.491000	fixation	5.000000	na	na	na	na	na	na	na	na
16.465779	1.491000	stimulus	5.000000	no_signal	0.000000	0.000000	correct	left	no_response	0.929000	0.000000
17.956779	0.492000	fixation	6.000000	na	na	na	na	na	na	na	na
18.448779	1.500000	stimulus	6.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.097000	0.000000
19.948779	0.493000	fixation	7.000000	na	na	na	na	na	na	na	na
20.441779	1.490000	stimulus	7.000000	no_signal	0.000000	0.000000	correct	right	no_response	0.980000	0.000000
21.931779	0.492000	fixation	8.000000	na	na	na	na	na	na	na	na
22.423779	1.491000	stimulus	8.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.082000	0.000000
23.914779	0.493000	fixation	9.000000	na	na	na	na	na	na	na	na
24.407779	1.491000	stimulus	9.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.120000	0.000000
25.898779	0.492000	fixation	10.000000	na	na	na	na	na	na	na	na
26.390779	1.492000	stimulus	10.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.106000	0.000000
27.882779	0.491000	fixation	11.000000	na	na	na	na	na	na	na	na
28.373779	1.491000	stimulus	11.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.106000	0.000000
