onset	duration	trial_number	stim_type	trial_type	accuracy	response_time
13.022753	0.993092	1.000000	scene	nontarget	correct	0.575630
14.015845	0.989708	1.000000	fixation	nontarget	na	na
15.005554	0.993504	2.000000	scene	nontarget	correct	0.353259
15.999058	0.989444	2.000000	fixation	nontarget	na	na
16.988502	0.994154	3.000000	scene	nontarget	correct	0.445979
17.982656	0.989913	3.000000	fixation	nontarget	na	na
18.972570	0.993113	4.000000	scene	target	incorrect	0.560713
19.965683	0.989753	4.000000	fixation	target	na	na
20.955436	0.993092	5.000000	scene	nontarget	correct	0.463463
21.948528	0.991031	5.000000	fixation	nontarget	na	na
22.939559	0.993109	6.000000	scene	nontarget	correct	0.685567
23.932668	0.989763	6.000000	fixation	nontarget	na	na
24.922431	0.993141	7.000000	scene	nontarget	correct	0.613175
25.915572	0.991005	7.000000	fixation	nontarget	na	na
26.906577	0.991988	8.000000	scene	nontarget	incorrect	 NaN
27.898566	0.991013	8.000000	fixation	nontarget	na	na
28.889579	0.993195	9.000000	scene	target	incorrect	0.069330
29.882774	0.989910	9.000000	fixation	target	na	na
30.872684	0.993091	10.000000	scene	target	incorrect	0.658866
31.865775	0.989756	10.000000	fixation	target	na	na
32.855532	0.993129	11.000000	scene	nontarget	correct	0.753787
33.848661	0.990922	11.000000	fixation	nontarget	na	na
34.839583	0.993239	12.000000	scene	nontarget	correct	0.608239
35.832822	0.989807	12.000000	fixation	nontarget	na	na
36.822629	0.992951	13.000000	scene	target	correct	 NaN
37.815580	0.989746	13.000000	fixation	target	na	na
38.805326	0.993922	14.000000	scene	nontarget	correct	0.485658
39.799248	0.989789	14.000000	fixation	nontarget	na	na
40.789037	0.993147	15.000000	scene	nontarget	correct	0.672945
41.782184	0.991054	15.000000	fixation	nontarget	na	na
42.773238	0.992605	16.000000	scene	nontarget	correct	0.862295
43.765843	0.989749	16.000000	fixation	nontarget	na	na
44.755591	0.993066	17.000000	scene	nontarget	correct	0.662903
45.748657	0.990861	17.000000	fixation	nontarget	na	na
46.739519	0.993227	18.000000	scene	nontarget	correct	0.536490
47.732746	0.989902	18.000000	fixation	nontarget	na	na
48.722648	0.993092	19.000000	scene	nontarget	correct	0.682129
49.715740	0.989750	19.000000	fixation	nontarget	na	na
50.705490	0.993082	20.000000	scene	nontarget	correct	0.618698
51.698573	0.990997	20.000000	fixation	nontarget	na	na
52.689570	0.991977	21.000000	scene	nontarget	correct	0.820720
53.681547	0.990889	21.000000	fixation	nontarget	na	na
54.672436	0.993219	22.000000	scene	nontarget	correct	0.756091
55.665655	0.989766	22.000000	fixation	nontarget	na	na
56.655421	0.993698	23.000000	scene	nontarget	correct	0.621731
57.649119	0.989757	23.000000	fixation	nontarget	na	na
58.638877	0.993119	24.000000	scene	nontarget	correct	0.512257
59.631996	0.990953	24.000000	fixation	nontarget	na	na
60.622949	0.991997	25.000000	scene	nontarget	correct	0.571153
61.614946	0.990800	25.000000	fixation	nontarget	na	na
62.605745	0.993291	26.000000	scene	nontarget	correct	0.711415
63.599037	0.989771	26.000000	fixation	nontarget	na	na
64.588808	0.993097	27.000000	scene	nontarget	correct	0.622192
65.581905	0.991033	27.000000	fixation	nontarget	na	na
66.572938	0.991988	28.000000	scene	nontarget	correct	0.631874
