onset	duration	trial_number	event	accuracy	response_time
8.016698	4.366113	1.000000	stimulus	incorrect	4.359462
12.382811	5.633378	1.000000	fixation	na	na
18.016189	3.066634	2.000000	stimulus	correct	3.050261
21.082823	6.933201	2.000000	fixation	na	na
28.016024	3.349936	3.000000	stimulus	incorrect	3.338020
31.365960	6.650037	3.000000	fixation	na	na
38.015997	5.102891	4.000000	stimulus	correct	5.095139
43.118888	4.896920	4.000000	fixation	na	na
48.015808	4.386101	5.000000	stimulus	correct	4.378925
52.401909	5.613816	5.000000	fixation	na	na
58.015725	1.949603	6.000000	stimulus	correct	1.938755
59.965328	8.049648	6.000000	fixation	na	na
68.014976	3.451704	7.000000	stimulus	correct	3.446562
71.466679	6.548229	7.000000	fixation	na	na
78.014908	2.533780	8.000000	stimulus	correct	2.517413
80.548688	7.466746	8.000000	fixation	na	na
88.015434	4.116392	9.000000	stimulus	correct	4.097097
92.131826	5.883068	9.000000	fixation	na	na
98.014894	3.267024	10.000000	stimulus	correct	3.254432
101.281918	6.733143	10.000000	fixation	na	na
108.015061	5.233073	11.000000	stimulus	incorrect	5.219956
113.248133	4.766310	11.000000	fixation	na	na
118.014444	3.599578	12.000000	stimulus	correct	3.587108
121.614022	6.399485	12.000000	fixation	na	na
128.013506	2.432791	13.000000	stimulus	correct	2.426393
130.446297	7.566375	13.000000	fixation	na	na
138.012672	4.032835	14.000000	stimulus	correct	4.023228
142.045507	5.967379	14.000000	fixation	na	na
148.012886	3.082637	15.000000	stimulus	correct	3.064320
151.095522	6.916293	15.000000	fixation	na	na
158.011815	3.216388	16.000000	stimulus	correct	3.204920
161.228204	6.782240	16.000000	fixation	na	na
168.010444	3.817069	17.000000	stimulus	correct	3.805908
171.827512	6.183020	17.000000	fixation	na	na
178.010532	4.735964	18.000000	stimulus	correct	4.730999
182.746496	5.262808	18.000000	fixation	na	na
188.009304	4.516071	19.000000	stimulus	correct	4.509766
192.525374	5.483914	19.000000	fixation	na	na
198.009288	3.566372	20.000000	stimulus	correct	3.550361
201.575661	6.432254	20.000000	fixation	na	na
208.007915	4.033733	21.000000	stimulus	correct	4.026316
212.041648	5.965727	21.000000	fixation	na	na
218.007375	3.566760	22.000000	stimulus	correct	3.558218
221.574134	6.432676	22.000000	fixation	na	na
228.006810	3.916858	23.000000	stimulus	incorrect	3.902605
231.923668	6.072778	23.000000	fixation	na	na
237.996446	4.726816	24.000000	stimulus	incorrect	4.712900
242.723262	5.266439	24.000000	fixation	na	na
247.989701	3.282513	25.000000	stimulus	correct	3.272945
251.272214	6.707130	25.000000	fixation	na	na
257.979345	3.859143	26.000000	stimulus	correct	3.846004
261.838488	6.132746	26.000000	fixation	na	na
267.971233	3.907815	27.000000	stimulus	correct	3.902678
271.879048	6.082946	27.000000	fixation	na	na
277.961994	3.982862	28.000000	stimulus	correct	3.974980
281.944857	6.009086	28.000000	fixation	na	na
287.953942	3.432336	29.000000	stimulus	correct	3.424985
291.386279	6.559731	29.000000	fixation	na	na
297.946010	3.382023	30.000000	stimulus	correct	3.376794
301.328032	6.607710	30.000000	fixation	na	na
307.935743	2.809050	31.000000	stimulus	correct	2.805257
310.744792	7.184119	31.000000	fixation	na	na
317.928912	4.021930	32.000000	stimulus	correct	4.013091
321.950842	5.977593	32.000000	fixation	na	na
327.928435	3.766650	33.000000	stimulus	correct	3.753210
331.695086	6.232808	33.000000	fixation	na	na
337.927893	3.755548	34.000000	stimulus	correct	3.746885
341.683441	6.245011	34.000000	fixation	na	na
347.928452	4.887145	35.000000	stimulus	incorrect	4.883173
352.815597	5.112349	35.000000	fixation	na	na
357.927947	5.333663	36.000000	stimulus	correct	5.325928
363.261610	0.717578	36.000000	fixation	na	na
