onset	duration	block_type	trial_number	trial_type	event	response_time
8.016229	1.499905	high_win	1.000000	correct	?	0.609037
9.516134	0.499975	high_win	1.000000	correct	number	na
10.016110	0.499966	high_win	1.000000	correct	feedback_arrow	na
10.516076	0.999938	high_win	1.000000	correct	fixation	na
11.516014	1.499916	high_win	2.000000	correct	?	0.458332
13.015930	0.499963	high_win	2.000000	correct	number	na
13.515893	0.499976	high_win	2.000000	correct	feedback_arrow	na
14.015869	0.999941	high_win	2.000000	correct	fixation	na
15.015810	1.499917	high_win	3.000000	incorrect	?	0.457467
16.515727	0.499964	high_win	3.000000	incorrect	number	na
17.015691	0.499962	high_win	3.000000	incorrect	feedback_arrow	na
17.515653	0.999930	high_win	3.000000	incorrect	fixation	na
18.515583	1.499923	high_win	4.000000	incorrect	?	0.501484
20.015506	0.499957	high_win	4.000000	incorrect	number	na
20.515463	0.499982	high_win	4.000000	incorrect	feedback_arrow	na
21.015445	0.999943	high_win	4.000000	incorrect	fixation	na
22.015388	1.499896	high_win	5.000000	correct	?	0.757655
23.515284	0.499971	high_win	5.000000	correct	number	na
24.015256	0.499973	high_win	5.000000	correct	feedback_arrow	na
24.515229	0.999969	high_win	5.000000	correct	fixation	na
25.515198	1.499880	high_win	6.000000	correct	?	0.507888
27.015078	0.499961	high_win	6.000000	correct	number	na
27.515039	0.499969	high_win	6.000000	correct	feedback_arrow	na
28.015007	0.999945	high_win	6.000000	correct	fixation	na
29.014952	1.499904	high_win	7.000000	correct	?	0.601964
30.514857	0.499971	high_win	7.000000	correct	number	na
31.014828	0.499967	high_win	7.000000	correct	feedback_arrow	na
31.514795	0.999941	high_win	7.000000	correct	fixation	na
32.514736	1.499910	high_win	8.000000	correct	?	0.548704
34.014646	0.499940	high_win	8.000000	correct	number	na
34.514587	0.499995	high_win	8.000000	correct	feedback_arrow	na
35.014582	0.999934	high_win	8.000000	correct	fixation	na
36.014515	1.499888	high_win	9.000000	correct	?	0.414362
37.514404	0.500001	high_win	9.000000	correct	number	na
38.014405	0.499963	high_win	9.000000	correct	feedback_arrow	na
38.514368	0.999942	high_win	9.000000	correct	fixation	na
39.514310	1.499920	high_win	10.000000	incorrect	?	0.324654
41.014229	0.499956	high_win	10.000000	incorrect	number	na
41.514185	0.499978	high_win	10.000000	incorrect	feedback_arrow	na
42.014163	1.999875	high_win	10.000000	incorrect	fixation	na
44.014038	1.499918	high_win	11.000000	correct	?	0.282928
45.513957	0.499967	high_win	11.000000	correct	number	na
46.013923	0.499961	high_win	11.000000	correct	feedback_arrow	na
46.513885	0.999939	high_win	11.000000	correct	fixation	na
47.513824	1.499917	high_win	12.000000	correct	?	0.392136
49.013740	0.499936	high_win	12.000000	correct	number	na
49.513676	0.500000	high_win	12.000000	correct	feedback_arrow	na
50.013676	0.999915	high_win	12.000000	correct	fixation	na
51.013591	1.499865	high_win	13.000000	correct	?	0.392217
52.513455	0.500040	high_win	13.000000	correct	number	na
53.013495	0.499962	high_win	13.000000	correct	feedback_arrow	na
53.513458	0.999955	high_win	13.000000	correct	fixation	na
54.513413	1.499906	high_win	14.000000	incorrect	?	0.430390
56.013318	0.499952	high_win	14.000000	incorrect	number	na
56.513270	0.499937	high_win	14.000000	incorrect	feedback_arrow	na
57.013207	0.999989	high_win	14.000000	incorrect	fixation	na
58.013196	1.499901	high_win	15.000000	correct	?	0.448405
59.513097	0.499968	high_win	15.000000	correct	number	na
60.013065	0.499967	high_win	15.000000	correct	feedback_arrow	na
60.513031	0.999943	high_win	15.000000	correct	fixation	na
61.512974	1.499887	high_win	16.000000	correct	?	0.339307
63.012861	0.499999	high_win	16.000000	correct	number	na
63.512860	0.499964	high_win	16.000000	correct	feedback_arrow	na
64.012824	0.999948	high_win	16.000000	correct	fixation	na
65.012772	1.499897	high_win	17.000000	correct	?	0.296445
66.512669	0.499976	high_win	17.000000	correct	number	na
67.012645	0.499919	high_win	17.000000	correct	feedback_arrow	na
67.512564	0.999982	high_win	17.000000	correct	fixation	na
68.512546	1.499918	high_win	18.000000	incorrect	?	0.249394
