onset	duration	event	trial_number	trial_type	requested_SOA	actual_SOA	accuracy	resp1	resp2	rt1	rt2
8.014891	0.501000	fixation	1.000000	na	na	na	na	na	na	na	na
8.515891	1.499000	stimulus	1.000000	no_signal	0.000000	0.000000	correct	right	no_response	0.818000	0.000000
10.014891	0.501000	fixation	2.000000	na	na	na	na	na	na	na	na
10.515891	1.499000	stimulus	2.000000	no_signal	0.000000	0.000000	correct	right	no_response	0.981000	0.000000
12.014891	0.501000	fixation	3.000000	na	na	na	na	na	na	na	na
12.515891	1.498000	stimulus	3.000000	no_signal	0.000000	0.000000	correct	left	no_response	0.917000	0.000000
14.013891	0.502000	fixation	4.000000	na	na	na	na	na	na	na	na
14.515891	1.498000	stimulus	4.000000	signal	0.650000	0.650000	signal_respond	left	no_response	0.861000	0.000000
16.013891	0.502000	fixation	5.000000	na	na	na	na	na	na	na	na
16.515891	1.498000	stimulus	5.000000	no_signal	0.000000	0.000000	correct	right	no_response	0.907000	0.000000
18.013891	0.502000	fixation	6.000000	na	na	na	na	na	na	na	na
18.515891	1.498000	stimulus	6.000000	signal	0.600000	0.600000	correct	no_response	no_response	0.000000	0.000000
20.013891	0.502000	fixation	7.000000	na	na	na	na	na	na	na	na
20.515891	1.498000	stimulus	7.000000	no_signal	0.000000	0.000000	correct	left	no_response	0.917000	0.000000
22.013891	0.501000	fixation	8.000000	na	na	na	na	na	na	na	na
22.514891	1.499000	stimulus	8.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.043000	0.000000
24.013891	0.501000	fixation	9.000000	na	na	na	na	na	na	na	na
24.514891	1.499000	stimulus	9.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.004000	0.000000
26.013891	0.501000	fixation	10.000000	na	na	na	na	na	na	na	na
26.514891	1.499000	stimulus	10.000000	no_signal	0.000000	0.000000	correct	right	no_response	0.905000	0.000000
28.013891	0.501000	fixation	11.000000	na	na	na	na	na	na	na	na
28.514891	1.498000	stimulus	11.000000	no_signal	0.000000	0.000000	correct	left	no_response	0.847000	0.000000
30.012891	0.502000	fixation	12.000000	na	na	na	na	na	na	na	na
30.514891	1.498000	stimulus	12.000000	no_signal	0.000000	0.000000	correct	right	no_response	0.909000	0.000000
32.012891	0.502000	fixation	13.000000	na	na	na	na	na	na	na	na
32.514891	1.498000	stimulus	13.000000	signal	0.650000	0.650000	signal_respond	right	no_response	0.866000	0.000000
34.012891	0.502000	fixation	14.000000	na	na	na	na	na	na	na	na
34.514891	1.498000	stimulus	14.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.067000	0.000000
36.012891	0.501000	fixation	15.000000	na	na	na	na	na	na	na	na
36.513891	1.499000	stimulus	15.000000	no_signal	0.000000	0.000000	correct	left	no_response	0.911000	0.000000
38.012891	0.501000	fixation	16.000000	na	na	na	na	na	na	na	na
38.513891	1.499000	stimulus	16.000000	signal	0.600000	0.600000	correct	no_response	no_response	0.000000	0.000000
40.012891	0.501000	fixation	17.000000	na	na	na	na	na	na	na	na
40.513891	1.499000	stimulus	17.000000	no_signal	0.000000	0.000000	correct	left	no_response	0.899000	0.000000
42.012891	0.501000	fixation	18.000000	na	na	na	na	na	na	na	na
42.513891	1.499000	stimulus	18.000000	no_signal	0.000000	0.000000	correct	left	no_response	0.926000	0.000000
44.012891	0.501000	fixation	19.000000	na	na	na	na	na	na	na	na
44.513891	1.498000	stimulus	19.000000	no_signal	0.000000	0.000000	correct	left	no_response	0.799000	0.000000
46.011891	0.502000	fixation	20.000000	na	na	na	na	na	na	na	na
46.513891	1.498000	stimulus	20.000000	no_signal	0.000000	0.000000	correct	right	no_response	0.872000	0.000000
48.011891	0.502000	fixation	21.000000	na	na	na	na	na	na	na	na
48.513891	1.498000	stimulus	21.000000	no_signal	0.000000	0.000000	correct	left	no_response	0.615000	0.000000
50.011891	0.502000	fixation	22.000000	na	na	na	na	na	na	na	na
50.513891	1.498000	stimulus	22.000000	signal	0.650000	0.650000	signal_respond	left	no_response	0.776000	0.000000
52.011891	0.501000	fixation	23.000000	na	na	na	na	na	na	na	na
52.512891	1.499000	stimulus	23.000000	no_signal	0.000000	0.000000	correct	right	no_response	0.644000	0.000000
54.011891	0.501000	fixation	24.000000	na	na	na	na	na	na	na	na
54.512891	1.499000	stimulus	24.000000	signal	0.600000	0.600000	correct	no_response	no_response	0.000000	0.000000
56.011891	0.501000	fixation	25.000000	na	na	na	na	na	na	na	na
56.512891	1.499000	stimulus	25.000000	no_signal	0.000000	0.000000	correct	right	no_response	0.825000	0.000000
58.011891	0.501000	fixation	26.000000	na	na	na	na	na	na	na	na
58.512891	1.499000	stimulus	26.000000	no_signal	0.000000	0.000000	correct	right	no_response	0.712000	0.000000
60.011891	0.501000	fixation	27.000000	na	na	na	na	na	na	na	na
60.512891	1.498000	stimulus	27.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.084000	0.000000
62.010891	0.502000	fixation	28.000000	na	na	na	na	na	na	na	na
62.512891	1.498000	stimulus	28.000000	signal	0.650000	0.650000	correct	no_response	no_response	0.000000	0.000000
64.010891	0.502000	fixation	29.000000	na	na	na	na	na	na	na	na
64.512891	1.498000	stimulus	29.000000	signal	0.700000	0.700000	signal_respond	right	no_response	0.719000	0.000000
66.010891	0.502000	fixation	30.000000	na	na	na	na	na	na	na	na
66.512891	1.498000	stimulus	30.000000	no_signal	0.000000	0.000000	correct	right	no_response	0.955000	0.000000
68.010891	0.502000	fixation	31.000000	na	na	na	na	na	na	na	na
68.512891	1.498000	stimulus	31.000000	no_signal	0.000000	0.000000	correct	right	no_response	0.999000	0.000000
70.010891	0.501000	fixation	32.000000	na	na	na	na	na	na	na	na
70.511891	1.499000	stimulus	32.000000	signal	0.650000	0.650000	correct	no_response	no_response	0.000000	0.000000
72.010891	0.501000	fixation	33.000000	na	na	na	na	na	na	na	na
72.511891	1.499000	stimulus	33.000000	signal	0.700000	0.700000	signal_respond	right	no_response	0.745000	0.000000
74.010891	0.501000	fixation	34.000000	na	na	na	na	na	na	na	na
74.511891	1.499000	stimulus	34.000000	no_signal	0.000000	0.000000	correct	left	no_response	0.897000	0.000000
76.010891	0.501000	fixation	35.000000	na	na	na	na	na	na	na	na
76.511891	1.498000	stimulus	35.000000	no_signal	0.000000	0.000000	correct	left	no_response	0.971000	0.000000
78.009891	0.502000	fixation	36.000000	na	na	na	na	na	na	na	na
78.511891	1.498000	stimulus	36.000000	no_signal	0.000000	0.000000	correct	right	no_response	0.944000	0.000000
80.009891	0.502000	fixation	37.000000	na	na	na	na	na	na	na	na
80.511891	1.498000	stimulus	37.000000	signal	0.650000	0.650000	correct	no_response	no_response	0.000000	0.000000
82.009891	0.502000	fixation	38.000000	na	na	na	na	na	na	na	na
82.511891	1.498000	stimulus	38.000000	signal	0.700000	0.700000	signal_respond	right	no_response	0.830000	0.000000
84.009891	0.502000	fixation	39.000000	na	na	na	na	na	na	na	na
84.511891	1.498000	stimulus	39.000000	no_signal	0.000000	0.000000	correct	left	no_response	0.898000	0.000000
86.009891	0.501000	fixation	40.000000	na	na	na	na	na	na	na	na
86.510891	1.499000	stimulus	40.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.140000	0.000000
88.009891	0.501000	fixation	41.000000	na	na	na	na	na	na	na	na
88.510891	1.499000	stimulus	41.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.006000	0.000000
90.009891	0.501000	fixation	42.000000	na	na	na	na	na	na	na	na
90.510891	1.499000	stimulus	42.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.112000	0.000000
92.009891	0.501000	fixation	43.000000	na	na	na	na	na	na	na	na
92.510891	1.498000	stimulus	43.000000	no_signal	0.000000	0.000000	correct	left	no_response	0.884000	0.000000
94.008891	0.502000	fixation	44.000000	na	na	na	na	na	na	na	na
94.510891	1.498000	stimulus	44.000000	no_signal	0.000000	0.000000	correct	right	no_response	0.815000	0.000000
96.008891	0.502000	fixation	45.000000	na	na	na	na	na	na	na	na
96.510891	1.498000	stimulus	45.000000	no_signal	0.000000	0.000000	correct	left	no_response	0.823000	0.000000
