onset	duration	trial_number	trial_type	frame_number	time_of_response
8.065944	0.050014	1.000000	nontarget	1.000000	na
8.115958	0.049956	1.000000	nontarget	2.000000	na
8.165915	0.049496	1.000000	nontarget	3.000000	na
8.215410	0.050112	1.000000	nontarget	4.000000	na
8.265523	0.050412	1.000000	nontarget	5.000000	na
8.315935	0.049564	1.000000	nontarget	6.000000	na
8.365499	0.050042	1.000000	nontarget	7.000000	na
8.415541	0.050381	1.000000	nontarget	8.000000	na
8.465922	0.049546	1.000000	nontarget	9.000000	na
8.515469	0.050743	1.000000	nontarget	10.000000	na
8.566212	0.049973	1.000000	nontarget	11.000000	na
8.616185	0.049296	1.000000	nontarget	12.000000	na
8.665481	0.049975	1.000000	nontarget	13.000000	na
8.715457	0.050549	1.000000	nontarget	14.000000	na
8.766006	0.049494	1.000000	nontarget	15.000000	8.781361
8.815500	0.049993	1.000000	nontarget	16.000000	na
8.865493	0.049971	2.000000	nontarget	1.000000	8.871909
8.915464	0.050586	2.000000	nontarget	2.000000	na
8.966050	0.049830	2.000000	nontarget	3.000000	na
9.015880	0.049946	2.000000	nontarget	4.000000	na
9.065827	0.049593	2.000000	nontarget	5.000000	na
9.115420	0.050417	2.000000	nontarget	6.000000	na
9.165837	0.049625	2.000000	nontarget	7.000000	na
9.215462	0.050085	2.000000	nontarget	8.000000	na
9.265546	0.049947	2.000000	nontarget	9.000000	na
9.315493	0.049980	2.000000	nontarget	10.000000	na
9.365474	0.050112	2.000000	nontarget	11.000000	na
9.415586	0.049665	2.000000	nontarget	12.000000	na
9.465251	0.049794	2.000000	nontarget	13.000000	na
9.515045	0.050342	2.000000	nontarget	14.000000	na
9.565387	0.050426	2.000000	nontarget	15.000000	na
9.615813	0.049948	2.000000	nontarget	16.000000	na
9.665761	0.050461	3.000000	nontarget	1.000000	na
9.716222	0.049587	3.000000	nontarget	2.000000	na
9.765809	0.049993	3.000000	nontarget	3.000000	9.797183
9.815803	0.049782	3.000000	nontarget	4.000000	na
9.865585	0.050633	3.000000	nontarget	5.000000	na
9.916218	0.049260	3.000000	nontarget	6.000000	na
9.965479	0.049969	3.000000	nontarget	7.000000	na
10.015447	0.050307	3.000000	nontarget	8.000000	na
10.065754	0.049910	3.000000	nontarget	9.000000	na
10.115665	0.050065	3.000000	nontarget	10.000000	na
10.165729	0.049719	3.000000	nontarget	11.000000	na
10.215448	0.049991	3.000000	nontarget	12.000000	na
10.265439	0.050613	3.000000	nontarget	13.000000	na
10.316052	0.049428	3.000000	nontarget	14.000000	na
10.365480	0.050718	3.000000	nontarget	15.000000	na
10.416197	0.049366	3.000000	nontarget	16.000000	na
10.465563	0.049782	4.000000	nontarget	1.000000	na
10.515345	0.050757	4.000000	nontarget	2.000000	10.526596
10.566103	0.049410	4.000000	nontarget	3.000000	na
10.615513	0.050218	4.000000	nontarget	4.000000	na
10.665732	0.050459	4.000000	nontarget	5.000000	na
10.716190	0.049059	4.000000	nontarget	6.000000	na
10.765249	0.050203	4.000000	nontarget	7.000000	na
10.815453	0.050413	4.000000	nontarget	8.000000	na
10.865866	0.049518	4.000000	nontarget	9.000000	na
10.915384	0.050066	4.000000	nontarget	10.000000	na
10.965450	0.050042	4.000000	nontarget	11.000000	na
11.015493	0.049950	4.000000	nontarget	12.000000	na
11.065443	0.050022	4.000000	nontarget	13.000000	na
11.115464	0.050324	4.000000	nontarget	14.000000	na
11.165788	0.049914	4.000000	nontarget	15.000000	na
11.215702	0.050211	4.000000	nontarget	16.000000	na
11.265913	0.050053	5.000000	nontarget	1.000000	11.272878
11.315966	0.049130	5.000000	nontarget	2.000000	na
11.365096	0.050264	5.000000	nontarget	3.000000	na
11.415360	0.050072	5.000000	nontarget	4.000000	na
11.465432	0.050139	5.000000	nontarget	5.000000	na
11.515571	0.049900	5.000000	nontarget	6.000000	na
11.565471	0.049996	5.000000	nontarget	7.000000	na
11.615467	0.049991	5.000000	nontarget	8.000000	na
11.665458	0.049899	5.000000	nontarget	9.000000	na
11.715357	0.050136	5.000000	nontarget	10.000000	na
11.765493	0.049957	5.000000	nontarget	11.000000	na
11.815450	0.050249	5.000000	nontarget	12.000000	na
11.865698	0.049639	5.000000	nontarget	13.000000	na
11.915337	0.050471	5.000000	nontarget	14.000000	na
11.965808	0.049916	5.000000	nontarget	15.000000	na
12.015724	0.050107	5.000000	nontarget	16.000000	na
12.065831	0.049988	6.000000	nontarget	1.000000	12.075341
12.115819	0.049658	6.000000	nontarget	2.000000	na
12.165477	0.049767	6.000000	nontarget	3.000000	na
