onset	duration	block_type	trial_number	trial_type	event	response_time
8.016082	1.499834	high_loss	1.000000	incorrect	?	0.455368
9.515916	0.500011	high_loss	1.000000	incorrect	number	na
10.015928	0.499964	high_loss	1.000000	incorrect	feedback_arrow	na
10.515891	0.999945	high_loss	1.000000	incorrect	fixation	na
11.515836	1.499865	high_loss	2.000000	incorrect	?	0.413362
13.015702	0.499962	high_loss	2.000000	incorrect	number	na
13.515664	0.499986	high_loss	2.000000	incorrect	feedback_arrow	na
14.015650	0.999925	high_loss	2.000000	incorrect	fixation	na
15.015575	1.499851	high_loss	3.000000	incorrect	?	0.512695
16.515427	0.499941	high_loss	3.000000	incorrect	number	na
17.015368	0.499998	high_loss	3.000000	incorrect	feedback_arrow	na
17.515366	0.999926	high_loss	3.000000	incorrect	fixation	na
18.515292	1.499905	high_loss	4.000000	incorrect	?	0.419607
20.015197	0.499963	high_loss	4.000000	incorrect	number	na
20.515160	0.499938	high_loss	4.000000	incorrect	feedback_arrow	na
21.015097	0.999936	high_loss	4.000000	incorrect	fixation	na
22.015034	1.499876	high_loss	5.000000	incorrect	?	0.392846
23.514909	0.499962	high_loss	5.000000	incorrect	number	na
24.014871	0.499984	high_loss	5.000000	incorrect	feedback_arrow	na
24.514855	0.999900	high_loss	5.000000	incorrect	fixation	na
25.514755	1.499895	high_loss	6.000000	incorrect	?	0.349076
27.014650	0.499982	high_loss	6.000000	incorrect	number	na
27.514632	0.499960	high_loss	6.000000	incorrect	feedback_arrow	na
28.014592	0.999900	high_loss	6.000000	incorrect	fixation	na
29.014492	1.499910	high_loss	7.000000	correct	?	0.504087
30.514402	0.499937	high_loss	7.000000	correct	number	na
31.014338	0.499963	high_loss	7.000000	correct	feedback_arrow	na
31.514301	0.999951	high_loss	7.000000	correct	fixation	na
32.514253	1.499862	high_loss	8.000000	correct	?	0.403364
34.014115	0.499961	high_loss	8.000000	correct	number	na
34.514075	0.499985	high_loss	8.000000	correct	feedback_arrow	na
35.014060	0.999919	high_loss	8.000000	correct	fixation	na
36.013979	1.499872	high_loss	9.000000	correct	?	0.473405
37.513852	0.499960	high_loss	9.000000	correct	number	na
38.013812	0.499982	high_loss	9.000000	correct	feedback_arrow	na
38.513794	0.999895	high_loss	9.000000	correct	fixation	na
39.513689	1.499916	high_loss	10.000000	incorrect	?	0.367632
41.013605	0.499941	high_loss	10.000000	incorrect	number	na
41.513546	0.499983	high_loss	10.000000	incorrect	feedback_arrow	na
42.013529	1.999849	high_loss	10.000000	incorrect	fixation	na
44.013378	1.499845	high_loss	11.000000	correct	?	0.270910
45.513224	0.499984	high_loss	11.000000	correct	number	na
46.013208	0.499986	high_loss	11.000000	correct	feedback_arrow	na
46.513194	0.999922	high_loss	11.000000	correct	fixation	na
47.513116	1.499861	high_loss	12.000000	incorrect	?	0.826955
49.012977	0.499961	high_loss	12.000000	incorrect	number	na
