onset	duration	trial_number	event	accuracy	response_time
8.032619	3.783041	1.000000	stimulus	correct	3.770662
11.815660	6.216301	1.000000	fixation	na	na
18.031961	4.199576	2.000000	stimulus	incorrect	4.177885
22.231537	5.799659	2.000000	fixation	na	na
28.031196	3.866281	3.000000	stimulus	correct	3.843545
31.897477	6.132958	3.000000	fixation	na	na
38.030435	2.833015	4.000000	stimulus	correct	2.814904
40.863450	7.166235	4.000000	fixation	na	na
48.029684	4.232922	5.000000	stimulus	incorrect	4.219388
52.262606	5.766309	5.000000	fixation	na	na
58.028916	2.883013	6.000000	stimulus	correct	2.870364
60.911929	7.116242	6.000000	fixation	na	na
68.028171	3.316301	7.000000	stimulus	correct	3.291434
71.344472	6.682928	7.000000	fixation	na	na
78.027399	3.499632	8.000000	stimulus	correct	3.488819
81.527031	6.499610	8.000000	fixation	na	na
88.026641	3.349634	9.000000	stimulus	incorrect	3.326950
91.376275	6.649601	9.000000	fixation	na	na
98.025875	2.033079	10.000000	stimulus	incorrect	2.009877
100.058954	7.966067	10.000000	fixation	na	na
108.025021	2.749757	11.000000	stimulus	correct	2.735572
110.774778	7.249581	11.000000	fixation	na	na
118.024359	4.049567	12.000000	stimulus	correct	4.030798
122.073926	5.949678	12.000000	fixation	na	na
128.023604	3.016354	13.000000	stimulus	correct	2.998275
131.039958	6.982786	13.000000	fixation	na	na
138.022744	4.899617	14.000000	stimulus	correct	4.876417
142.922362	5.099748	14.000000	fixation	na	na
148.022110	3.316286	15.000000	stimulus	correct	3.297232
151.338396	6.682930	15.000000	fixation	na	na
158.021326	4.166249	16.000000	stimulus	correct	4.144840
162.187575	5.832898	16.000000	fixation	na	na
168.020473	4.416303	17.000000	stimulus	correct	4.394338
172.436776	5.583038	17.000000	fixation	na	na
178.019814	5.749460	18.000000	stimulus	incorrect	5.739205
183.769273	4.249782	18.000000	fixation	na	na
188.019055	3.232998	19.000000	stimulus	correct	3.223215
191.252053	6.766152	19.000000	fixation	na	na
198.018204	3.549733	20.000000	stimulus	correct	3.538842
201.567938	6.449608	20.000000	fixation	na	na
208.017546	3.932930	21.000000	stimulus	correct	3.913836
211.950476	6.049551	21.000000	fixation	na	na
218.000027	3.349738	22.000000	stimulus	incorrect	3.339509
221.349766	6.649610	22.000000	fixation	na	na
227.999376	3.166316	23.000000	stimulus	correct	3.153561
231.165692	6.832922	23.000000	fixation	na	na
237.998614	1.849729	24.000000	stimulus	correct	1.829504
239.848343	8.149414	24.000000	fixation	na	na
247.997757	2.433141	25.000000	stimulus	correct	2.410937
250.430898	7.566211	25.000000	fixation	na	na
257.997108	2.633018	26.000000	stimulus	correct	2.610316
260.630126	7.366225	26.000000	fixation	na	na
267.996351	4.049582	27.000000	stimulus	incorrect	4.037739
272.045933	5.949565	27.000000	fixation	na	na
277.995499	2.849749	28.000000	stimulus	correct	2.834451
280.845247	7.149592	28.000000	fixation	na	na
287.994839	3.882928	29.000000	stimulus	correct	3.863736
291.877767	6.116316	29.000000	fixation	na	na
297.994083	3.166326	30.000000	stimulus	correct	3.140201
301.160409	6.832822	30.000000	fixation	na	na
307.993231	5.366252	31.000000	stimulus	incorrect	5.353321
313.359484	4.633096	31.000000	fixation	na	na
317.992579	3.316284	32.000000	stimulus	correct	3.300272
321.308864	6.682981	32.000000	fixation	na	na
327.991845	3.332937	33.000000	stimulus	correct	3.313655
331.324782	6.666270	33.000000	fixation	na	na
337.991052	4.849538	34.000000	stimulus	correct	4.825274
342.840590	5.149728	34.000000	fixation	na	na
347.990318	4.399556	35.000000	stimulus	correct	4.384717
352.389874	5.599698	35.000000	fixation	na	na
357.989573	1.649755	36.000000	stimulus	correct	1.632336
359.639327	0.716280	36.000000	fixation	na	na
