onset	duration	block_type	trial_number	trial_type	event	response_time
8.008783	1.490689	high_loss	1.000000	incorrect	?	0.768826
9.499472	0.492571	high_loss	1.000000	incorrect	number	na
9.992043	0.490394	high_loss	1.000000	incorrect	feedback_arrow	na
10.482437	0.992828	high_loss	1.000000	incorrect	fixation	na
11.475265	1.490272	high_loss	2.000000	incorrect	?	0.526365
12.965537	0.493688	high_loss	2.000000	incorrect	number	na
13.459225	0.489631	high_loss	2.000000	incorrect	feedback_arrow	na
13.948856	0.993457	high_loss	2.000000	incorrect	fixation	na
14.942313	1.488974	high_loss	3.000000	incorrect	?	0.553559
16.431286	0.493990	high_loss	3.000000	incorrect	number	na
16.925276	0.489319	high_loss	3.000000	incorrect	feedback_arrow	na
17.414595	0.994445	high_loss	3.000000	incorrect	fixation	na
18.409040	1.489339	high_loss	4.000000	incorrect	?	0.366974
19.898379	0.494323	high_loss	4.000000	incorrect	number	na
20.392702	0.488562	high_loss	4.000000	incorrect	feedback_arrow	na
20.881264	0.994305	high_loss	4.000000	incorrect	fixation	na
21.875569	1.488866	high_loss	5.000000	correct	?	0.474344
23.364435	0.494192	high_loss	5.000000	correct	number	na
23.858626	0.489768	high_loss	5.000000	correct	feedback_arrow	na
24.348395	0.992986	high_loss	5.000000	correct	fixation	na
25.341380	1.489299	high_loss	6.000000	incorrect	?	0.499968
26.830679	0.493877	high_loss	6.000000	incorrect	number	na
27.324556	0.489657	high_loss	6.000000	incorrect	feedback_arrow	na
27.814213	0.994553	high_loss	6.000000	incorrect	fixation	na
28.808766	1.489393	high_loss	7.000000	incorrect	?	0.407613
30.298159	0.494203	high_loss	7.000000	incorrect	number	na
30.792362	0.488677	high_loss	7.000000	incorrect	feedback_arrow	na
31.281039	0.994543	high_loss	7.000000	incorrect	fixation	na
32.275582	1.488082	high_loss	8.000000	incorrect	?	0.369123
33.763664	0.495348	high_loss	8.000000	incorrect	number	na
34.259012	0.488649	high_loss	8.000000	incorrect	feedback_arrow	na
34.747660	0.994440	high_loss	8.000000	incorrect	fixation	na
35.742100	1.487772	high_loss	9.000000	correct	?	0.353044
37.229872	0.495289	high_loss	9.000000	correct	number	na
37.725161	0.488766	high_loss	9.000000	correct	feedback_arrow	na
38.213928	0.994223	high_loss	9.000000	correct	fixation	na
39.208151	1.488118	high_loss	10.000000	correct	?	0.480877
40.696269	0.495250	high_loss	10.000000	correct	number	na
41.191519	0.488545	high_loss	10.000000	correct	feedback_arrow	na
41.680063	1.995126	high_loss	10.000000	correct	fixation	na
43.675189	1.488021	high_loss	11.000000	incorrect	?	0.342551
45.163211	0.495310	high_loss	11.000000	incorrect	number	na
45.658521	0.488746	high_loss	11.000000	incorrect	feedback_arrow	na
46.147267	0.994424	high_loss	11.000000	incorrect	fixation	na
47.141690	1.488132	high_loss	12.000000	incorrect	?	0.399393
48.629823	0.494895	high_loss	12.000000	incorrect	number	na
49.124717	0.488629	high_loss	12.000000	incorrect	feedback_arrow	na
49.613347	0.994530	high_loss	12.000000	incorrect	fixation	na
50.607876	1.488143	high_loss	13.000000	incorrect	?	0.339884
52.096020	0.495328	high_loss	13.000000	incorrect	number	na
52.591348	0.487909	high_loss	13.000000	incorrect	feedback_arrow	na
53.079257	0.995944	high_loss	13.000000	incorrect	fixation	na
54.075201	1.499977	high_loss	14.000000	incorrect	?	0.365881
55.575178	0.487381	high_loss	14.000000	incorrect	number	na
56.062558	0.495848	high_loss	14.000000	incorrect	feedback_arrow	na
56.558406	0.999985	high_loss	14.000000	incorrect	fixation	na
57.558390	1.499944	high_loss	15.000000	incorrect	?	0.405819
59.058335	0.487395	high_loss	15.000000	incorrect	number	na
59.545730	0.496321	high_loss	15.000000	incorrect	feedback_arrow	na
60.042051	0.999500	high_loss	15.000000	incorrect	fixation	na
61.041551	1.499934	high_loss	16.000000	correct	?	0.327718
62.541485	0.487200	high_loss	16.000000	correct	number	na
63.028685	0.496274	high_loss	16.000000	correct	feedback_arrow	na
63.524958	0.999507	high_loss	16.000000	correct	fixation	na
64.524466	1.499921	high_loss	17.000000	incorrect	?	0.402346
66.024387	0.487623	high_loss	17.000000	incorrect	number	na
66.512010	0.496105	high_loss	17.000000	incorrect	feedback_arrow	na
67.008115	1.000129	high_loss	17.000000	incorrect	fixation	na
68.008244	1.499986	high_loss	18.000000	incorrect	?	0.405055
69.508231	0.500237	high_loss	18.000000	incorrect	number	na
70.008468	0.500084	high_loss	18.000000	incorrect	feedback_arrow	na
70.508552	0.999578	high_loss	18.000000	incorrect	fixation	na
71.508130	1.499853	high_loss	19.000000	correct	?	0.589718
73.007983	0.500166	high_loss	19.000000	correct	number	na
73.508149	0.499888	high_loss	19.000000	correct	feedback_arrow	na
74.008038	0.999443	high_loss	19.000000	correct	fixation	na
75.007481	1.500696	high_loss	20.000000	correct	?	0.475388
76.508177	0.500146	high_loss	20.000000	correct	number	na
77.008323	0.498977	high_loss	20.000000	correct	feedback_arrow	na
77.507299	2.000924	high_loss	20.000000	correct	fixation	na
79.508223	1.499981	high_loss	21.000000	incorrect	?	0.341379
81.008205	0.499850	high_loss	21.000000	incorrect	number	na
81.508054	0.500251	high_loss	21.000000	incorrect	feedback_arrow	na
82.008305	0.999660	high_loss	21.000000	incorrect	fixation	na
83.007965	1.499894	high_loss	22.000000	correct	?	0.369280
84.507859	0.500083	high_loss	22.000000	correct	number	na
85.007942	0.500252	high_loss	22.000000	correct	feedback_arrow	na
85.508195	0.999643	high_loss	22.000000	correct	fixation	na
86.507837	1.499934	high_loss	23.000000	incorrect	?	0.410259
88.007772	0.500191	high_loss	23.000000	incorrect	number	na
88.507963	0.500162	high_loss	23.000000	incorrect	feedback_arrow	na
89.008125	0.999795	high_loss	23.000000	incorrect	fixation	na
90.007920	1.499984	high_loss	24.000000	correct	?	0.383074
91.507905	0.500231	high_loss	24.000000	correct	number	na
92.008135	0.499744	high_loss	24.000000	correct	feedback_arrow	na
92.507879	1.000049	high_loss	24.000000	correct	fixation	na
93.507928	1.499969	high_loss	25.000000	incorrect	?	0.375630
95.007897	0.500301	high_loss	25.000000	incorrect	number	na
95.508198	0.499862	high_loss	25.000000	incorrect	feedback_arrow	na
96.008060	0.999506	high_loss	25.000000	incorrect	fixation	na
97.007566	1.499988	high_loss	26.000000	incorrect	?	0.310296
98.507554	0.500254	high_loss	26.000000	incorrect	number	na
99.007808	0.499696	high_loss	26.000000	incorrect	feedback_arrow	na
99.507504	1.000643	high_loss	26.000000	incorrect	fixation	na
100.508147	1.499819	high_loss	27.000000	correct	?	0.365157
102.007966	0.499781	high_loss	27.000000	correct	number	na
102.507747	0.500266	high_loss	27.000000	correct	feedback_arrow	na
103.008013	0.999594	high_loss	27.000000	correct	fixation	na
104.007607	1.499959	high_loss	28.000000	incorrect	?	0.499635
105.507567	0.500166	high_loss	28.000000	incorrect	number	na
106.007732	0.500365	high_loss	28.000000	incorrect	feedback_arrow	na
106.508098	0.999647	high_loss	28.000000	incorrect	fixation	na
107.507745	1.499797	high_loss	29.000000	incorrect	?	0.366987
109.007542	0.500314	high_loss	29.000000	incorrect	number	na
109.507856	0.499750	high_loss	29.000000	incorrect	feedback_arrow	na
110.007606	0.999485	high_loss	29.000000	incorrect	fixation	na
111.007090	1.499633	high_loss	30.000000	incorrect	?	0.348376
112.506723	0.500122	high_loss	30.000000	incorrect	number	na
113.006845	0.500239	high_loss	30.000000	incorrect	feedback_arrow	na
113.507085	2.000428	high_loss	30.000000	incorrect	fixation	na
115.507513	1.499875	high_win	31.000000	correct	?	0.411173
117.007388	0.500277	high_win	31.000000	correct	number	na
117.507665	0.499914	high_win	31.000000	correct	feedback_arrow	na
118.007578	0.999907	high_win	31.000000	correct	fixation	na
119.007486	1.499953	high_win	32.000000	correct	?	0.773551
120.507438	0.500101	high_win	32.000000	correct	number	na
121.007539	0.499016	high_win	32.000000	correct	feedback_arrow	na
121.506555	1.000576	high_win	32.000000	correct	fixation	na
122.507131	1.499597	high_win	33.000000	incorrect	?	0.335883
124.006728	0.500303	high_win	33.000000	incorrect	number	na
124.507031	0.500118	high_win	33.000000	incorrect	feedback_arrow	na
125.007149	1.000577	high_win	33.000000	incorrect	fixation	na
126.007726	1.499888	high_win	34.000000	correct	?	0.485545
127.507614	0.499235	high_win	34.000000	correct	number	na
128.006848	0.500143	high_win	34.000000	correct	feedback_arrow	na
128.506991	1.000520	high_win	34.000000	correct	fixation	na
129.507511	1.499843	high_win	35.000000	correct	?	0.339864
131.007354	0.500221	high_win	35.000000	correct	number	na
131.507575	0.499184	high_win	35.000000	correct	feedback_arrow	na
