onset	duration	block_type	trial_number	trial_type	event	response_time
8.016384	1.499771	high_win	1.000000	correct	?	0.715295
9.516156	0.499498	high_win	1.000000	correct	number	na
10.015654	0.500460	high_win	1.000000	correct	feedback_arrow	na
10.516113	0.999744	high_win	1.000000	correct	fixation	na
11.515857	1.487172	high_win	2.000000	correct	?	0.562489
13.003029	0.496192	high_win	2.000000	correct	number	na
13.499221	0.487114	high_win	2.000000	correct	feedback_arrow	na
13.986336	0.996093	high_win	2.000000	correct	fixation	na
14.982429	1.487325	high_win	3.000000	incorrect	?	0.587353
16.469754	0.496088	high_win	3.000000	incorrect	number	na
16.965842	0.487181	high_win	3.000000	incorrect	feedback_arrow	na
17.453023	0.996119	high_win	3.000000	incorrect	fixation	na
18.449142	1.487467	high_win	4.000000	incorrect	?	0.493914
19.936609	0.495065	high_win	4.000000	incorrect	number	na
20.431674	0.488260	high_win	4.000000	incorrect	feedback_arrow	na
20.919933	0.995092	high_win	4.000000	incorrect	fixation	na
21.915026	1.487833	high_win	5.000000	correct	?	0.487102
23.402859	0.496057	high_win	5.000000	correct	number	na
23.898916	0.487068	high_win	5.000000	correct	feedback_arrow	na
24.385984	0.996137	high_win	5.000000	correct	fixation	na
25.382121	1.487325	high_win	6.000000	incorrect	?	0.748780
26.869446	0.495074	high_win	6.000000	incorrect	number	na
27.364520	0.488352	high_win	6.000000	incorrect	feedback_arrow	na
27.852872	0.995078	high_win	6.000000	incorrect	fixation	na
28.847950	1.488610	high_win	7.000000	correct	?	0.643556
30.336560	0.495100	high_win	7.000000	correct	number	na
30.831660	0.488406	high_win	7.000000	correct	feedback_arrow	na
31.320066	0.994001	high_win	7.000000	correct	fixation	na
32.314067	1.488439	high_win	8.000000	correct	?	0.581321
33.802506	0.495006	high_win	8.000000	correct	number	na
34.297512	0.488281	high_win	8.000000	correct	feedback_arrow	na
34.785794	0.995434	high_win	8.000000	correct	fixation	na
35.781228	1.488646	high_win	9.000000	correct	?	0.528561
37.269875	0.494507	high_win	9.000000	correct	number	na
37.764382	0.488362	high_win	9.000000	correct	feedback_arrow	na
38.252744	0.995147	high_win	9.000000	correct	fixation	na
39.247890	1.488622	high_win	10.000000	correct	?	0.606622
40.736512	0.493941	high_win	10.000000	correct	number	na
41.230453	0.489562	high_win	10.000000	correct	feedback_arrow	na
41.720014	1.994155	high_win	10.000000	correct	fixation	na
43.714169	1.488447	high_loss	11.000000	incorrect	?	0.398599
45.202616	0.494527	high_loss	11.000000	incorrect	number	na
45.697144	0.489573	high_loss	11.000000	incorrect	feedback_arrow	na
