onset	duration	trial_number	event	accuracy	response_time
8.010393	4.033218	1.000000	stimulus	incorrect	4.016232
12.043611	5.967340	1.000000	fixation	na	na
18.010951	4.282727	2.000000	stimulus	correct	4.265450
22.293678	5.716802	2.000000	fixation	na	na
28.010480	3.239219	3.000000	stimulus	correct	3.223938
31.249700	6.761664	3.000000	fixation	na	na
38.011364	3.954006	4.000000	stimulus	correct	3.938603
41.965371	6.044337	4.000000	fixation	na	na
48.009707	3.487345	5.000000	stimulus	incorrect	3.479727
51.497052	6.513232	5.000000	fixation	na	na
58.010284	4.266429	6.000000	stimulus	correct	4.248375
62.276713	5.732984	6.000000	fixation	na	na
68.009697	3.316968	7.000000	stimulus	correct	3.300826
71.326665	6.683598	7.000000	fixation	na	na
78.010263	4.137972	8.000000	stimulus	incorrect	4.125379
82.148235	5.861486	8.000000	fixation	na	na
88.009721	3.839830	9.000000	stimulus	correct	3.825455
91.849551	6.160357	9.000000	fixation	na	na
98.009909	5.092500	10.000000	stimulus	incorrect	5.079407
103.102409	4.906997	10.000000	fixation	na	na
108.009406	4.120364	11.000000	stimulus	incorrect	4.106762
112.129770	5.879349	11.000000	fixation	na	na
118.009119	3.726958	12.000000	stimulus	correct	3.712609
121.736077	6.273445	12.000000	fixation	na	na
128.009522	4.872274	13.000000	stimulus	correct	4.857429
132.881796	5.127482	13.000000	fixation	na	na
138.009277	2.672847	14.000000	stimulus	correct	2.657601
140.682124	7.327075	14.000000	fixation	na	na
148.009199	4.416411	15.000000	stimulus	correct	4.400669
152.425610	5.582731	15.000000	fixation	na	na
158.008341	5.173151	16.000000	stimulus	correct	5.166623
163.181492	4.826968	16.000000	fixation	na	na
168.008460	4.236708	17.000000	stimulus	correct	4.221564
172.245168	5.763785	17.000000	fixation	na	na
178.008953	4.244046	18.000000	stimulus	correct	4.229808
182.252999	5.755075	18.000000	fixation	na	na
188.008074	3.888951	19.000000	stimulus	correct	3.877430
191.897024	6.111571	19.000000	fixation	na	na
198.008596	5.486279	20.000000	stimulus	incorrect	5.469472
203.494875	4.512945	20.000000	fixation	na	na
208.007820	4.123014	21.000000	stimulus	correct	4.107587
212.130834	5.877128	21.000000	fixation	na	na
218.007962	5.306788	22.000000	stimulus	correct	5.300255
223.314750	4.693249	22.000000	fixation	na	na
228.007999	3.884848	23.000000	stimulus	correct	3.869992
231.892848	6.115109	23.000000	fixation	na	na
238.007956	2.603452	24.000000	stimulus	correct	2.588340
240.611408	7.396653	24.000000	fixation	na	na
248.008061	4.020468	25.000000	stimulus	incorrect	4.004865
252.028529	5.979277	25.000000	fixation	na	na
258.007806	3.953390	26.000000	stimulus	correct	3.938250
261.961196	6.046591	26.000000	fixation	na	na
268.007786	4.537378	27.000000	stimulus	correct	4.525725
272.545164	5.461640	27.000000	fixation	na	na
278.006804	3.652601	28.000000	stimulus	correct	3.643236
281.659405	6.347423	28.000000	fixation	na	na
288.006829	3.645714	29.000000	stimulus	correct	3.630672
291.652543	6.354266	29.000000	fixation	na	na
298.006809	3.761652	30.000000	stimulus	correct	3.746127
301.768460	6.238350	30.000000	fixation	na	na
308.006811	5.611516	31.000000	stimulus	correct	5.599778
313.618327	4.388596	31.000000	fixation	na	na
318.006922	5.052531	32.000000	stimulus	correct	5.041006
323.059453	4.947366	32.000000	fixation	na	na
328.006819	3.628889	33.000000	stimulus	correct	3.613474
331.635707	6.371266	33.000000	fixation	na	na
338.006973	5.454519	34.000000	stimulus	incorrect	5.441820
343.461492	4.545528	34.000000	fixation	na	na
348.007019	5.494412	35.000000	stimulus	correct	5.483085
353.501431	4.504266	35.000000	fixation	na	na
358.005697	4.455917	36.000000	stimulus	correct	4.443090
362.461614	0.718129	36.000000	fixation	na	na
