onset	duration	block_type	trial_number	trial_type	event	response_time
8.014958	1.500123	high_loss	1.000000	incorrect	?	0.921651
9.515080	0.488757	high_loss	1.000000	incorrect	number	na
10.003837	0.494401	high_loss	1.000000	incorrect	feedback_arrow	na
10.498238	0.988985	high_loss	1.000000	incorrect	fixation	na
11.487223	1.494675	high_loss	2.000000	incorrect	?	0.539314
12.981898	0.488769	high_loss	2.000000	incorrect	number	na
13.470667	0.494383	high_loss	2.000000	incorrect	feedback_arrow	na
13.965049	1.000916	high_loss	2.000000	incorrect	fixation	na
14.965965	1.500052	high_loss	3.000000	correct	?	0.398136
16.466017	0.499513	high_loss	3.000000	correct	number	na
16.965530	0.499588	high_loss	3.000000	correct	feedback_arrow	na
17.465118	1.000862	high_loss	3.000000	correct	fixation	na
18.465980	1.500013	high_loss	4.000000	correct	?	0.502508
19.965993	0.499542	high_loss	4.000000	correct	number	na
20.465535	0.499539	high_loss	4.000000	correct	feedback_arrow	na
20.965074	1.000810	high_loss	4.000000	correct	fixation	na
21.965884	1.500060	high_loss	5.000000	incorrect	?	0.478765
23.465945	0.499542	high_loss	5.000000	incorrect	number	na
23.965487	0.500447	high_loss	5.000000	incorrect	feedback_arrow	na
24.465934	0.999830	high_loss	5.000000	incorrect	fixation	na
25.465764	1.500021	high_loss	6.000000	correct	?	0.724857
26.965785	0.499510	high_loss	6.000000	correct	number	na
27.465295	0.499656	high_loss	6.000000	correct	feedback_arrow	na
27.964951	1.000870	high_loss	6.000000	correct	fixation	na
28.965821	1.499996	high_loss	7.000000	incorrect	?	0.587714
30.465817	0.499569	high_loss	7.000000	incorrect	number	na
30.965386	0.500455	high_loss	7.000000	incorrect	feedback_arrow	na
31.465840	0.999815	high_loss	7.000000	incorrect	fixation	na
32.465655	1.500032	high_loss	8.000000	incorrect	?	0.488503
33.965687	0.499822	high_loss	8.000000	incorrect	number	na
34.465509	0.499433	high_loss	8.000000	incorrect	feedback_arrow	na
34.964943	1.000799	high_loss	8.000000	incorrect	fixation	na
35.965742	1.499971	high_loss	9.000000	incorrect	?	0.424176
37.465713	0.499345	high_loss	9.000000	incorrect	number	na
37.965058	0.500593	high_loss	9.000000	incorrect	feedback_arrow	na
38.465652	0.999793	high_loss	9.000000	incorrect	fixation	na
39.465445	1.500032	high_loss	10.000000	incorrect	?	0.468482
40.965476	0.500412	high_loss	10.000000	incorrect	number	na
41.465888	0.499571	high_loss	10.000000	incorrect	feedback_arrow	na
41.965459	2.000259	high_loss	10.000000	incorrect	fixation	na
43.965718	1.500037	high_win	11.000000	incorrect	?	0.393199
45.465755	0.499548	high_win	11.000000	incorrect	number	na
45.965303	0.500418	high_win	11.000000	incorrect	feedback_arrow	na
46.465721	0.999790	high_win	11.000000	incorrect	fixation	na
47.465510	1.499997	high_win	12.000000	correct	?	0.534880
48.965507	0.499588	high_win	12.000000	correct	number	na
49.465095	0.500480	high_win	12.000000	correct	feedback_arrow	na
49.965575	0.999999	high_win	12.000000	correct	fixation	na
50.965574	1.499978	high_win	13.000000	correct	?	0.498970
52.465551	0.499622	high_win	13.000000	correct	number	na
52.965174	0.500365	high_win	13.000000	correct	feedback_arrow	na
53.465539	1.000031	high_win	13.000000	correct	fixation	na
54.465570	1.500004	high_win	14.000000	incorrect	?	0.485376
55.965574	0.499550	high_win	14.000000	incorrect	number	na
56.465124	0.500363	high_win	14.000000	incorrect	feedback_arrow	na
56.965487	0.999825	high_win	14.000000	incorrect	fixation	na
57.965313	1.500047	high_win	15.000000	correct	?	0.435984
59.465360	0.500416	high_win	15.000000	correct	number	na
59.965776	0.499556	high_win	15.000000	correct	feedback_arrow	na
60.465332	0.999767	high_win	15.000000	correct	fixation	na
61.465098	1.500118	high_win	16.000000	incorrect	?	0.651158
62.965216	0.500327	high_win	16.000000	incorrect	number	na
63.465543	0.499666	high_win	16.000000	incorrect	feedback_arrow	na
63.965209	1.000740	high_win	16.000000	incorrect	fixation	na
64.965949	1.500015	high_win	17.000000	correct	?	0.438723
66.465964	0.499960	high_win	17.000000	correct	number	na
66.965924	0.500009	high_win	17.000000	correct	feedback_arrow	na
67.465933	1.000007	high_win	17.000000	correct	fixation	na
68.465940	1.500040	high_win	18.000000	correct	?	0.532811
69.965981	0.499894	high_win	18.000000	correct	number	na
70.465874	0.499534	high_win	18.000000	correct	feedback_arrow	na
70.965408	0.999796	high_win	18.000000	correct	fixation	na
71.965204	1.500393	high_win	19.000000	correct	?	0.479881
73.465597	0.499555	high_win	19.000000	correct	number	na
73.965151	0.500465	high_win	19.000000	correct	feedback_arrow	na
74.465616	1.000223	high_win	19.000000	correct	fixation	na
75.465839	1.500043	high_win	20.000000	correct	?	0.373349
76.965882	0.499238	high_win	20.000000	correct	number	na
77.465120	0.500416	high_win	20.000000	correct	feedback_arrow	na
77.965536	2.000297	high_win	20.000000	correct	fixation	na
79.965833	1.500085	high_loss	21.000000	incorrect	?	0.314201
81.465918	0.499799	high_loss	21.000000	incorrect	number	na
81.965717	0.500035	high_loss	21.000000	incorrect	feedback_arrow	na
82.465752	0.999896	high_loss	21.000000	incorrect	fixation	na
83.465648	1.500059	high_loss	22.000000	correct	?	0.411268
84.965707	0.499956	high_loss	22.000000	correct	number	na
85.465663	0.500009	high_loss	22.000000	correct	feedback_arrow	na
85.965672	0.999992	high_loss	22.000000	correct	fixation	na
86.965664	1.499999	high_loss	23.000000	incorrect	?	0.698629
88.465662	0.499997	high_loss	23.000000	incorrect	number	na
88.965660	0.499950	high_loss	23.000000	incorrect	feedback_arrow	na
89.465610	0.999989	high_loss	23.000000	incorrect	fixation	na
90.465599	1.499798	high_loss	24.000000	incorrect	?	0.439203
91.965396	0.500616	high_loss	24.000000	incorrect	number	na
92.466012	0.499569	high_loss	24.000000	incorrect	feedback_arrow	na
92.965582	1.000009	high_loss	24.000000	incorrect	fixation	na
93.965591	1.500026	high_loss	25.000000	incorrect	?	0.449415
95.465617	0.499896	high_loss	25.000000	incorrect	number	na
95.965513	0.500139	high_loss	25.000000	incorrect	feedback_arrow	na
96.465652	0.999817	high_loss	25.000000	incorrect	fixation	na
97.465469	1.499855	high_loss	26.000000	correct	?	0.404245
98.965324	0.499300	high_loss	26.000000	correct	number	na
99.464625	0.500349	high_loss	26.000000	correct	feedback_arrow	na
99.964974	1.000713	high_loss	26.000000	correct	fixation	na
100.965687	1.500032	high_loss	27.000000	incorrect	?	0.457557
102.465719	0.499775	high_loss	27.000000	incorrect	number	na
102.965494	0.500127	high_loss	27.000000	incorrect	feedback_arrow	na
103.465622	0.999791	high_loss	27.000000	incorrect	fixation	na
104.465413	1.500051	high_loss	28.000000	incorrect	?	0.484677
105.965464	0.500152	high_loss	28.000000	incorrect	number	na
106.465616	0.499992	high_loss	28.000000	incorrect	feedback_arrow	na
106.965608	0.999829	high_loss	28.000000	incorrect	fixation	na
107.965437	1.500173	high_loss	29.000000	incorrect	?	0.449332
109.465610	0.499990	high_loss	29.000000	incorrect	number	na
109.965600	0.499721	high_loss	29.000000	incorrect	feedback_arrow	na
110.465321	1.000040	high_loss	29.000000	incorrect	fixation	na
111.465361	1.500103	high_loss	30.000000	correct	?	0.475358
112.965464	0.499794	high_loss	30.000000	correct	number	na
113.465258	0.500672	high_loss	30.000000	correct	feedback_arrow	na
113.965930	1.999327	high_loss	30.000000	correct	fixation	na
115.965257	1.500010	high_loss	31.000000	incorrect	?	0.373472
117.465267	0.500005	high_loss	31.000000	incorrect	number	na
117.965273	0.499910	high_loss	31.000000	incorrect	feedback_arrow	na
118.465183	0.999985	high_loss	31.000000	incorrect	fixation	na
119.465168	1.499997	high_loss	32.000000	incorrect	?	0.846578
120.965166	0.499985	high_loss	32.000000	incorrect	number	na
121.465150	0.500257	high_loss	32.000000	incorrect	feedback_arrow	na
121.965408	0.999791	high_loss	32.000000	incorrect	fixation	na
122.965199	1.500037	high_loss	33.000000	incorrect	?	0.429354
124.465236	0.500435	high_loss	33.000000	incorrect	number	na
124.965670	0.500003	high_loss	33.000000	incorrect	feedback_arrow	na
125.465674	0.999802	high_loss	33.000000	incorrect	fixation	na
126.465476	1.500038	high_loss	34.000000	correct	?	0.565777
127.965513	0.499545	high_loss	34.000000	correct	number	na
128.465058	0.500626	high_loss	34.000000	correct	feedback_arrow	na
128.965684	0.999818	high_loss	34.000000	correct	fixation	na
129.965502	1.500076	high_loss	35.000000	incorrect	?	0.505553
131.465578	0.499529	high_loss	35.000000	incorrect	number	na
131.965106	0.499898	high_loss	35.000000	incorrect	feedback_arrow	na
132.465005	1.000998	high_loss	35.000000	incorrect	fixation	na
133.466003	1.499031	high_loss	36.000000	correct	?	0.456680
134.965033	0.500956	high_loss	36.000000	correct	number	na
135.465989	0.499588	high_loss	36.000000	correct	feedback_arrow	na
135.965577	0.999806	high_loss	36.000000	correct	fixation	na
136.965383	1.499977	high_loss	37.000000	incorrect	?	0.395518
138.465360	0.500586	high_loss	37.000000	incorrect	number	na
138.965946	0.499587	high_loss	37.000000	incorrect	feedback_arrow	na
139.465533	1.000102	high_loss	37.000000	incorrect	fixation	na
140.465635	1.500097	high_loss	38.000000	correct	?	0.578138
141.965733	0.499575	high_loss	38.000000	correct	number	na
142.465307	0.500521	high_loss	38.000000	correct	feedback_arrow	na
142.965828	0.999802	high_loss	38.000000	correct	fixation	na
143.965630	1.500073	high_loss	39.000000	incorrect	?	0.489453
145.465703	0.499635	high_loss	39.000000	incorrect	number	na
145.965338	0.500529	high_loss	39.000000	incorrect	feedback_arrow	na
146.465867	0.999839	high_loss	39.000000	incorrect	fixation	na
147.465707	1.500036	high_loss	40.000000	incorrect	?	0.261200
148.965743	0.499667	high_loss	40.000000	incorrect	number	na
149.465410	0.500575	high_loss	40.000000	incorrect	feedback_arrow	na
149.965985	1.998933	high_loss	40.000000	incorrect	fixation	na
151.964918	1.501019	high_win	41.000000	correct	?	0.281520
153.465937	0.499606	high_win	41.000000	correct	number	na
153.965543	0.500378	high_win	41.000000	correct	feedback_arrow	na
154.465921	0.999796	high_win	41.000000	correct	fixation	na
155.465717	1.500032	high_win	42.000000	incorrect	?	0.464726
156.965749	0.499554	high_win	42.000000	incorrect	number	na
157.465303	0.500445	high_win	42.000000	incorrect	feedback_arrow	na
157.965748	0.999455	high_win	42.000000	incorrect	fixation	na
158.965204	1.500051	high_win	43.000000	correct	?	0.358866
160.465255	0.500282	high_win	43.000000	correct	number	na
160.965537	0.500120	high_win	43.000000	correct	feedback_arrow	na
161.465657	0.999779	high_win	43.000000	correct	fixation	na
162.465436	1.499977	high_win	44.000000	correct	?	0.309286
163.965413	0.499691	high_win	44.000000	correct	number	na
164.465104	0.500526	high_win	44.000000	correct	feedback_arrow	na
164.965630	0.999839	high_win	44.000000	correct	fixation	na
165.965469	1.499994	high_win	45.000000	correct	?	0.510409
167.465463	0.499646	high_win	45.000000	correct	number	na
167.965109	0.500568	high_win	45.000000	correct	feedback_arrow	na
168.465676	0.999859	high_win	45.000000	correct	fixation	na
169.465535	1.500011	high_win	46.000000	incorrect	?	0.387776
170.965545	0.499559	high_win	46.000000	incorrect	number	na
171.465105	0.500545	high_win	46.000000	incorrect	feedback_arrow	na
171.965650	0.999801	high_win	46.000000	incorrect	fixation	na
172.965451	1.500047	high_win	47.000000	correct	?	0.004773
174.465498	0.499548	high_win	47.000000	correct	number	na
174.965046	0.500568	high_win	47.000000	correct	feedback_arrow	na
175.465614	0.999784	high_win	47.000000	correct	fixation	na
176.465397	1.500233	high_win	48.000000	incorrect	?	0.422743
177.965630	0.499586	high_win	48.000000	incorrect	number	na
178.465216	0.500563	high_win	48.000000	incorrect	feedback_arrow	na
178.965779	0.999789	high_win	48.000000	incorrect	fixation	na
179.965568	1.500032	high_win	49.000000	correct	?	0.607732
181.465600	0.499276	high_win	49.000000	correct	number	na
181.964876	0.500757	high_win	49.000000	correct	feedback_arrow	na
182.465633	0.999784	high_win	49.000000	correct	fixation	na
183.465417	1.500087	high_win	50.000000	correct	?	0.493087
184.965504	0.499619	high_win	50.000000	correct	number	na
185.465123	0.500533	high_win	50.000000	correct	feedback_arrow	na
185.965657	2.000355	high_win	50.000000	correct	fixation	na
187.966012	1.499097	high_loss	51.000000	correct	?	0.318066
189.465109	0.500541	high_loss	51.000000	correct	number	na
189.965650	0.499550	high_loss	51.000000	correct	feedback_arrow	na
190.465200	0.999831	high_loss	51.000000	correct	fixation	na
191.465031	1.500010	high_loss	52.000000	incorrect	?	0.405349
192.965040	0.500613	high_loss	52.000000	incorrect	number	na
193.465653	0.499540	high_loss	52.000000	incorrect	feedback_arrow	na
193.965193	1.000690	high_loss	52.000000	incorrect	fixation	na
194.965883	1.500085	high_loss	53.000000	incorrect	?	0.504921
196.465969	0.499541	high_loss	53.000000	incorrect	number	na
196.965509	0.500121	high_loss	53.000000	incorrect	feedback_arrow	na
197.465631	0.999336	high_loss	53.000000	incorrect	fixation	na
198.464967	1.500026	high_loss	54.000000	incorrect	?	0.652313
199.964992	0.500642	high_loss	54.000000	incorrect	number	na
200.465634	0.499596	high_loss	54.000000	incorrect	feedback_arrow	na
200.965230	0.999767	high_loss	54.000000	incorrect	fixation	na
201.964997	1.500086	high_loss	55.000000	correct	?	0.428058
203.465083	0.500538	high_loss	55.000000	correct	number	na
203.965621	0.499556	high_loss	55.000000	correct	feedback_arrow	na
204.465177	1.000884	high_loss	55.000000	correct	fixation	na
205.466061	1.499026	high_loss	56.000000	incorrect	?	0.536298
206.965087	0.500548	high_loss	56.000000	incorrect	number	na
207.465635	0.499548	high_loss	56.000000	incorrect	feedback_arrow	na
207.965183	1.000805	high_loss	56.000000	incorrect	fixation	na
208.965988	1.499041	high_loss	57.000000	correct	?	0.291293
210.465029	0.500658	high_loss	57.000000	correct	number	na
210.965687	0.499576	high_loss	57.000000	correct	feedback_arrow	na
211.465263	0.999791	high_loss	57.000000	correct	fixation	na
212.465053	1.500641	high_loss	58.000000	incorrect	?	0.322810
213.965694	0.499983	high_loss	58.000000	incorrect	number	na
214.465677	0.499533	high_loss	58.000000	incorrect	feedback_arrow	na
214.965210	1.000839	high_loss	58.000000	incorrect	fixation	na
215.966049	1.499039	high_loss	59.000000	incorrect	?	0.449068
217.465088	0.500566	high_loss	59.000000	incorrect	number	na
217.965655	0.499995	high_loss	59.000000	incorrect	feedback_arrow	na
218.465649	0.999812	high_loss	59.000000	incorrect	fixation	na
219.465462	1.500197	high_loss	60.000000	incorrect	?	0.448910
220.965659	0.500008	high_loss	60.000000	incorrect	number	na
221.465667	0.499575	high_loss	60.000000	incorrect	feedback_arrow	na
