onset	duration	trial_number	stim_type	trial_type	accuracy	response_time
13.049016	0.999950	1.000000	face	nontarget	correct	0.486536
14.048966	0.999822	1.000000	fixation	nontarget	na	na
15.048787	1.000023	2.000000	face	nontarget	correct	0.470569
16.048811	0.999824	2.000000	fixation	nontarget	na	na
17.048634	1.000027	3.000000	face	nontarget	correct	0.603787
18.048662	0.999824	3.000000	fixation	nontarget	na	na
19.048486	0.999920	4.000000	face	target	correct	 NaN
20.048406	0.999926	4.000000	fixation	target	na	na
21.048332	0.999924	5.000000	face	target	correct	 NaN
22.048256	0.999926	5.000000	fixation	target	na	na
23.048182	1.000019	6.000000	face	nontarget	correct	0.628126
24.048201	0.999831	6.000000	fixation	nontarget	na	na
25.048032	1.000021	7.000000	face	nontarget	correct	0.742184
26.048053	0.999825	7.000000	fixation	nontarget	na	na
27.047878	1.000050	8.000000	face	nontarget	correct	0.540143
28.047927	0.999801	8.000000	fixation	nontarget	na	na
29.047729	1.000028	9.000000	face	nontarget	correct	0.476646
30.047757	0.999820	9.000000	fixation	nontarget	na	na
31.047577	1.000035	10.000000	face	nontarget	correct	0.520481
32.047612	0.999816	10.000000	fixation	nontarget	na	na
33.047428	1.000026	11.000000	face	nontarget	correct	0.411411
34.047454	0.999822	11.000000	fixation	nontarget	na	na
35.047275	1.000026	12.000000	face	nontarget	correct	0.523627
36.047301	0.999825	12.000000	fixation	nontarget	na	na
37.047126	1.000027	13.000000	face	nontarget	correct	0.390605
38.047153	0.999823	13.000000	fixation	nontarget	na	na
39.046976	1.000050	14.000000	face	nontarget	correct	0.511706
40.047026	0.999800	14.000000	fixation	nontarget	na	na
41.046826	1.000029	15.000000	face	nontarget	correct	0.601944
42.046855	0.999819	15.000000	fixation	nontarget	na	na
43.046674	0.999981	16.000000	face	nontarget	correct	0.755959
44.046654	0.999867	16.000000	fixation	nontarget	na	na
45.046521	1.000051	17.000000	face	nontarget	correct	0.615007
46.046572	0.999800	17.000000	fixation	nontarget	na	na
47.046372	1.000050	18.000000	face	nontarget	correct	0.548819
48.046422	0.999800	18.000000	fixation	nontarget	na	na
49.046222	1.000015	19.000000	face	nontarget	correct	0.411240
50.046238	0.999854	19.000000	fixation	nontarget	na	na
51.046092	0.999902	20.000000	face	target	correct	 NaN
52.045994	0.999923	20.000000	fixation	target	na	na
53.045917	1.000026	21.000000	face	nontarget	correct	0.441522
54.045943	0.999824	21.000000	fixation	nontarget	na	na
55.045768	1.000016	22.000000	face	nontarget	correct	0.491238
56.045783	0.999833	22.000000	fixation	nontarget	na	na
57.045616	1.000030	23.000000	face	nontarget	correct	0.568933
58.045647	0.999820	23.000000	fixation	nontarget	na	na
59.045466	1.000048	24.000000	face	nontarget	correct	0.561725
60.045514	0.999801	24.000000	fixation	nontarget	na	na
61.045316	0.999997	25.000000	face	nontarget	correct	0.484795
62.045312	0.999953	25.000000	fixation	nontarget	na	na
63.045266	0.999924	26.000000	face	nontarget	correct	0.607113
64.045190	0.999823	26.000000	fixation	nontarget	na	na
65.045013	1.000024	27.000000	face	nontarget	correct	0.537346
66.045037	0.999826	27.000000	fixation	nontarget	na	na
67.044862	0.999965	28.000000	face	nontarget	correct	0.758052
68.044827	0.999883	28.000000	fixation	nontarget	na	na
69.044711	1.000008	29.000000	face	nontarget	correct	0.749249
70.044719	0.999837	29.000000	fixation	nontarget	na	na
71.044556	1.000030	30.000000	face	nontarget	correct	0.579335
72.044586	0.999823	30.000000	fixation	nontarget	na	na
73.044409	1.000048	31.000000	face	nontarget	correct	0.602392
74.044457	0.999804	31.000000	fixation	nontarget	na	na
75.044261	1.000023	32.000000	face	nontarget	correct	0.655477
76.044284	0.999828	32.000000	fixation	nontarget	na	na
77.044112	1.000039	33.000000	face	nontarget	correct	0.526630
78.044151	0.999813	33.000000	fixation	nontarget	na	na
79.043964	1.000020	34.000000	face	nontarget	correct	0.738787
80.043983	0.999825	34.000000	fixation	nontarget	na	na
81.043808	1.000048	35.000000	face	nontarget	correct	0.712726
82.043856	0.999800	35.000000	fixation	nontarget	na	na
83.043656	0.999925	36.000000	face	target	correct	 NaN
84.043582	0.999918	36.000000	fixation	target	na	na
85.043500	1.000058	37.000000	face	nontarget	correct	0.388014
86.043558	0.999800	37.000000	fixation	nontarget	na	na
87.043357	1.000036	38.000000	face	nontarget	correct	0.454040
88.043393	0.999822	38.000000	fixation	nontarget	na	na
89.043215	1.000024	39.000000	face	nontarget	correct	0.640534
90.043240	0.999813	39.000000	fixation	nontarget	na	na
91.043052	1.000028	40.000000	face	nontarget	correct	0.512251
92.043080	0.999931	40.000000	fixation	nontarget	na	na
93.043010	0.999927	41.000000	face	nontarget	correct	0.472198
94.042937	0.999918	41.000000	fixation	nontarget	na	na
95.042855	0.999923	42.000000	face	nontarget	correct	0.544288
96.042778	0.999823	42.000000	fixation	nontarget	na	na
97.042601	0.999923	43.000000	face	target	correct	 NaN
98.042524	0.999940	43.000000	fixation	target	na	na
99.042464	1.000018	44.000000	face	nontarget	correct	0.448090
100.042483	0.999816	44.000000	fixation	nontarget	na	na
101.042299	1.000024	45.000000	face	nontarget	correct	0.492498
102.042322	0.999826	45.000000	fixation	nontarget	na	na
103.042148	0.999963	46.000000	face	nontarget	correct	0.520949
104.042111	0.999885	46.000000	fixation	nontarget	na	na
105.041996	1.000027	47.000000	face	nontarget	correct	0.575250
106.042024	0.999821	47.000000	fixation	nontarget	na	na
107.041845	0.999922	48.000000	face	nontarget	incorrect	 NaN
108.041766	0.999921	48.000000	fixation	nontarget	na	na
109.041687	1.000034	49.000000	face	target	incorrect	0.274405
110.041721	0.999822	49.000000	fixation	target	na	na
111.041542	1.000024	50.000000	face	nontarget	correct	0.522284
112.041566	0.999826	50.000000	fixation	nontarget	na	na
113.041393	0.999925	51.000000	face	target	correct	 NaN
114.041317	0.999925	51.000000	fixation	target	na	na
115.041242	1.000052	52.000000	face	nontarget	correct	0.508404
116.041294	0.999797	52.000000	fixation	nontarget	na	na
117.041091	1.000031	53.000000	face	nontarget	correct	0.539628
118.041122	0.999816	53.000000	fixation	nontarget	na	na
119.040938	1.000025	54.000000	face	nontarget	correct	0.536693
120.040963	0.999824	54.000000	fixation	nontarget	na	na
121.040787	1.000026	55.000000	face	nontarget	correct	0.499711
122.040813	0.999823	55.000000	fixation	nontarget	na	na
123.040636	1.000024	56.000000	face	nontarget	correct	0.546090
124.040660	0.999825	56.000000	fixation	nontarget	na	na
125.040485	1.000027	57.000000	face	nontarget	correct	0.737898
126.040512	0.999823	57.000000	fixation	nontarget	na	na
127.040335	1.000034	58.000000	face	nontarget	correct	0.592991
128.040368	0.999815	58.000000	fixation	nontarget	na	na
129.040183	0.999930	59.000000	face	nontarget	correct	0.642976
130.040113	0.999919	59.000000	fixation	nontarget	na	na
131.040032	1.000025	60.000000	face	nontarget	correct	0.689787
132.040057	0.999824	60.000000	fixation	nontarget	na	na
133.039881	1.000054	61.000000	face	nontarget	correct	0.748319
134.039934	0.999796	61.000000	fixation	nontarget	na	na
135.039731	1.000050	62.000000	face	nontarget	correct	0.717359
136.039781	0.999814	62.000000	fixation	nontarget	na	na
137.039594	1.000041	63.000000	face	nontarget	correct	0.604564
138.039636	0.999793	63.000000	fixation	nontarget	na	na
139.039428	0.999923	64.000000	face	target	correct	 NaN
140.039351	0.999928	64.000000	fixation	target	na	na
141.039279	1.000048	65.000000	face	nontarget	correct	0.485673
142.039327	0.999801	65.000000	fixation	nontarget	na	na
143.039128	0.999922	66.000000	face	nontarget	incorrect	 NaN
144.039050	0.999926	66.000000	fixation	nontarget	na	na
145.038976	1.000009	67.000000	face	target	incorrect	0.384024
146.038985	0.999839	67.000000	fixation	target	na	na
147.038824	1.000024	68.000000	face	nontarget	correct	0.520535
148.038847	0.999826	68.000000	fixation	nontarget	na	na
149.038673	1.000047	69.000000	face	nontarget	correct	0.593140
150.038720	0.999801	69.000000	fixation	nontarget	na	na
151.038521	0.999956	70.000000	face	nontarget	correct	0.646128
152.038477	0.999896	70.000000	fixation	nontarget	na	na
153.038373	1.000021	71.000000	face	nontarget	correct	0.684219
154.038395	0.999824	71.000000	fixation	nontarget	na	na
155.038219	1.000033	72.000000	face	nontarget	correct	0.523176
156.038252	0.999819	72.000000	fixation	nontarget	na	na
157.038071	1.000025	73.000000	face	nontarget	correct	0.702432
158.038096	0.999819	73.000000	fixation	nontarget	na	na
159.037916	1.000052	74.000000	face	nontarget	correct	0.867538
160.037967	0.999800	74.000000	fixation	nontarget	na	na
161.037768	1.000021	75.000000	face	nontarget	correct	0.810683
162.037789	0.999827	75.000000	fixation	nontarget	na	na
163.037615	1.000025	76.000000	face	nontarget	correct	0.606484
164.037641	0.999826	76.000000	fixation	nontarget	na	na
165.037467	0.999922	77.000000	face	nontarget	correct	1.135790
166.037388	1.000054	77.000000	fixation	nontarget	na	na
167.037442	0.999893	78.000000	face	nontarget	correct	0.666857
168.037336	0.999825	78.000000	fixation	nontarget	na	na
169.037161	1.000023	79.000000	face	nontarget	correct	0.645171
170.037184	0.999826	79.000000	fixation	nontarget	na	na
171.037010	1.000054	80.000000	face	nontarget	correct	0.675262
172.037064	0.999795	80.000000	fixation	nontarget	na	na
173.036859	1.000044	81.000000	face	nontarget	correct	0.504186
174.036902	0.999822	81.000000	fixation	nontarget	na	na
175.036724	1.000051	82.000000	face	nontarget	correct	0.569404
176.036775	0.999782	82.000000	fixation	nontarget	na	na
177.036558	1.000023	83.000000	face	nontarget	correct	0.544537
178.036581	0.999821	83.000000	fixation	nontarget	na	na
179.036402	1.000030	84.000000	face	nontarget	correct	0.681971
180.036432	0.999822	84.000000	fixation	nontarget	na	na
181.036255	1.000027	85.000000	face	nontarget	correct	0.645592
182.036282	0.999822	85.000000	fixation	nontarget	na	na
183.036103	1.000050	86.000000	face	nontarget	correct	0.829847
184.036153	0.999805	86.000000	fixation	nontarget	na	na
185.035958	1.000032	87.000000	face	nontarget	correct	0.702905
186.035991	0.999810	87.000000	fixation	nontarget	na	na
187.035801	1.000036	88.000000	face	nontarget	correct	0.628241
188.035837	0.999813	88.000000	fixation	nontarget	na	na
189.035649	1.000048	89.000000	face	nontarget	correct	0.678104
190.035697	0.999803	89.000000	fixation	nontarget	na	na
191.035501	1.000050	90.000000	face	nontarget	correct	0.679894
192.035551	5.999522	90.000000	fixation	nontarget	na	na
198.035073	0.999945	91.000000	scene	nontarget	correct	0.486459
199.035018	0.999802	91.000000	fixation	nontarget	na	na
200.034820	1.000049	92.000000	scene	nontarget	correct	0.420545
