onset	duration	block_type	trial_number	trial_type	event	response_time
8.015688	1.491067	high_loss	1.000000	correct	?	0.729199
9.506755	0.493300	high_loss	1.000000	correct	number	na
10.000055	0.491089	high_loss	1.000000	correct	feedback_arrow	na
10.491145	0.991014	high_loss	1.000000	correct	fixation	na
11.482159	1.492319	high_loss	2.000000	incorrect	?	0.391449
12.974478	0.490942	high_loss	2.000000	incorrect	number	na
13.465420	0.492242	high_loss	2.000000	incorrect	feedback_arrow	na
13.957662	0.992299	high_loss	2.000000	incorrect	fixation	na
14.949962	1.489941	high_loss	3.000000	incorrect	?	0.315125
16.439903	0.491977	high_loss	3.000000	incorrect	number	na
16.931880	0.492090	high_loss	3.000000	incorrect	feedback_arrow	na
17.423970	0.992221	high_loss	3.000000	incorrect	fixation	na
18.416191	1.491131	high_loss	4.000000	incorrect	?	0.404808
19.907322	0.492077	high_loss	4.000000	incorrect	number	na
20.399399	0.490959	high_loss	4.000000	incorrect	feedback_arrow	na
20.890358	0.992156	high_loss	4.000000	incorrect	fixation	na
21.882514	1.491045	high_loss	5.000000	incorrect	?	0.516823
23.373559	0.492049	high_loss	5.000000	incorrect	number	na
23.865607	0.490933	high_loss	5.000000	incorrect	feedback_arrow	na
24.356540	0.993395	high_loss	5.000000	incorrect	fixation	na
25.349935	1.489797	high_loss	6.000000	incorrect	?	0.387565
26.839732	0.493394	high_loss	6.000000	incorrect	number	na
27.333126	0.491076	high_loss	6.000000	incorrect	feedback_arrow	na
27.824202	0.992229	high_loss	6.000000	incorrect	fixation	na
28.816431	1.489924	high_loss	7.000000	correct	?	0.343023
30.306356	0.493184	high_loss	7.000000	correct	number	na
30.799539	0.491024	high_loss	7.000000	correct	feedback_arrow	na
31.290563	0.992165	high_loss	7.000000	correct	fixation	na
32.282728	1.491172	high_loss	8.000000	incorrect	?	0.363844
33.773900	0.492094	high_loss	8.000000	incorrect	number	na
34.265994	0.491040	high_loss	8.000000	incorrect	feedback_arrow	na
34.757034	0.992170	high_loss	8.000000	incorrect	fixation	na
35.749205	1.490949	high_loss	9.000000	correct	?	0.361091
37.240154	0.492059	high_loss	9.000000	correct	number	na
37.732212	0.490967	high_loss	9.000000	correct	feedback_arrow	na
38.223179	0.993392	high_loss	9.000000	correct	fixation	na
39.216571	1.489963	high_loss	10.000000	incorrect	?	0.380381
40.706534	0.493359	high_loss	10.000000	incorrect	number	na
41.199892	0.489818	high_loss	10.000000	incorrect	feedback_arrow	na
41.689710	1.993500	high_loss	10.000000	incorrect	fixation	na
43.683210	1.489942	high_loss	11.000000	correct	?	0.299975
45.173152	0.493354	high_loss	11.000000	correct	number	na
45.666506	0.489804	high_loss	11.000000	correct	feedback_arrow	na
46.156310	0.993365	high_loss	11.000000	correct	fixation	na
47.149675	1.489940	high_loss	12.000000	incorrect	?	0.334526
48.639615	0.493228	high_loss	12.000000	incorrect	number	na
49.132843	0.491103	high_loss	12.000000	incorrect	feedback_arrow	na
49.623946	0.992147	high_loss	12.000000	incorrect	fixation	na
50.616093	1.491203	high_loss	13.000000	incorrect	?	0.482976
52.107296	0.492059	high_loss	13.000000	incorrect	number	na
52.599355	0.491099	high_loss	13.000000	incorrect	feedback_arrow	na
53.090453	0.992131	high_loss	13.000000	incorrect	fixation	na
54.082585	1.491227	high_loss	14.000000	incorrect	?	0.387001
55.573812	0.492078	high_loss	14.000000	incorrect	number	na
56.065890	0.491006	high_loss	14.000000	incorrect	feedback_arrow	na
56.556896	0.992098	high_loss	14.000000	incorrect	fixation	na
57.548993	1.491151	high_loss	15.000000	incorrect	?	0.412449
59.040144	0.492068	high_loss	15.000000	incorrect	number	na
59.532213	0.491143	high_loss	15.000000	incorrect	feedback_arrow	na
60.023355	0.992120	high_loss	15.000000	incorrect	fixation	na
61.015475	1.491229	high_loss	16.000000	correct	?	0.469827
62.506704	0.493348	high_loss	16.000000	correct	number	na
63.000052	0.489921	high_loss	16.000000	correct	feedback_arrow	na
63.489973	0.992150	high_loss	16.000000	correct	fixation	na
64.482123	1.491075	high_loss	17.000000	incorrect	?	0.384482
65.973198	0.493348	high_loss	17.000000	incorrect	number	na
66.466546	0.489629	high_loss	17.000000	incorrect	feedback_arrow	na
66.956176	0.993253	high_loss	17.000000	incorrect	fixation	na
67.949429	1.489944	high_loss	18.000000	correct	?	0.319204
69.439373	0.493179	high_loss	18.000000	correct	number	na
69.932552	0.491092	high_loss	18.000000	correct	feedback_arrow	na
70.423644	0.992149	high_loss	18.000000	correct	fixation	na
71.415794	1.489925	high_loss	19.000000	incorrect	?	0.474775
72.905719	0.493205	high_loss	19.000000	incorrect	number	na
73.398924	0.490335	high_loss	19.000000	incorrect	feedback_arrow	na
73.889259	0.993287	high_loss	19.000000	incorrect	fixation	na
74.882547	1.489939	high_loss	20.000000	incorrect	?	0.298784
76.372485	0.493205	high_loss	20.000000	incorrect	number	na
76.865691	0.491116	high_loss	20.000000	incorrect	feedback_arrow	na
77.356807	1.992344	high_loss	20.000000	incorrect	fixation	na
79.349150	1.489944	high_win	21.000000	incorrect	?	0.319084
80.839094	0.493203	high_win	21.000000	incorrect	number	na
81.332297	0.491067	high_win	21.000000	incorrect	feedback_arrow	na
81.823363	0.992122	high_win	21.000000	incorrect	fixation	na
82.815485	1.491226	high_win	22.000000	correct	?	0.400819
84.306711	0.492084	high_win	22.000000	correct	number	na
84.798795	0.491114	high_win	22.000000	correct	feedback_arrow	na
85.289909	0.993373	high_win	22.000000	correct	fixation	na
86.283281	1.490088	high_win	23.000000	correct	?	0.330200
87.773370	0.492060	high_win	23.000000	correct	number	na
