onset	duration	block_type	trial_number	trial_type	event	response_time
8.017224	1.500072	high_loss	1.000000	incorrect	?	0.698164
9.517296	0.499757	high_loss	1.000000	incorrect	number	na
10.017054	0.500296	high_loss	1.000000	incorrect	feedback_arrow	na
10.517349	1.000039	high_loss	1.000000	incorrect	fixation	na
11.517389	1.499891	high_loss	2.000000	correct	?	0.345866
13.017279	0.487884	high_loss	2.000000	correct	number	na
13.505163	0.495795	high_loss	2.000000	correct	feedback_arrow	na
14.000959	0.999161	high_loss	2.000000	correct	fixation	na
15.000119	1.500484	high_loss	3.000000	incorrect	?	0.383030
16.500603	0.487799	high_loss	3.000000	incorrect	number	na
16.988402	0.495779	high_loss	3.000000	incorrect	feedback_arrow	na
17.484181	1.000174	high_loss	3.000000	incorrect	fixation	na
18.484355	1.499449	high_loss	4.000000	incorrect	?	0.508364
19.983804	0.487909	high_loss	4.000000	incorrect	number	na
20.471713	0.495720	high_loss	4.000000	incorrect	feedback_arrow	na
20.967432	1.000066	high_loss	4.000000	incorrect	fixation	na
21.967498	1.500365	high_loss	5.000000	correct	?	0.400471
23.467863	0.499730	high_loss	5.000000	correct	number	na
23.967593	0.499811	high_loss	5.000000	correct	feedback_arrow	na
24.467404	1.000179	high_loss	5.000000	correct	fixation	na
25.467583	1.500459	high_loss	6.000000	incorrect	?	0.480559
26.968041	0.499639	high_loss	6.000000	incorrect	number	na
27.467680	0.499818	high_loss	6.000000	incorrect	feedback_arrow	na
27.967498	1.000162	high_loss	6.000000	incorrect	fixation	na
28.967661	1.499807	high_loss	7.000000	incorrect	?	0.373412
30.467468	0.487900	high_loss	7.000000	incorrect	number	na
30.955368	0.495756	high_loss	7.000000	incorrect	feedback_arrow	na
31.451124	1.000086	high_loss	7.000000	incorrect	fixation	na
32.451211	1.499547	high_loss	8.000000	correct	?	0.151649
33.950758	0.500858	high_loss	8.000000	correct	number	na
34.451616	0.499734	high_loss	8.000000	correct	feedback_arrow	na
34.951349	0.999503	high_loss	8.000000	correct	fixation	na
35.950853	1.500860	high_loss	9.000000	incorrect	?	0.434381
37.451713	0.499979	high_loss	9.000000	incorrect	number	na
37.951692	0.500067	high_loss	9.000000	incorrect	feedback_arrow	na
38.451758	1.000106	high_loss	9.000000	incorrect	fixation	na
39.451865	1.499717	high_loss	10.000000	incorrect	?	0.642335
40.951581	0.500029	high_loss	10.000000	incorrect	number	na
41.451610	0.500222	high_loss	10.000000	incorrect	feedback_arrow	na
41.951832	1.999673	high_loss	10.000000	incorrect	fixation	na
43.951505	1.500484	high_win	11.000000	correct	?	0.499198
45.451989	0.499530	high_win	11.000000	correct	number	na
45.951519	0.500108	high_win	11.000000	correct	feedback_arrow	na
46.451626	1.000041	high_win	11.000000	correct	fixation	na
47.451667	1.500564	high_win	12.000000	correct	?	0.467962
48.952230	0.499701	high_win	12.000000	correct	number	na
49.451931	0.499754	high_win	12.000000	correct	feedback_arrow	na
49.951685	1.000111	high_win	12.000000	correct	fixation	na
50.951796	1.499304	high_win	13.000000	correct	?	1.063163
52.451100	0.500574	high_win	13.000000	correct	number	na
52.951674	0.499744	high_win	13.000000	correct	feedback_arrow	na
53.451419	1.000046	high_win	13.000000	correct	fixation	na
54.451465	1.500428	high_win	14.000000	correct	?	0.458930
55.951893	0.499728	high_win	14.000000	correct	number	na
56.451621	0.499767	high_win	14.000000	correct	feedback_arrow	na
56.951388	1.000567	high_win	14.000000	correct	fixation	na
57.951954	1.499435	high_win	15.000000	incorrect	?	0.540336
59.451390	0.501042	high_win	15.000000	incorrect	number	na
