onset	duration	block_type	trial_number	trial_type	event	response_time
8.016098	1.499919	high_loss	1.000000	incorrect	?	0.630286
9.516017	0.499972	high_loss	1.000000	incorrect	number	na
10.015989	0.499955	high_loss	1.000000	incorrect	feedback_arrow	na
10.515945	0.999932	high_loss	1.000000	incorrect	fixation	na
11.515877	1.499903	high_loss	2.000000	incorrect	?	0.426637
13.015780	0.499955	high_loss	2.000000	incorrect	number	na
13.515734	0.499976	high_loss	2.000000	incorrect	feedback_arrow	na
14.015710	0.999930	high_loss	2.000000	incorrect	fixation	na
15.015640	1.499879	high_loss	3.000000	incorrect	?	0.398570
16.515518	0.499989	high_loss	3.000000	incorrect	number	na
17.015507	0.499981	high_loss	3.000000	incorrect	feedback_arrow	na
17.515488	0.999903	high_loss	3.000000	incorrect	fixation	na
18.515391	1.499927	high_loss	4.000000	incorrect	?	0.423951
20.015318	0.499930	high_loss	4.000000	incorrect	number	na
20.515248	0.499973	high_loss	4.000000	incorrect	feedback_arrow	na
21.015221	0.999931	high_loss	4.000000	incorrect	fixation	na
22.015152	1.499891	high_loss	5.000000	incorrect	?	0.312807
23.515043	0.499977	high_loss	5.000000	incorrect	number	na
24.015020	0.499960	high_loss	5.000000	incorrect	feedback_arrow	na
24.514980	0.999909	high_loss	5.000000	incorrect	fixation	na
25.514889	1.499942	high_loss	6.000000	correct	?	0.374134
27.014831	0.499931	high_loss	6.000000	correct	number	na
27.514762	0.499971	high_loss	6.000000	correct	feedback_arrow	na
28.014733	0.999934	high_loss	6.000000	correct	fixation	na
29.014667	1.499884	high_loss	7.000000	correct	?	0.406305
30.514550	0.499976	high_loss	7.000000	correct	number	na
31.014526	0.499954	high_loss	7.000000	correct	feedback_arrow	na
31.514480	0.999934	high_loss	7.000000	correct	fixation	na
32.514415	1.499902	high_loss	8.000000	correct	?	0.326332
34.014317	0.499954	high_loss	8.000000	correct	number	na
34.514271	0.499955	high_loss	8.000000	correct	feedback_arrow	na
35.014225	0.999957	high_loss	8.000000	correct	fixation	na
36.014182	1.499884	high_loss	9.000000	incorrect	?	0.339500
37.514066	0.499993	high_loss	9.000000	incorrect	number	na
38.014059	0.499939	high_loss	9.000000	incorrect	feedback_arrow	na
38.513998	0.999927	high_loss	9.000000	incorrect	fixation	na
39.513925	1.499901	high_loss	10.000000	incorrect	?	0.332801
41.013826	0.499958	high_loss	10.000000	incorrect	number	na
41.513784	0.499975	high_loss	10.000000	incorrect	feedback_arrow	na
42.013759	1.999859	high_loss	10.000000	incorrect	fixation	na
44.013618	1.499856	high_win	11.000000	correct	?	0.113971
45.513474	0.500008	high_win	11.000000	correct	number	na
46.013482	0.499956	high_win	11.000000	correct	feedback_arrow	na
46.513438	0.999927	high_win	11.000000	correct	fixation	na
47.513365	1.499902	high_win	12.000000	correct	?	0.442062
49.013268	0.499955	high_win	12.000000	correct	number	na
49.513222	0.499976	high_win	12.000000	correct	feedback_arrow	na
50.013199	0.999931	high_win	12.000000	correct	fixation	na
51.013130	1.499885	high_win	13.000000	incorrect	?	0.523321
52.513015	0.499949	high_win	13.000000	incorrect	number	na
53.012964	0.499983	high_win	13.000000	incorrect	feedback_arrow	na
53.512947	0.999909	high_win	13.000000	incorrect	fixation	na
54.512856	1.499930	high_win	14.000000	correct	?	0.594376
56.012786	0.499948	high_win	14.000000	correct	number	na
56.512734	0.499976	high_win	14.000000	correct	feedback_arrow	na
57.012710	0.999933	high_win	14.000000	correct	fixation	na
58.012643	1.499906	high_win	15.000000	correct	?	0.677659
59.512549	0.499959	high_win	15.000000	correct	number	na
60.012508	0.499950	high_win	15.000000	correct	feedback_arrow	na
60.512458	0.999932	high_win	15.000000	correct	fixation	na
61.512390	1.499881	high_win	16.000000	incorrect	?	0.407895
63.012271	0.499971	high_win	16.000000	incorrect	number	na
63.512242	0.499961	high_win	16.000000	incorrect	feedback_arrow	na
64.012203	0.999959	high_win	16.000000	incorrect	fixation	na
65.012163	1.499903	high_win	17.000000	correct	?	0.330998
66.512066	0.499947	high_win	17.000000	correct	number	na
67.012013	0.499980	high_win	17.000000	correct	feedback_arrow	na
67.511993	0.999909	high_win	17.000000	correct	fixation	na
68.511902	1.499903	high_win	18.000000	incorrect	?	0.367222
70.011805	0.499957	high_win	18.000000	incorrect	number	na
70.511763	0.499976	high_win	18.000000	incorrect	feedback_arrow	na
71.011739	0.999931	high_win	18.000000	incorrect	fixation	na
72.011670	1.499864	high_win	19.000000	correct	?	0.409342
73.511535	0.499997	high_win	19.000000	correct	number	na
74.011532	0.499958	high_win	19.000000	correct	feedback_arrow	na
74.511490	0.999927	high_win	19.000000	correct	fixation	na
75.511417	1.499906	high_win	20.000000	correct	?	0.465512
77.011323	0.499951	high_win	20.000000	correct	number	na
77.511274	0.499979	high_win	20.000000	correct	feedback_arrow	na
78.011253	1.999869	high_win	20.000000	correct	fixation	na
80.011121	1.499876	high_loss	21.000000	incorrect	?	0.607306
81.510997	0.500006	high_loss	21.000000	incorrect	number	na
82.011003	0.499915	high_loss	21.000000	incorrect	feedback_arrow	na
82.510917	0.999950	high_loss	21.000000	incorrect	fixation	na
83.510867	1.499892	high_loss	22.000000	incorrect	?	0.376919
85.010759	0.499959	high_loss	22.000000	incorrect	number	na
85.510717	0.499975	high_loss	22.000000	incorrect	feedback_arrow	na
86.010692	0.999962	high_loss	22.000000	incorrect	fixation	na
87.010654	1.499857	high_loss	23.000000	correct	?	0.339925
88.510511	0.499988	high_loss	23.000000	correct	number	na
89.010500	0.499936	high_loss	23.000000	correct	feedback_arrow	na
89.510436	0.999910	high_loss	23.000000	correct	fixation	na
90.510346	1.499921	high_loss	24.000000	incorrect	?	0.492171
92.010267	0.499942	high_loss	24.000000	incorrect	number	na
92.510209	0.499992	high_loss	24.000000	incorrect	feedback_arrow	na
93.010201	0.999927	high_loss	24.000000	incorrect	fixation	na
94.010128	1.499891	high_loss	25.000000	correct	?	0.432401
95.510020	0.499964	high_loss	25.000000	correct	number	na
96.009983	0.499982	high_loss	25.000000	correct	feedback_arrow	na
96.509966	0.999915	high_loss	25.000000	correct	fixation	na
97.509881	1.499893	high_loss	26.000000	correct	?	0.320462
99.009774	0.499970	high_loss	26.000000	correct	number	na
99.509744	0.499964	high_loss	26.000000	correct	feedback_arrow	na
100.009708	0.999936	high_loss	26.000000	correct	fixation	na
101.009644	1.499894	high_loss	27.000000	incorrect	?	0.445764
102.509538	0.499991	high_loss	27.000000	incorrect	number	na
103.009529	0.499936	high_loss	27.000000	incorrect	feedback_arrow	na
103.509465	0.999931	high_loss	27.000000	incorrect	fixation	na
104.509396	1.499893	high_loss	28.000000	incorrect	?	0.344976
106.009289	0.499966	high_loss	28.000000	incorrect	number	na
106.509255	0.500004	high_loss	28.000000	incorrect	feedback_arrow	na
107.009259	0.999914	high_loss	28.000000	incorrect	fixation	na
108.009173	1.499875	high_loss	29.000000	incorrect	?	0.266982
109.509048	0.500144	high_loss	29.000000	incorrect	number	na
110.009193	0.499784	high_loss	29.000000	incorrect	feedback_arrow	na
110.508977	0.999938	high_loss	29.000000	incorrect	fixation	na
111.508915	1.499890	high_loss	30.000000	incorrect	?	0.443304
113.008805	0.499964	high_loss	30.000000	incorrect	number	na
113.508769	0.499964	high_loss	30.000000	incorrect	feedback_arrow	na
114.008733	1.999862	high_loss	30.000000	incorrect	fixation	na
116.008595	1.499847	high_win	31.000000	incorrect	?	0.318375
117.508442	0.500013	high_win	31.000000	incorrect	number	na
118.008455	0.499965	high_win	31.000000	incorrect	feedback_arrow	na
118.508420	0.999936	high_win	31.000000	incorrect	fixation	na
119.508356	1.499899	high_win	32.000000	correct	?	0.352705
121.008255	0.499963	high_win	32.000000	correct	number	na
121.508218	0.499968	high_win	32.000000	correct	feedback_arrow	na
122.008186	0.999926	high_win	32.000000	correct	fixation	na
123.008112	1.499897	high_win	33.000000	correct	?	0.316826
124.508009	0.499959	high_win	33.000000	correct	number	na
