onset	duration	trial_number	event	accuracy	response_time
8.032697	4.099702	1.000000	stimulus	correct	4.084894
12.132400	5.899693	1.000000	fixation	na	na
18.032092	5.632834	2.000000	stimulus	correct	5.624165
23.664926	4.366471	2.000000	fixation	na	na
28.031398	3.232975	3.000000	stimulus	correct	3.222876
31.264373	6.766320	3.000000	fixation	na	na
38.030693	2.716371	4.000000	stimulus	correct	2.701175
40.747063	7.282933	4.000000	fixation	na	na
48.029997	2.966352	5.000000	stimulus	correct	2.950685
50.996349	7.032949	5.000000	fixation	na	na
58.029297	4.699574	6.000000	stimulus	correct	4.686256
62.728871	5.299724	6.000000	fixation	na	na
68.028594	3.582976	7.000000	stimulus	correct	3.565790
71.611570	6.416326	7.000000	fixation	na	na
78.027896	3.549648	8.000000	stimulus	correct	3.534120
81.577544	6.449664	8.000000	fixation	na	na
88.027208	1.816422	9.000000	stimulus	correct	1.801750
89.843630	8.182868	9.000000	fixation	na	na
98.026498	4.049612	10.000000	stimulus	correct	4.038204
102.076110	5.949689	10.000000	fixation	na	na
108.025799	3.183003	11.000000	stimulus	correct	3.161707
111.208802	6.816300	11.000000	fixation	na	na
118.025102	4.132937	12.000000	stimulus	correct	4.119152
122.158039	5.866369	12.000000	fixation	na	na
128.024408	3.882958	13.000000	stimulus	correct	3.869682
131.907366	6.116341	13.000000	fixation	na	na
138.023708	2.733035	14.000000	stimulus	correct	2.723101
140.756742	7.266274	14.000000	fixation	na	na
148.023016	5.132859	15.000000	stimulus	correct	5.111562
153.155875	4.866448	15.000000	fixation	na	na
158.022323	2.066407	16.000000	stimulus	correct	2.047093
160.088730	7.932892	16.000000	fixation	na	na
168.021622	5.116200	17.000000	stimulus	correct	5.097585
173.137823	4.883094	17.000000	fixation	na	na
178.020916	2.683041	18.000000	stimulus	correct	2.674050
180.703957	7.316265	18.000000	fixation	na	na
188.020222	1.866429	19.000000	stimulus	correct	1.849597
189.886651	8.132874	19.000000	fixation	na	na
198.019525	3.732969	20.000000	stimulus	correct	3.720964
201.752494	6.266337	20.000000	fixation	na	na
208.018830	3.316329	21.000000	stimulus	correct	3.301599
211.335160	6.682973	21.000000	fixation	na	na
218.018133	4.099608	22.000000	stimulus	correct	4.088070
222.117741	5.899698	22.000000	fixation	na	na
228.017438	4.082953	23.000000	stimulus	correct	4.075432
232.100391	5.916352	23.000000	fixation	na	na
238.016743	6.032804	24.000000	stimulus	incorrect	6.009840
244.049547	3.966502	24.000000	fixation	na	na
248.016049	3.599643	25.000000	stimulus	correct	3.589372
251.615692	6.399660	25.000000	fixation	na	na
258.015351	4.899563	26.000000	stimulus	incorrect	4.888980
262.914914	5.099741	26.000000	fixation	na	na
268.014656	4.566242	27.000000	stimulus	incorrect	4.544492
272.580897	5.433077	27.000000	fixation	na	na
278.013974	3.332984	28.000000	stimulus	correct	3.319911
281.346958	6.666323	28.000000	fixation	na	na
288.013281	4.249585	29.000000	stimulus	incorrect	4.229427
292.262866	5.749708	29.000000	fixation	na	na
298.012574	4.032949	30.000000	stimulus	incorrect	4.021790
302.045522	5.966358	30.000000	fixation	na	na
308.011880	3.449653	31.000000	stimulus	correct	3.433351
311.461534	6.549652	31.000000	fixation	na	na
318.011186	3.716298	32.000000	stimulus	correct	3.694787
321.727484	6.283013	32.000000	fixation	na	na
328.010496	3.332988	33.000000	stimulus	correct	3.323401
331.343485	6.666313	33.000000	fixation	na	na
338.009797	2.199750	34.000000	stimulus	correct	2.191940
340.209548	7.799543	34.000000	fixation	na	na
348.009091	3.866305	35.000000	stimulus	correct	3.855351
351.875396	6.133008	35.000000	fixation	na	na
358.008403	3.299669	36.000000	stimulus	correct	3.284800
361.308072	0.716189	36.000000	fixation	na	na
