onset	duration	event	trial_number	trial_type	requested_SOA	actual_SOA	accuracy	resp1	resp2	rt1	rt2
8.017173	0.500000	fixation	1.000000	na	na	na	na	na	na	na	na
8.517173	1.500000	stimulus	1.000000	no_signal	0.000000	0.000000	correct	left	no_response	0.757000	0.000000
10.017173	0.500000	fixation	2.000000	na	na	na	na	na	na	na	na
10.517173	1.500000	stimulus	2.000000	no_signal	0.000000	0.000000	correct	left	no_response	0.946000	0.000000
12.017173	0.500000	fixation	3.000000	na	na	na	na	na	na	na	na
12.517173	1.500000	stimulus	3.000000	no_signal	0.000000	0.000000	correct	right	no_response	0.851000	0.000000
14.017173	0.500000	fixation	4.000000	na	na	na	na	na	na	na	na
14.517173	1.499000	stimulus	4.000000	no_signal	0.000000	0.000000	correct	right	no_response	0.865000	0.000000
16.016173	0.501000	fixation	5.000000	na	na	na	na	na	na	na	na
16.517173	1.500000	stimulus	5.000000	no_signal	0.000000	0.000000	correct	left	no_response	0.859000	0.000000
18.017173	0.500000	fixation	6.000000	na	na	na	na	na	na	na	na
18.517173	1.500000	stimulus	6.000000	no_signal	0.000000	0.000000	correct	left	no_response	0.875000	0.000000
20.017173	0.500000	fixation	7.000000	na	na	na	na	na	na	na	na
20.517173	1.500000	stimulus	7.000000	no_signal	0.000000	0.000000	correct	right	no_response	0.845000	0.000000
22.017173	0.500000	fixation	8.000000	na	na	na	na	na	na	na	na
22.517173	1.500000	stimulus	8.000000	signal	0.650000	0.650000	correct	no_response	no_response	0.000000	0.000000
24.017173	0.500000	fixation	9.000000	na	na	na	na	na	na	na	na
24.517173	1.499000	stimulus	9.000000	signal	0.700000	0.699000	signal_respond	right	no_response	0.736000	0.000000
26.016173	0.501000	fixation	10.000000	na	na	na	na	na	na	na	na
26.517173	1.500000	stimulus	10.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.066000	0.000000
28.017173	0.500000	fixation	11.000000	na	na	na	na	na	na	na	na
28.517173	1.500000	stimulus	11.000000	no_signal	0.000000	0.000000	correct	right	no_response	0.882000	0.000000
30.017173	0.500000	fixation	12.000000	na	na	na	na	na	na	na	na
30.517173	1.500000	stimulus	12.000000	no_signal	0.000000	0.000000	correct	left	no_response	0.987000	0.000000
32.017173	0.500000	fixation	13.000000	na	na	na	na	na	na	na	na
32.517173	1.500000	stimulus	13.000000	no_signal	0.000000	0.000000	correct	right	no_response	0.849000	0.000000
34.017173	0.500000	fixation	14.000000	na	na	na	na	na	na	na	na
34.517173	1.500000	stimulus	14.000000	no_signal	0.000000	0.000000	correct	left	no_response	0.673000	0.000000
36.017173	0.500000	fixation	15.000000	na	na	na	na	na	na	na	na
36.517173	1.500000	stimulus	15.000000	no_signal	0.000000	0.000000	correct	right	no_response	0.803000	0.000000
38.017173	0.499000	fixation	16.000000	na	na	na	na	na	na	na	na
38.516173	1.501000	stimulus	16.000000	no_signal	0.000000	0.000000	correct	left	no_response	0.940000	0.000000
40.017173	0.499000	fixation	17.000000	na	na	na	na	na	na	na	na
40.516173	1.501000	stimulus	17.000000	no_signal	0.000000	0.000000	correct	left	no_response	0.979000	0.000000
42.017173	0.500000	fixation	18.000000	na	na	na	na	na	na	na	na
42.517173	1.499000	stimulus	18.000000	signal	0.650000	0.649000	correct	no_response	no_response	0.000000	0.000000
44.016173	0.501000	fixation	19.000000	na	na	na	na	na	na	na	na
44.517173	1.499000	stimulus	19.000000	no_signal	0.000000	0.000000	correct	right	no_response	0.596000	0.000000
46.016173	0.501000	fixation	20.000000	na	na	na	na	na	na	na	na
46.517173	1.500000	stimulus	20.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.051000	0.000000
48.017173	0.499000	fixation	21.000000	na	na	na	na	na	na	na	na
48.516173	1.501000	stimulus	21.000000	signal	0.700000	0.701000	correct	no_response	no_response	0.000000	0.000000
50.017173	0.500000	fixation	22.000000	na	na	na	na	na	na	na	na
50.517173	1.499000	stimulus	22.000000	no_signal	0.000000	0.000000	correct	right	no_response	0.870000	0.000000
52.016173	0.500000	fixation	23.000000	na	na	na	na	na	na	na	na
52.516173	1.501000	stimulus	23.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.194000	0.000000
54.017173	0.500000	fixation	24.000000	na	na	na	na	na	na	na	na
54.517173	1.498000	stimulus	24.000000	signal	0.750000	0.749000	correct	no_response	no_response	0.000000	0.000000
56.015173	0.501000	fixation	25.000000	na	na	na	na	na	na	na	na
56.516173	1.499000	stimulus	25.000000	no_signal	0.000000	0.000000	correct	right	no_response	0.820000	0.000000
58.015173	0.501000	fixation	26.000000	na	na	na	na	na	na	na	na
58.516173	1.499000	stimulus	26.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.309000	0.000000
60.015173	0.501000	fixation	27.000000	na	na	na	na	na	na	na	na
60.516173	1.499000	stimulus	27.000000	no_signal	0.000000	0.000000	correct	right	no_response	0.941000	0.000000
62.015173	0.501000	fixation	28.000000	na	na	na	na	na	na	na	na
62.516173	1.499000	stimulus	28.000000	signal	0.800000	0.800000	signal_respond	left	no_response	0.778000	0.000000
64.015173	0.501000	fixation	29.000000	na	na	na	na	na	na	na	na
64.516173	1.499000	stimulus	29.000000	signal	0.750000	0.750000	signal_respond	right	no_response	0.916000	0.000000
66.015173	0.501000	fixation	30.000000	na	na	na	na	na	na	na	na
66.516173	1.499000	stimulus	30.000000	signal	0.700000	0.700000	signal_respond	left	no_response	0.804000	0.000000
68.015173	0.501000	fixation	31.000000	na	na	na	na	na	na	na	na
68.516173	1.499000	stimulus	31.000000	no_signal	0.000000	0.000000	correct	left	no_response	0.667000	0.000000
70.015173	0.501000	fixation	32.000000	na	na	na	na	na	na	na	na
70.516173	1.499000	stimulus	32.000000	no_signal	0.000000	0.000000	correct	right	no_response	0.868000	0.000000
72.015173	0.501000	fixation	33.000000	na	na	na	na	na	na	na	na
72.516173	1.499000	stimulus	33.000000	no_signal	0.000000	0.000000	correct	left	no_response	0.875000	0.000000
74.015173	0.501000	fixation	34.000000	na	na	na	na	na	na	na	na
74.516173	1.500000	stimulus	34.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.069000	0.000000
76.016173	0.500000	fixation	35.000000	na	na	na	na	na	na	na	na
76.516173	1.500000	stimulus	35.000000	signal	0.650000	0.650000	signal_respond	right	no_response	0.759000	0.000000
78.016173	0.500000	fixation	36.000000	na	na	na	na	na	na	na	na
78.516173	1.500000	stimulus	36.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.121000	0.000000
80.016173	0.500000	fixation	37.000000	na	na	na	na	na	na	na	na
80.516173	1.499000	stimulus	37.000000	signal	0.600000	0.600000	correct	no_response	no_response	0.000000	0.000000
82.015173	0.501000	fixation	38.000000	na	na	na	na	na	na	na	na
82.516173	1.500000	stimulus	38.000000	no_signal	0.000000	0.000000	correct	right	no_response	0.663000	0.000000
84.016173	0.500000	fixation	39.000000	na	na	na	na	na	na	na	na
84.516173	1.499000	stimulus	39.000000	no_signal	0.000000	0.000000	correct	right	no_response	0.983000	0.000000
86.015173	0.501000	fixation	40.000000	na	na	na	na	na	na	na	na
86.516173	1.499000	stimulus	40.000000	no_signal	0.000000	0.000000	correct	right	no_response	0.972000	0.000000
88.015173	0.501000	fixation	41.000000	na	na	na	na	na	na	na	na
88.516173	1.499000	stimulus	41.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.320000	0.000000
90.015173	0.500000	fixation	42.000000	na	na	na	na	na	na	na	na
90.515173	1.501000	stimulus	42.000000	no_signal	0.000000	0.000000	correct	right	no_response	0.920000	0.000000
92.016173	0.500000	fixation	43.000000	na	na	na	na	na	na	na	na
92.516173	1.499000	stimulus	43.000000	signal	0.650000	0.650000	signal_respond	right	no_response	0.749000	0.000000
