onset	duration	trial_number	stim_type	trial_type	accuracy	response_time
13.032459	0.999932	1.000000	scene	nontarget	correct	0.569524
14.032390	0.999832	1.000000	fixation	nontarget	na	na
15.032223	1.000028	2.000000	scene	nontarget	correct	0.505735
16.032250	0.999835	2.000000	fixation	nontarget	na	na
17.032085	1.000036	3.000000	scene	nontarget	correct	0.424805
18.032120	0.999949	3.000000	fixation	nontarget	na	na
19.032069	0.999904	4.000000	scene	nontarget	correct	0.451789
20.031973	0.999831	4.000000	fixation	nontarget	na	na
21.031804	1.000031	5.000000	scene	nontarget	correct	0.488002
22.031836	0.999832	5.000000	fixation	nontarget	na	na
23.031667	0.999964	6.000000	scene	nontarget	correct	0.494105
24.031631	0.999896	6.000000	fixation	nontarget	na	na
25.031527	1.000029	7.000000	scene	nontarget	correct	0.553082
26.031556	0.999853	7.000000	fixation	nontarget	na	na
27.031409	1.000040	8.000000	scene	nontarget	correct	0.525122
28.031449	0.999803	8.000000	fixation	nontarget	na	na
29.031252	0.999969	9.000000	scene	nontarget	correct	0.433407
30.031221	0.999890	9.000000	fixation	nontarget	na	na
31.031111	0.999930	10.000000	scene	nontarget	incorrect	 NaN
32.031042	0.999931	10.000000	fixation	nontarget	na	na
33.030973	1.000027	11.000000	scene	nontarget	correct	0.413540
34.031000	0.999833	11.000000	fixation	nontarget	na	na
35.030834	0.999970	12.000000	scene	nontarget	correct	0.582677
36.030803	0.999903	12.000000	fixation	nontarget	na	na
37.030706	0.999918	13.000000	scene	target	correct	 NaN
38.030625	0.999933	13.000000	fixation	target	na	na
39.030558	1.000031	14.000000	scene	target	incorrect	0.344903
40.030589	0.999832	14.000000	fixation	target	na	na
41.030420	0.999928	15.000000	scene	target	correct	 NaN
42.030349	0.999931	15.000000	fixation	target	na	na
43.030280	1.000052	16.000000	scene	nontarget	correct	0.472940
44.030332	0.999809	16.000000	fixation	nontarget	na	na
45.030141	1.000024	17.000000	scene	nontarget	correct	0.561009
46.030165	0.999830	17.000000	fixation	nontarget	na	na
47.029995	0.999971	18.000000	scene	nontarget	correct	0.644233
48.029966	0.999898	18.000000	fixation	nontarget	na	na
49.029864	1.000028	19.000000	scene	nontarget	correct	0.579896
50.029892	0.999849	19.000000	fixation	nontarget	na	na
51.029741	1.000018	20.000000	scene	nontarget	correct	0.505291
52.029759	0.999827	20.000000	fixation	nontarget	na	na
