onset	duration	event	trial_number	trial_type	requested_SOA	actual_SOA	accuracy	resp1	resp2	rt1	rt2
8.014522	0.502000	fixation	1.000000	na	na	na	na	na	na	na	na
8.516522	1.498000	stimulus	1.000000	no_signal	0.000000	0.000000	correct	right	no_response	0.843000	0.000000
10.014522	0.501000	fixation	2.000000	na	na	na	na	na	na	na	na
10.515522	1.499000	stimulus	2.000000	no_signal	0.000000	0.000000	correct	left	no_response	0.900000	0.000000
12.014522	0.501000	fixation	3.000000	na	na	na	na	na	na	na	na
12.515522	1.499000	stimulus	3.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.030000	0.000000
14.014522	0.501000	fixation	4.000000	na	na	na	na	na	na	na	na
14.515522	1.499000	stimulus	4.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.016000	0.000000
16.014522	0.501000	fixation	5.000000	na	na	na	na	na	na	na	na
16.515522	1.498000	stimulus	5.000000	signal	0.650000	0.650000	correct	no_response	no_response	0.000000	0.000000
18.013522	0.502000	fixation	6.000000	na	na	na	na	na	na	na	na
18.515522	1.498000	stimulus	6.000000	no_signal	0.000000	0.000000	correct	left	no_response	0.986000	0.000000
20.013522	0.502000	fixation	7.000000	na	na	na	na	na	na	na	na
20.515522	1.498000	stimulus	7.000000	signal	0.700000	0.700000	correct	no_response	no_response	0.000000	0.000000
22.013522	0.502000	fixation	8.000000	na	na	na	na	na	na	na	na
22.515522	1.498000	stimulus	8.000000	no_signal	0.000000	0.000000	correct	right	no_response	0.988000	0.000000
24.013522	0.502000	fixation	9.000000	na	na	na	na	na	na	na	na
24.515522	1.498000	stimulus	9.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.285000	0.000000
26.013522	0.501000	fixation	10.000000	na	na	na	na	na	na	na	na
26.514522	1.499000	stimulus	10.000000	signal	0.750000	0.750000	correct	no_response	no_response	0.000000	0.000000
28.013522	0.501000	fixation	11.000000	na	na	na	na	na	na	na	na
28.514522	1.499000	stimulus	11.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.182000	0.000000
30.013522	0.501000	fixation	12.000000	na	na	na	na	na	na	na	na
30.514522	1.499000	stimulus	12.000000	signal	0.800000	0.800000	correct	no_response	no_response	0.000000	0.000000
32.013522	0.501000	fixation	13.000000	na	na	na	na	na	na	na	na
32.514522	1.498000	stimulus	13.000000	signal	0.850000	0.850000	correct	no_response	no_response	0.000000	0.000000
34.012522	0.502000	fixation	14.000000	na	na	na	na	na	na	na	na
34.514522	1.498000	stimulus	14.000000	signal	0.900000	0.900000	signal_respond	right	no_response	1.014000	0.000000
36.012522	0.502000	fixation	15.000000	na	na	na	na	na	na	na	na
36.514522	1.498000	stimulus	15.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.194000	0.000000
38.012522	0.502000	fixation	16.000000	na	na	na	na	na	na	na	na
38.514522	1.498000	stimulus	16.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.043000	0.000000
40.012522	0.502000	fixation	17.000000	na	na	na	na	na	na	na	na
40.514522	1.498000	stimulus	17.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.084000	0.000000
42.012522	0.501000	fixation	18.000000	na	na	na	na	na	na	na	na
42.513522	1.499000	stimulus	18.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.052000	0.000000
44.012522	0.501000	fixation	19.000000	na	na	na	na	na	na	na	na
44.513522	1.499000	stimulus	19.000000	signal	0.850000	0.850000	signal_respond	right	no_response	1.046000	0.000000
46.012522	0.501000	fixation	20.000000	na	na	na	na	na	na	na	na
46.513522	1.499000	stimulus	20.000000	signal	0.800000	0.800000	correct	no_response	no_response	0.000000	0.000000
48.012522	0.501000	fixation	21.000000	na	na	na	na	na	na	na	na
48.513522	1.498000	stimulus	21.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.167000	0.000000
50.011522	0.502000	fixation	22.000000	na	na	na	na	na	na	na	na
50.513522	1.498000	stimulus	22.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.301000	0.000000
52.011522	0.502000	fixation	23.000000	na	na	na	na	na	na	na	na
52.513522	1.498000	stimulus	23.000000	signal	0.850000	0.850000	correct	no_response	no_response	0.000000	0.000000
54.011522	0.502000	fixation	24.000000	na	na	na	na	na	na	na	na
54.513522	1.498000	stimulus	24.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.137000	0.000000
56.011522	0.501000	fixation	25.000000	na	na	na	na	na	na	na	na
56.512522	1.499000	stimulus	25.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.163000	0.000000
58.011522	0.501000	fixation	26.000000	na	na	na	na	na	na	na	na
58.512522	1.499000	stimulus	26.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.388000	0.000000
60.011522	0.501000	fixation	27.000000	na	na	na	na	na	na	na	na
60.512522	1.499000	stimulus	27.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.174000	0.000000
62.011522	0.501000	fixation	28.000000	na	na	na	na	na	na	na	na
62.512522	1.499000	stimulus	28.000000	signal	0.900000	0.900000	correct	no_response	no_response	0.000000	0.000000
64.011522	0.501000	fixation	29.000000	na	na	na	na	na	na	na	na
64.512522	1.498000	stimulus	29.000000	no_signal	0.000000	0.000000	correct	left	no_response	0.974000	0.000000
66.010522	0.502000	fixation	30.000000	na	na	na	na	na	na	na	na
66.512522	1.498000	stimulus	30.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.137000	0.000000
68.010522	0.502000	fixation	31.000000	na	na	na	na	na	na	na	na
68.512522	1.498000	stimulus	31.000000	signal	0.950000	0.950000	signal_respond	left	no_response	1.155000	0.000000
70.010522	0.502000	fixation	32.000000	na	na	na	na	na	na	na	na
70.512522	1.498000	stimulus	32.000000	no_signal	0.000000	0.000000	correct	right	no_response	0.609000	0.000000
72.010522	0.501000	fixation	33.000000	na	na	na	na	na	na	na	na
72.511522	1.499000	stimulus	33.000000	no_signal	0.000000	0.000000	correct	right	no_response	0.960000	0.000000
74.010522	0.501000	fixation	34.000000	na	na	na	na	na	na	na	na
74.511522	1.499000	stimulus	34.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.372000	0.000000
76.010522	0.501000	fixation	35.000000	na	na	na	na	na	na	na	na
76.511522	1.499000	stimulus	35.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.135000	0.000000
78.010522	0.501000	fixation	36.000000	na	na	na	na	na	na	na	na
78.511522	1.498000	stimulus	36.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.178000	0.000000
80.009522	0.502000	fixation	37.000000	na	na	na	na	na	na	na	na
80.511522	1.498000	stimulus	37.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.084000	0.000000
82.009522	0.502000	fixation	38.000000	na	na	na	na	na	na	na	na
82.511522	1.498000	stimulus	38.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.253000	0.000000
84.009522	0.502000	fixation	39.000000	na	na	na	na	na	na	na	na
84.511522	1.498000	stimulus	39.000000	signal	0.900000	0.900000	correct	no_response	no_response	0.000000	0.000000
86.009522	0.501000	fixation	40.000000	na	na	na	na	na	na	na	na
86.510522	1.499000	stimulus	40.000000	signal	0.950000	0.950000	correct	no_response	no_response	0.000000	0.000000
88.009522	0.501000	fixation	41.000000	na	na	na	na	na	na	na	na
88.510522	1.499000	stimulus	41.000000	signal	1.000000	1.000000	correct	no_response	no_response	0.000000	0.000000
90.009522	0.501000	fixation	42.000000	na	na	na	na	na	na	na	na
90.510522	1.499000	stimulus	42.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.232000	0.000000
92.009522	0.501000	fixation	43.000000	na	na	na	na	na	na	na	na
92.510522	1.499000	stimulus	43.000000	signal	1.050000	1.050000	signal_respond	right	no_response	1.104000	0.000000
94.009522	0.501000	fixation	44.000000	na	na	na	na	na	na	na	na
94.510522	1.498000	stimulus	44.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.091000	0.000000
96.008522	0.502000	fixation	45.000000	na	na	na	na	na	na	na	na
96.510522	1.498000	stimulus	45.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.396000	0.000000
98.008522	0.502000	fixation	46.000000	na	na	na	na	na	na	na	na
98.510522	1.498000	stimulus	46.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.295000	0.000000
100.008522	0.502000	fixation	47.000000	na	na	na	na	na	na	na	na
100.510522	1.498000	stimulus	47.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.201000	0.000000
102.008522	0.502000	fixation	48.000000	na	na	na	na	na	na	na	na
102.510522	1.498000	stimulus	48.000000	signal	1.000000	1.000000	correct	no_response	no_response	0.000000	0.000000
104.008522	0.501000	fixation	49.000000	na	na	na	na	na	na	na	na
104.509522	1.499000	stimulus	49.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.133000	0.000000
106.008522	0.501000	fixation	50.000000	na	na	na	na	na	na	na	na
106.509522	1.499000	stimulus	50.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.096000	0.000000
108.008522	0.501000	fixation	51.000000	na	na	na	na	na	na	na	na
108.509522	1.499000	stimulus	51.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.009000	0.000000
110.008522	0.501000	fixation	52.000000	na	na	na	na	na	na	na	na
110.509522	1.498000	stimulus	52.000000	no_signal	0.000000	0.000000	correct	right	no_response	0.963000	0.000000
112.007522	0.502000	fixation	53.000000	na	na	na	na	na	na	na	na
112.509522	1.498000	stimulus	53.000000	signal	1.050000	1.050000	signal_respond	left	no_response	1.125000	0.000000
114.007522	0.502000	fixation	54.000000	na	na	na	na	na	na	na	na
114.509522	1.498000	stimulus	54.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.429000	0.000000
116.007522	0.502000	fixation	55.000000	na	na	na	na	na	na	na	na
116.509522	1.498000	stimulus	55.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.008000	0.000000
118.007522	0.502000	fixation	56.000000	na	na	na	na	na	na	na	na
118.509522	1.498000	stimulus	56.000000	signal	1.000000	1.000000	signal_respond	right	no_response	0.753000	0.000000
120.007522	0.501000	fixation	57.000000	na	na	na	na	na	na	na	na
120.508522	1.499000	stimulus	57.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.069000	0.000000
122.007522	0.501000	fixation	58.000000	na	na	na	na	na	na	na	na
122.508522	1.499000	stimulus	58.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.100000	0.000000
124.007522	0.501000	fixation	59.000000	na	na	na	na	na	na	na	na
124.508522	1.499000	stimulus	59.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.084000	0.000000
126.007522	0.501000	fixation	60.000000	na	na	na	na	na	na	na	na
126.508522	1.498000	stimulus	60.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.156000	0.000000
128.006522	0.502000	fixation	61.000000	na	na	na	na	na	na	na	na
128.508522	1.498000	stimulus	61.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.219000	0.000000
130.006522	0.502000	fixation	62.000000	na	na	na	na	na	na	na	na
130.508522	1.498000	stimulus	62.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.204000	0.000000
132.006522	0.502000	fixation	63.000000	na	na	na	na	na	na	na	na
132.508522	1.498000	stimulus	63.000000	signal	0.950000	0.950000	signal_respond	right	no_response	1.083000	0.000000
134.006522	0.501000	fixation	64.000000	na	na	na	na	na	na	na	na
134.507522	1.499000	stimulus	64.000000	no_signal	0.000000	0.000000	correct	left	no_response	0.991000	0.000000
136.006522	0.501000	fixation	65.000000	na	na	na	na	na	na	na	na
136.507522	1.499000	stimulus	65.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.199000	0.000000
138.006522	0.501000	fixation	66.000000	na	na	na	na	na	na	na	na
138.507522	1.499000	stimulus	66.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.359000	0.000000
140.006522	0.501000	fixation	67.000000	na	na	na	na	na	na	na	na
140.507522	1.498000	stimulus	67.000000	no_signal	0.000000	0.000000	correct	right	no_response	0.834000	0.000000
142.005522	0.502000	fixation	68.000000	na	na	na	na	na	na	na	na
142.507522	1.498000	stimulus	68.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.284000	0.000000
144.005522	0.502000	fixation	69.000000	na	na	na	na	na	na	na	na
144.507522	1.498000	stimulus	69.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.270000	0.000000
146.005522	0.502000	fixation	70.000000	na	na	na	na	na	na	na	na
146.507522	1.498000	stimulus	70.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.369000	0.000000
148.005522	0.502000	fixation	71.000000	na	na	na	na	na	na	na	na
148.507522	1.498000	stimulus	71.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.020000	0.000000
150.005522	0.501000	fixation	72.000000	na	na	na	na	na	na	na	na
150.506522	1.499000	stimulus	72.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.109000	0.000000
152.005522	0.501000	fixation	73.000000	na	na	na	na	na	na	na	na
152.506522	1.499000	stimulus	73.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.318000	0.000000
154.005522	0.501000	fixation	74.000000	na	na	na	na	na	na	na	na
154.506522	1.499000	stimulus	74.000000	signal	0.900000	0.900000	signal_respond	left	no_response	1.080000	0.000000
156.005522	0.501000	fixation	75.000000	na	na	na	na	na	na	na	na
156.506522	1.498000	stimulus	75.000000	no_signal	0.000000	0.000000	correct	left	no_response	0.652000	0.000000
158.004522	0.502000	fixation	76.000000	na	na	na	na	na	na	na	na
158.506522	1.498000	stimulus	76.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.221000	0.000000
160.004522	0.502000	fixation	77.000000	na	na	na	na	na	na	na	na
160.506522	1.498000	stimulus	77.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.267000	0.000000
162.004522	0.502000	fixation	78.000000	na	na	na	na	na	na	na	na
162.506522	1.498000	stimulus	78.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.446000	0.000000
164.004522	0.502000	fixation	79.000000	na	na	na	na	na	na	na	na
164.506522	1.498000	stimulus	79.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.163000	0.000000
166.004522	0.501000	fixation	80.000000	na	na	na	na	na	na	na	na
166.505522	1.499000	stimulus	80.000000	signal	0.850000	0.850000	correct	no_response	no_response	0.000000	0.000000
168.004522	0.501000	fixation	81.000000	na	na	na	na	na	na	na	na
168.505522	1.499000	stimulus	81.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.133000	0.000000
170.004522	0.501000	fixation	82.000000	na	na	na	na	na	na	na	na
170.505522	1.499000	stimulus	82.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.250000	0.000000
172.004522	0.501000	fixation	83.000000	na	na	na	na	na	na	na	na
172.505522	1.498000	stimulus	83.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.057000	0.000000
174.003522	0.502000	fixation	84.000000	na	na	na	na	na	na	na	na
174.505522	1.498000	stimulus	84.000000	signal	0.900000	0.900000	correct	no_response	no_response	0.000000	0.000000
176.003522	0.502000	fixation	85.000000	na	na	na	na	na	na	na	na
176.505522	1.498000	stimulus	85.000000	no_signal	0.000000	0.000000	correct	right	no_response	0.844000	0.000000
178.003522	0.502000	fixation	86.000000	na	na	na	na	na	na	na	na
178.505522	1.498000	stimulus	86.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.136000	0.000000
180.003522	0.502000	fixation	87.000000	na	na	na	na	na	na	na	na
180.505522	1.498000	stimulus	87.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.232000	0.000000
182.003522	0.501000	fixation	88.000000	na	na	na	na	na	na	na	na
182.504522	1.499000	stimulus	88.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.145000	0.000000
184.003522	0.501000	fixation	89.000000	na	na	na	na	na	na	na	na
184.504522	1.499000	stimulus	89.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.320000	0.000000
186.003522	0.501000	fixation	90.000000	na	na	na	na	na	na	na	na
186.504522	1.499000	stimulus	90.000000	no_signal	0.000000	0.000000	correct	right	no_response	1.214000	0.000000
188.003522	0.501000	fixation	91.000000	na	na	na	na	na	na	na	na
188.504522	1.498000	stimulus	91.000000	no_signal	0.000000	0.000000	correct	left	no_response	1.387000	0.000000
190.002522	0.502000	fixation	92.000000	na	na	na	na	na	na	na	na
190.504522	1.498000	stimulus	92.000000	no_signal	0.000000	0.000000	correct	right	no_response	0.937000	0.000000
192.002522	0.502000	fixation	93.000000	na	na	na	na	na	na	na	na
192.504522	1.498000	stimulus	93.000000	no_signal	0.000000	0.000000	correct	right	no_response	0.916000	0.000000
194.002522	0.502000	fixation	94.000000	na	na	na	na	na	na	na	na
194.504522	1.498000	stimulus	94.000000	signal	0.950000	0.950000	signal_respond	right	no_response	1.143000	0.000000
196.002522	0.501000	fixation	95.000000	na	na	na	na	na	na	na	na
196.503522	1.499000	stimulus	95.000000	no_signal	0.000000	0.000000	correct	right	no_response	0.701000	0.000000
