onset	duration	trial_number	event	accuracy	response_time
8.015973	5.273688	1.000000	stimulus	correct	5.260915
13.289661	4.726588	1.000000	fixation	na	na
18.016248	3.239978	2.000000	stimulus	correct	3.229537
21.256226	6.760308	2.000000	fixation	na	na
28.016534	3.149920	3.000000	stimulus	correct	3.143111
31.166454	6.850001	3.000000	fixation	na	na
38.016455	3.299097	4.000000	stimulus	incorrect	3.286495
41.315552	6.701057	4.000000	fixation	na	na
48.016608	3.016585	5.000000	stimulus	correct	3.009146
51.033193	6.983193	5.000000	fixation	na	na
58.016386	3.099571	6.000000	stimulus	correct	3.084183
61.115956	6.900697	6.000000	fixation	na	na
68.016654	2.699150	7.000000	stimulus	correct	2.688948
70.715803	7.300621	7.000000	fixation	na	na
78.016424	3.405971	8.000000	stimulus	correct	3.398928
81.422396	6.593907	8.000000	fixation	na	na
88.016302	3.438203	9.000000	stimulus	incorrect	3.432889
91.454506	6.561889	9.000000	fixation	na	na
98.016395	4.150057	10.000000	stimulus	correct	4.138458
102.166451	5.849826	10.000000	fixation	na	na
108.016278	5.321697	11.000000	stimulus	correct	5.316232
113.337974	4.678458	11.000000	fixation	na	na
118.016433	3.116805	12.000000	stimulus	correct	3.103994
121.133238	6.883159	12.000000	fixation	na	na
128.016397	5.587469	13.000000	stimulus	correct	5.580950
133.603866	4.412487	13.000000	fixation	na	na
138.016353	5.149365	14.000000	stimulus	correct	5.141489
143.165718	4.850621	14.000000	fixation	na	na
148.016338	6.482793	15.000000	stimulus	correct	6.469381
154.499131	3.517393	15.000000	fixation	na	na
158.016524	4.166607	16.000000	stimulus	incorrect	4.151789
162.183131	5.833228	16.000000	fixation	na	na
168.016360	3.137182	17.000000	stimulus	correct	3.130659
171.153541	6.862706	17.000000	fixation	na	na
178.016247	2.937151	18.000000	stimulus	correct	2.929221
180.953399	7.062835	18.000000	fixation	na	na
188.016234	4.103559	19.000000	stimulus	incorrect	4.096907
192.119793	5.896316	19.000000	fixation	na	na
198.016109	4.020159	20.000000	stimulus	incorrect	4.012701
202.036268	5.980010	20.000000	fixation	na	na
208.016279	4.750222	21.000000	stimulus	correct	4.733747
212.766500	5.249798	21.000000	fixation	na	na
218.016298	3.553201	22.000000	stimulus	correct	3.547923
221.569499	6.446768	22.000000	fixation	na	na
228.016267	5.302827	23.000000	stimulus	correct	5.297555
233.319094	4.697224	23.000000	fixation	na	na
238.016318	4.702679	24.000000	stimulus	correct	4.695644
242.718997	5.297266	24.000000	fixation	na	na
248.016263	2.666897	25.000000	stimulus	correct	2.658995
250.683160	7.333233	25.000000	fixation	na	na
258.016393	2.836462	26.000000	stimulus	correct	2.828761
260.852855	7.163505	26.000000	fixation	na	na
268.016360	5.766382	27.000000	stimulus	correct	5.757411
273.782741	4.233667	27.000000	fixation	na	na
278.016409	5.283444	28.000000	stimulus	correct	5.269963
283.299852	4.716471	28.000000	fixation	na	na
288.016323	5.316870	29.000000	stimulus	incorrect	5.302940
293.333194	4.683277	29.000000	fixation	na	na
298.016470	4.366938	30.000000	stimulus	correct	4.352435
302.383408	5.632835	30.000000	fixation	na	na
308.016243	3.852478	31.000000	stimulus	incorrect	3.845829
311.868721	6.147631	31.000000	fixation	na	na
318.016353	3.300304	32.000000	stimulus	correct	3.286572
321.316656	6.699674	32.000000	fixation	na	na
328.016331	4.883654	33.000000	stimulus	incorrect	4.877053
332.899984	5.116708	33.000000	fixation	na	na
338.016692	3.816675	34.000000	stimulus	correct	3.803277
341.833367	6.183005	34.000000	fixation	na	na
348.016372	4.100154	35.000000	stimulus	correct	4.090799
352.116526	5.900157	35.000000	fixation	na	na
358.016683	3.466516	36.000000	stimulus	correct	3.452120
361.483199	0.717176	36.000000	fixation	na	na
