onset	duration	trial_number	stim_type	trial_type	accuracy	response_time
13.032269	1.000411	1.000000	face	nontarget	correct	0.576649
14.032680	0.999805	1.000000	fixation	nontarget	na	na
15.032485	0.999827	2.000000	face	nontarget	correct	0.609144
16.032312	0.999854	2.000000	fixation	nontarget	na	na
17.032166	1.000071	3.000000	face	nontarget	correct	0.543538
18.032237	0.999903	3.000000	fixation	nontarget	na	na
19.032139	0.999785	4.000000	face	nontarget	correct	0.692687
20.031925	1.000173	4.000000	fixation	nontarget	na	na
21.032098	1.000228	5.000000	face	nontarget	correct	0.689815
22.032326	0.999681	5.000000	fixation	nontarget	na	na
23.032007	1.000269	6.000000	face	target	correct	 NaN
24.032275	0.999650	6.000000	fixation	target	na	na
25.031925	1.000416	7.000000	face	nontarget	correct	0.478715
26.032341	1.000001	7.000000	fixation	nontarget	na	na
27.032343	1.000118	8.000000	face	nontarget	correct	0.695098
28.032460	0.999909	8.000000	fixation	nontarget	na	na
29.032370	1.000015	9.000000	face	nontarget	correct	0.718406
30.032384	0.999956	9.000000	fixation	nontarget	na	na
31.032340	0.999870	10.000000	face	nontarget	correct	0.500158
32.032210	1.000203	10.000000	fixation	nontarget	na	na
33.032412	0.999784	11.000000	face	nontarget	correct	0.509133
34.032196	1.000213	11.000000	fixation	nontarget	na	na
35.032409	0.999846	12.000000	face	nontarget	correct	0.545491
36.032255	1.000117	12.000000	fixation	nontarget	na	na
37.032372	0.999627	13.000000	face	nontarget	correct	0.575742
38.031999	1.000129	13.000000	fixation	nontarget	na	na
39.032128	0.999807	14.000000	face	nontarget	correct	0.543832
40.031935	1.000165	14.000000	fixation	nontarget	na	na
41.032100	0.999807	15.000000	face	nontarget	correct	0.651520
42.031907	1.000193	15.000000	fixation	nontarget	na	na
43.032100	1.000181	16.000000	face	nontarget	correct	0.978426
44.032281	0.999849	16.000000	fixation	nontarget	na	na
45.032130	0.999491	17.000000	face	nontarget	incorrect	 NaN
46.031621	0.999909	17.000000	fixation	nontarget	na	na
47.031530	1.000820	18.000000	face	nontarget	correct	0.358546
48.032350	0.999856	18.000000	fixation	nontarget	na	na
49.032206	0.999840	19.000000	face	target	incorrect	0.554961
50.032045	0.999839	19.000000	fixation	target	na	na
51.031885	0.999819	20.000000	face	nontarget	correct	0.672599
52.031704	0.999812	20.000000	fixation	nontarget	na	na
53.031516	1.000842	21.000000	face	nontarget	correct	0.469991
54.032358	0.999885	21.000000	fixation	nontarget	na	na
55.032243	0.999743	22.000000	face	nontarget	correct	0.665642
56.031986	0.999961	22.000000	fixation	nontarget	na	na
57.031947	0.999830	23.000000	face	nontarget	correct	0.812815
58.031777	0.999819	23.000000	fixation	nontarget	na	na
59.031595	0.999905	24.000000	face	nontarget	correct	0.631092
60.031500	1.000429	24.000000	fixation	nontarget	na	na
61.031929	0.999838	25.000000	face	nontarget	correct	0.767327
62.031767	0.999822	25.000000	fixation	nontarget	na	na
63.031590	0.999863	26.000000	face	nontarget	correct	0.542437
64.031453	1.000498	26.000000	fixation	nontarget	na	na
65.031950	0.999999	27.000000	face	target	correct	 NaN
66.031949	0.999837	27.000000	fixation	target	na	na
67.031786	1.000105	28.000000	face	nontarget	correct	0.390964
68.031891	1.000004	28.000000	fixation	nontarget	na	na
69.031896	0.999822	29.000000	face	nontarget	correct	0.748192
70.031718	1.000170	29.000000	fixation	nontarget	na	na
71.031887	0.999900	30.000000	face	nontarget	correct	0.852588
72.031787	1.000103	30.000000	fixation	nontarget	na	na
73.031890	0.999855	31.000000	face	nontarget	correct	0.644533
74.031745	0.999863	31.000000	fixation	nontarget	na	na
75.031608	0.999849	32.000000	face	nontarget	correct	0.549037
76.031457	1.000388	32.000000	fixation	nontarget	na	na
77.031846	0.999812	33.000000	face	nontarget	correct	0.564868
78.031658	0.999873	33.000000	fixation	nontarget	na	na
79.031531	0.999840	34.000000	face	nontarget	correct	0.574143
80.031371	1.000376	34.000000	fixation	nontarget	na	na
81.031746	0.999862	35.000000	face	nontarget	correct	0.573736
82.031608	1.000104	35.000000	fixation	nontarget	na	na
83.031712	0.999876	36.000000	face	nontarget	correct	0.591227
84.031589	1.000125	36.000000	fixation	nontarget	na	na
85.031714	0.999893	37.000000	face	nontarget	correct	0.935976
86.031606	0.999888	37.000000	fixation	nontarget	na	na
87.031494	1.000137	38.000000	face	target	incorrect	0.978049
88.031631	0.999987	38.000000	fixation	target	na	na
89.031617	0.999859	39.000000	face	nontarget	correct	0.790048
90.031476	0.999792	39.000000	fixation	nontarget	na	na
91.031268	0.999890	40.000000	face	nontarget	correct	0.626663
92.031158	0.999893	40.000000	fixation	nontarget	na	na
93.031051	0.999893	41.000000	face	nontarget	correct	0.695689
94.030944	1.000860	41.000000	fixation	nontarget	na	na
